file_name,positive_sentiment,negative_sentiment,neutral_sentiment,positive_total,negative_total,neutral_total,total_num_of_sentiment,,Lines of Code,Bugs(Reliability),bug,Vulnerabilities,Vulnerabilities Percentages,Security Hotspots(Security Review),security_hotspots,Code Smells(Maintainability),code_smells,duplication
allenai_allennlp,62.32498394,16.48041105,21.19460501,4852,1283,1650,7785,allenai/allennlp,"58,830",197,0.33%,0,0.00%,92,0.16%,630,1.07%,2.70%
streamlit_streamlit,65.63210702,14.08695652,20.28093645,4906,1053,1516,7475,streamlit/streamlit,"134,582",106,0.08%,17,0.01%,187,0.14%,"1,501",1.12%,2.90%
rusty1s_pytorch_geometric,59.69865617,18.18922221,22.11212162,4398,1340,1629,7367,rusty1s/pytorch_geometric,"102,452",120,0.12%,2,0.00%,59,0.06%,815,0.80%,5.30%
commaai_openpilot,57.14285714,16.11650485,26.740638,4120,1162,1928,7210,commaai/openpilot,"131,299",50,0.04%,6,0.00%,162,0.12%,"8,056",6.14%,0.50%
pytorch_vision,61.63592848,20.45614529,17.90792623,4378,1453,1272,7103,pytorch/vision,"83,496",61,0.07%,0,0.00%,165,0.20%,1426,1.71%,3.40%
pyro-ppl_pyro,64.39843637,15.49153033,20.1100333,4448,1070,1389,6907,pyro-ppl/pyro,"88,486",89,0.10%,0,0.00%,8,0.01%,"1,554",1.76%,5.90%
flairNLP_flair,63.18553092,14.542007,22.27246208,4332,997,1527,6856,flairNLP/flair,32751,19,0.06%,0,0.00%,56,0.17%,598,1.83%,3.20%
huggingface_transformers,63.50752879,15.05757307,21.43489814,4302,1020,1452,6774,huggingface/transformers,"890,921",342,0.04%,6,0.00%,267,0.03%,"11,098",1.25%,30.60%
facebookresearch_ParlAI,59.28027475,16.1116918,24.60803345,3970,1079,1648,6697,facebookresearch/ParlAI,"157,108",128,0.08%,1,0.00%,385,0.25%,"3,065",1.95%,1.80%
home-assistant_core,56.50040883,18.05396566,25.44562551,3455,1104,1556,6115,home-assistant/core,"1,576,383","1,192",0.08%,12,0.00%,"4,616",0.29%,"4,606",0.29%,4.70%
microsoft_nni,54.78618421,16.06907895,29.14473684,3331,977,1772,6080,microsoft/nni,"123,547",147,0.12%,0,0.00%,225,0.18%,"2,373",1.92%,7.40%
tensorflow_models,56.84558216,13.67464905,29.47976879,3442,828,1785,6055,tensorflow/models,"383,376",144,0.04%,0,0.00%,243,0.06%,"3,856",1.01%,7.90%
pytorch_fairseq,55.97201399,16.72497085,27.30301516,3360,1004,1639,6003,pytorch/fairseq,146075,0,0.00%,96,0.07%,173,0.12%,"1,868",1.28%,7.30%
ray-project_ray,52.71069076,16.43303496,30.85627428,3121,973,1827,5921,ray-project/ray,"682,988",406,0.06%,21,0.00%,"1,162",0.17%,"14,116",2.07%,4.00%
tensorflow_tfjs,57.54170923,17.02417433,25.43411645,3380,1000,1494,5874,tensorflow/tfjs,"286,006",158,0.06%,9,0.00%,221,0.08%,"4,362",1.53%,7.80%
bulletphysics_bullet3,64.23370319,15.22191401,20.5443828,3705,878,1185,5768,bulletphysics/bullet3,"1,519,523",871,0.06%,5,0.00%,580,0.04%,"81,498",5.36%,18%
fastai_fastai,61.16660721,14.5915091,24.2418837,3429,818,1359,5606,fastai/fastai,"14,159",26,0.18%,0,0.00%,1,0.01%,556,3.93%,0.10%
mozilla_DeepSpeech,55.25221479,18.35111191,26.3966733,3056,1015,1460,5531,mozilla/DeepSpeech,"220,524",34,0.02%,0,0.00%,139,0.06%,"33,088",15.00%,66.40%
OpenMined_PySyft,55.30923994,15.83457526,28.8561848,2969,850,1549,5368,OpenMined/PySyft,65489,74,0.11%,17,0.03%,196,0.30%,"1,041",1.59%,1.80%
tensorpack_tensorpack,53.80798274,17.79935275,28.39266451,2494,825,1316,4635,tensorpack/tensorpack,"25,389",14,0.06%,0,0.00%,25,0.10%,643,2.53%,1.00%
mlflow_mlflow,57.00069428,13.37653321,29.62277251,2463,578,1280,4321,mlflow/mlflow,"283,628",223,0.08%,23,0.01%,410,0.14%,"2,907",1.02%,3.50%
TheAlgorithms_Python,48.23269514,17.89396171,33.87334315,1965,729,1380,4074,TheAlgorithms/Python,"45,404",21,0.05%,0,0.00%,112,0.25%,434,0.96%,1.10%
deepfakes_faceswap,60.7424358,15.71319603,23.54436817,2389,618,926,3933,deepfakes/faceswap,"43,818",34,0.08%,0,0.00%,13,0.03%,315,0.72%,0.40%
EpistasisLab_tpot,60.28198989,14.23250865,25.48550146,2266,535,958,3759,EpistasisLab/tpot,"17,449",49,0.28%,0,0.00%,18,0.10%,"1,412",8.09%,18.20%
CorentinJ_Real-Time-Voice-Cloning,57.83812853,15.78381285,26.37805862,2151,587,981,3719,CorentinJ/Real-Time-Voice-Cloning,"4,334",3,0.07%,0,0.00%,4,0.09%,133,3.07%,0.80%
junyanz_pytorch-CycleGAN-and-pix2pix,50.16257759,16.8785102,32.95891221,1697,571,1115,3383,junyanz/pytorch-CycleGAN-and-pix2pix,"1,886",0,0.00%,0,0.00%,10,0.53%,58,3.08%,0.00%
magenta_magenta,57.16186253,15.6097561,27.22838137,1289,352,614,2255,magenta/magenta,"44,930",13,0.03%,0,0.00%,50,0.11%,635,1.41%,4.90%
keras-team_autokeras,60.76071257,12.85507944,26.38420799,1262,267,548,2077,keras-team/autokeras,"8,181",6,0.07%,0,0.00%,14,0.17%,133,1.63%,1.20%
deezer_spleeter,63.61336032,13.15789474,23.22874494,1257,260,459,1976,deezer/spleeter,"2,443",1,0.04%,0,0.00%,11,0.45%,39,1.60%,0.00%
albumentations-team_albumentations,48.70492636,21.38141188,29.91366176,959,421,589,1969,albumentations-team/albumentations,"15,153",8,0.05%,0,0.00%,106,0.70%,263,1.74%,3.40%
google-research_google-research,59.87493486,17.56122981,22.56383533,1149,337,433,1919,google-research/google-research,"263,235",893,0.34%,8,0.00%,"1,494",0.57%,"21,113",8.02%,8.80%
pytorch_examples,53.32840237,17.97337278,28.69822485,721,243,388,1352,pytorch/examples,"8,163",0,0.00%,0,0.00%,19,0.23%,135,1.65%,4.50%
tensorlayer_tensorlayer,54.24785659,13.17225253,32.57989088,696,169,418,1283,tensorlayer/tensorlayer,"29,926",18,0.06%,0,0.00%,67,0.22%,"1,587",5.30%,13.40%
jantic_DeOldify,66.38418079,15.81920904,17.79661017,705,168,189,1062,jantic/DeOldify,"11,860",19,0.16%,0,0.00%,8,0.07%,567,4.78%,2.00%
deepmind_sonnet,63.17689531,12.45487365,24.36823105,350,69,135,554,deepmind/sonnet,13214,2,0.02%,0,0.00%,0,0.00%,158,1.20%,1.90%
facebookresearch_pytext,53.65853659,13.24041812,33.1010453,154,38,95,287,facebookresearch/pytext,"57,270",42,0.07%,0,0.00%,43,0.08%,714,1.25%,3.60%
yunjey_pytorch-tutorial,41.30434783,17.39130435,41.30434783,95,40,95,230,yunjey/pytorch-tutorial,"1,301",0,0.00%,0,0.00%,0,0.00%,12,0.92%,5.80%
ddbourgin_numpy-ml,73.88059701,11.19402985,14.92537313,99,15,20,134,ddbourgin/numpy-ml,16278,12,0.07%,0,0.00%,5,0.03%,"1,998",12.27%,5.30%
microsoft_ai-edu,43.58974359,15.38461538,41.02564103,34,12,32,78,microsoft/ai-edu,"230,322",2183,0.95%,1,0.00%,85,0.04%,"17,706",7.69%,82.70%
