comment,sentiment
would appreciate something missing,negative
could use method strategy mess would say maybe trainer,negative
dear currently lightning lightning flash could following python class model self key value value key value trainer key self child self child key value super key value combination lightning flash need make work would nice include understand get fix work,positive
default value previous statement make difference strike task instead showing try running example transformer provided following script change python version virtual environment path module purge module load source python deactivate,negative
sadly batch script trainer trainer trainer error thrown configuration raise machine time task,negative
hey different way request example request flag case set like could also include type would give node make sure used properly trainer need also provide number trainer auto auto hope,positive
fabric correctly handle treat unwrapped part model despite strategy selected,neutral
plan add validation lightning lightning official support override default lightning behavior use number instead trigger validation right discard last batch make grad,positive
facing similar issue training cluster want use single node reading documentation slightly confused setting equal trainer spawning main request naturally ideally would like single task would case local machine edit problem occur running one task setting trainer,positive
could update provide way message would better show something like parse foo key make sure format returned confusion issue providing custom error message help fact also used making still agree error something generic particular lightning better invest time supporting way error also effort one possibility could track source problematic key print different error depending origin problem error could suggest user look help without providing error could suggest help particular,positive
issue also work time content error code message blob type invalid operation time,neutral
use often used also remove signature still work latest lightning version thanks lot response parameter parameter multiple used example used body example must put signature otherwise going give error multiple self batch loss self batch loss would assume method use somewhere somehow hood figure happen use body method hope understand trying ask body method signature multiple weird thanks help,positive
report master decrease coverage coverage summary additional impacted coverage master coverage,neutral
status passing summary summary check id status lightning success lightning success lightning success lightning success lightning success lightning success lightning success lightning success lightning success lightning success lightning success lightning success success success success success success success success success success summary azure check id status testing lightning latest success testing latest success summary check id status success summary fabric check id status fabric success fabric success summary check id status lightning success lightning success lightning success lightning success lightning success lightning success lightning success lightning success lightning success lightning success lightning success lightning success fabric success fabric success fabric success fabric success fabric success fabric success fabric success fabric success fabric success summary azure check id status testing fabric latest success testing lightning latest success summary check id status success summary install check id status success success fabric success fabric success success success lightning success lightning success success success success success fabric success fabric success success success lightning success lightning success success success success success fabric success fabric success success success lightning success lightning success success success thank contribution note comment automatically every contact help,positive
plan add validation lightning lightning official support override default lightning behavior use number instead trigger validation,neutral
thank feature clumsy discussion,negative
status passing summary summary check id status lightning success lightning success lightning success lightning success lightning success lightning success lightning success lightning success lightning success lightning success lightning success lightning success success success success success success success success success success summary azure check id status testing lightning latest success testing latest success thank contribution note comment automatically every contact help,positive
update load model quantization lightning assume lightning sample backward pas excess use context manager keep lightning faithful stated size however soon model textual data go suspicion properly handling quantization respecting frozen think reason double bit model would single backwards pas,negative
thank much getting back quickly sample script run python precision full false true false false image directly run need pas two without following different forward pas saved device device saved device device,positive
note bypass handle everything manually setup actually take advantage quantization told model trainer go train immediately even unsure going wrong,negative
facing error torch learning rate worked work thank much,positive
would touch anything feature already expect anybody go ahead set strange flag wo understand would say lot confusion error message action key foo check value user work action key generally true idea going hood could update provide way message would better show something like parse foo key make sure format returned,positive
use often used also remove signature still work latest lightning version,positive
thanks calling passing good,positive
status failure warning job need merge write access repository ask push new commit summary summary check id status lightning failure lightning failure lightning failure lightning failure lightning failure lightning failure lightning failure lightning failure lightning failure lightning failure lightning failure lightning failure failure failure failure failure failure failure failure failure failure summary azure check id status testing lightning latest failure testing latest failure summary check id status success summary check id status failure failure summary check id status failure summary install check id status success success fabric success fabric success success success lightning success lightning success success success success success fabric success fabric success success success lightning success lightning success success success success success fabric success fabric success success success lightning success lightning success success success thank contribution note comment automatically every contact help,positive
well yes originally lightning ended third link doc version fair end assume still thing,positive
well explicitly search flash find,neutral
following link image third link page image none indicate deprecation mistaken,neutral
also issue lightning unusable big plan fix,neutral
another bug code policy wo wrapped reference implementation defined use,neutral
thanks important detail everything still many code reference see precision lightning equivalent would like show also reference implementation default nowhere code please share full code running data dummy random data reproduce seeing also encourage compare implementation,positive
