comment,sentiment
hey idea could import terrain like material onto simple platform like structure,neutral
problem python longer used,neutral
expression always true like compiler implicitly operator pointer bool,positive
hi resolve issue gazebo would able review,positive
able fix issue language export solution whether use point separator,positive
anyone issue see pull request,neutral
still added back still see comment could confirm indeed used use,neutral
still possible use sphere shape ellipsoid many ago,positive
accidentally added binary file modification removed pull request,neutral
fixed repeat get following output note version version build time,positive
would also appreciate clarification also ran nan trying use fixed point type certain proper behavior supposed,positive
include include main initialize create window configure window window application null null window return window initialize glad must done context glad return use rest code return,positive
still stuck start sleeping like upon another object become active,negative
luck sorry find time yet try defiantly try beginning next year,negative
sure example browser written documentation image assuming color way give answer,positive
hey found issue build also ran get everything working eventually working eventually try make pull request official bullet page linked method use file tested today verify working alright try method pretty sure error order linked,positive
personally working bullet clone bullet build project test think able help specific maybe talk experience bullet package willing try direct method see get running,positive
yes use file starting point new project seem working,positive
assuming talking file otherwise post content file working remember able use program starting point working correctly running,positive
also confirm running already,neutral
issue try running script python,neutral
mac chance solution running issue switching mac program linking bullet version exhibit issue edit looking pretty unlikely mac problem isolated unrelated,negative
hello face problem cant touch curved face shown tried add yes link label still cant touch problem thank,neutral
think play around gravity parameter wed wrote succeed model underwater want based get enough useful could help reply directly view id,positive
succeed model underwater want based get enough useful could help,positive
also tried system bullet version thing,neutral
sorry late response thanks kind help,negative
think possible running demo run pressing stepping simulation would recommend searching,neutral
nice catch code get first friction constraint based index rather old potentially invalid reference,positive
project maintainer available move forward target far tell break anything benefit face problem see th may bullet closed,positive
potential issue result like time call call vector might move make reference first friction invalid,positive
project maintainer available move forward target far tell break anything benefit face problem,positive
subset compatible gymnasium pip install message may interest several people,neutral
cable model exploded cable set incorrectly problem setting scale mass,neutral
like work make sure directory first try put long path call,positive
issue let know figure,neutral
trouble building link binary anyone know create command line argument convert instance bump also struggling,negative
worked implementation jolt provided might helpful someone get overview digging code,neutral
use may need scale torque applied happy close leave open desired behaviour met,positive
lot fixed problem end posting case anyone else basically strange machine number bullet example also elsewhere install bit sure none official install work contain interested premake build entirely understand work machine produced undefined behaviour several end worked building bullet good old fashioned way build build make behaviour machine lined though idea anyone else issue maybe try,positive
issue happen certain use seem problem within bullet,positive
test use python library load file work fine correctly link use code import joint print correctly correctly robot machine machine,positive
update check something file tried file data directory consistency machine got direct mode loading robot id path robot whereas machine got direct mode loading robot id path robot issue file,positive
load device however load device connect device way able load single server two different connected device import import time import else print ready print graphic server line error load device import import import time address device range operating system version,positive
hi would like suppress build time message printed import python become especially cumbersome print process use also terminal unit problem resolved,neutral
brief overview algorithm also relevant,positive
issue different environment container older version get version version build time however reproduce help even though version build time one day actually also exactly version,positive
sure exact problem may want consider geometry file see,positive
error resolved bullet argument add,neutral
hey also problem used although dirty hack unable find simpler way python import import class object stream none self stream file self python stream unaffected open stream self type value stream buffer empty stream run code inside case python range client find simpler way let know,negative
think found solution problem load model transform model dynamically ensure change made one step also write code like also solve problem,neutral
hello meet problem figure,neutral
yes worked sent august author subject build issue meet problem reply directly view id,negative
stop rendering update start rendering manually function control rendering,neutral
solve problem also result wrong,negative
function horizontal vertical diagonal,neutral
update provide information instead ca find useful information lot people struggle problem,positive
facing issue future dependency issue stuff install install anaconda install,neutral
query contact filter particular check penetration contact see,positive
matter past turn package installation wait long work without hassle,negative
done research based git presentation slide watertight whatever inside could anyone confirm also true also watertight mesh wise closed connected,positive
hi use tool general recently someone know mesh need thinking like closed mesh size mesh heavy connectivity error get request come solid work project think might inside main part may cause one thank advance,negative
successfully possibly log account previous,negative
worked import true true surf vol surf volume,positive
trouble building link binary anyone know create command line argument convert instance,negative
include think hard would love help effort quickly checked could quickly migrate gymnasium although hard think job quite effort since import also step method reset method behaviour rendering behaviour information see end decided use compatibility provided research see python register,positive
found issue passing pointer local variable like bad go scope fixed version probably user error,negative
worked around good enough even use used implementation example,positive
slow wheel available python see therefore built source time,positive
include think hard would love help effort,positive
two lateral friction direction anyone explain,neutral
problem like problem solution upgrade driver add command line refer,neutral
request someone answer query thanks,positive
additionally removed even see body getting simple overlap check supposedly distinct python import contact contact continue keep list body scene bullet return body already removed continue continue float float float float float float tolerance float true overlap given return tolerance tolerance tolerance tolerance tolerance tolerance tolerance tolerance tolerance tolerance tolerance tolerance,positive
headless blender use bool operation bet get mesh back use,neutral
would possible something like class hole bool return similar narrow sweep would advantage faster mesh based still working convex internally,neutral
issue arm could compile,neutral
figured issue decomposition vertex used different tool create decomposition script provided everything worked thank much work,positive
decomposed multiple still use convex hull instead individual mesh without concave yes collision shape visible looking view change normal missing,positive
thanks quick reply tell make give contact person made help lot hello got exactly issue wan na stay modify file wo shaking time issue thanks lot hey find solution file,positive
example model suffix file,neutral
solution update build get bullet release extract extract shell python build python install exactly python build get error error visual greater get build already build version image get error continue next step update fixed following stack overflow guide forgot tick development box thanks help,positive
new confirm issue double precision first ray second make bit obvious point point ray hit point work point point point point assert point point point point assert ray moving along axis error make use full double precision could would say issue title incredibly bit exaggerated otherwise agree ray hit inside object either separate ray setting default case floating point error would probably exist ray end object could use start ray see anything maybe small sphere reuse gun however turning double precision solution inside cube wo acceptable regardless issue double precision bullet unless reason bullet development unfortunately slow ogre open trivial stuff bother contribute give try would like see engine get better,positive
double precision try patch instead git index void basic rigid void assert assert see identical one one repeat desirable property,neutral
single precision double specific bash add used extensively past never said like duplicate ray inside shape hit difference ticket mine although mine outside cube close inside floating point error could explain double single precision however turning double precision solution inside cube wo acceptable gave lot thinking issue solution modify select desired behavior ray inside shape useful need know ray something game whether projectile target need different code handle type ray test see solution box ray inside shape useful certain escape inside shape without property rely ray testing reason inside shape would never able escape object current behavior ray sphere sweep test radius matter fixing bug matter different current behavior bug feature,negative
base link name code return link link,negative
root link least case instance example joint index link index expressed link link index try check index link state missing first link number number link main limitation current approach ca get root link name also one one relation link weird,negative
found answer use result error used success,positive
tried change bullet double precision ca reproduce problem run basic example example browser return true create get tried first comment work get following hit point add used extensively past never,positive
please tell fix problem,neutral
anyone useful derived via implement new ray test accurate ray box test regular code want change bullet code unsure would break anything current may undesirable end depending desirable property start inside escape object someone need ray test work even ray inside shape solution know include class final public public dispatcher custom implementation ray shape box accuracy original see deal wo report child shape got hit particular shape fallback code world ray ray made param param param void static void include include include include include include algorithm include public world world division zero set bool process proxy override bool proxy terminate ray zero return false perform else culling already done return true dispatcher dispatcher void else static bool box mint normal check face turn min mint check point actually inside fix accuracy value lay exactly extend often slightly beyond causing test fail mint mint check point actually inside fix accuracy value lay exactly extend often slightly beyond causing test fail mint mint mint return false mint normal return true void switch case normal fraction normal fraction fraction normal fraction bool true break default fallback bullet code break else deal compound may handle final void void process leaf override else else fallback bullet code,positive
angular velocity implementation might actually incorrect linear velocity great though little testing afternoon,positive
hey decided implement let know anything like anything important,positive
hello would kindly review would greatly appreciate input happy address thank much time consideration,positive
may duplicate except case origin close yet inside box locally point would considered inside box,neutral
bullet surprisingly painless commit afraid remain following patch applied top commit problem git index void basic rigid void assert assert first assert wo hit second one despite exact ray make even extreme problem remains look like simple floating point error huge error see ray go long distance box yet one version true false tried problem,positive
version like really old version library update first commit today problem fixed close issue,positive
thanks button hide utility worked met another issue slider tool work fine however quite frequent error message load around time random slider error message like open another issue image,positive
note pseudo code joint velocity position value joint set frame data hope,neutral
margin may set code change margin provide real case big case first added since code possible set true one think code may enter use zero change fixed problem code,positive
compatibility gym master branch thanks,positive
image error get like memory access violation would go issue currently trying build source mode see investigate,neutral
likely shadow transparency rendering text rendering try pressing see,neutral
one option use library generate triangle surface use perform collision detection done effort,neutral
could try assign collision filter see ask,neutral
yes totally different render engine one simple tiny renderer hardware going fixed,positive
thanks report zero length provide reproduction case collision margin set touch exactly,positive
think solution acceptable nutshell run aba twice first time get unconstrained run constraint solver iterative default know constraint run aba compute joint taking constraint account properly could need run second time yes please create merge,positive
thanks lot fix also nice see gazebo option bullet welcome yes excited able use confirm fix good solution happy create,positive
confirmed many purely added,positive
thanks lot fix also nice see gazebo option bullet,positive
hey far understand file surface texture useful simulation surface like cloth volumetric consideration need file tetrahedral said volumetric simulation need file create file cad file please check thanks lot already,positive
gotten issue tetrahedral mesh made tried different mesh generator general best found manually corresponding triangular file accordingly may also want try object improve regularity use believe something similar apparently way export tetrahedral figure yet since need make ton high priority thanks lot already deal problem problem quickly,positive
check fork blender body physic pin body,neutral
gotten issue tetrahedral mesh made tried different mesh generator general best found manually corresponding triangular file accordingly may also want try object improve regularity use believe something similar apparently way export tetrahedral figure yet since need make ton high priority,positive
process translate got error memory corruption get reason,neutral
hi understand use controller give motion humanoid calculating force internally move joint one position another physic without external force center mass body drift way overall force could made zero external controller give motion,negative
thank problem reason problem consider degree freedom floating base however sure specific addition find description help documentation provide explanation thank much advance try passing see also used problem solution solve problem error file line function returned result error set inverse dynamic solve could give hand,negative
fixed moving chassis cube size suspension long well meant could potentially interact,positive
try passing see also used problem solution solve problem error file line function returned result error set inverse dynamic solve could give hand,neutral
problem first position due value assigned turn assigned many simulation ray hit result problem even two dynamic world vehicle small change normal negative plane normal vector index hit normal index hit normal problem ray wheel chassis problem setting th bit chassis mask seem like good solution,positive
hey far understand file surface texture useful simulation surface like cloth volumetric consideration need file tetrahedral said volumetric simulation need file create file cad file please check,positive
create triangle mesh shape without quantization auto new false true performance collision detection ten time faster faster accurate often wrong surface mode always accurate like collision library try update new version,positive
