comment,sentiment
full support going even paper provide even cheap,positive
anyone else take issue support homogenous heterogenous would good u going forward improve test every aspect,positive
believe regression version kernel feel free open issue think way improve wo cause regression,positive
done issue already support feature copy overlap pinned,neutral
new functionality class support taking account small could theory make graph different node type support small,negative
issue automatically marked stale due lack activity closed activity thank,negative
commit id build id status test report path link full path link,positive
trigger regression run example run run kernel,neutral
commit id build id status test stage torch example test report path link full path link,positive
commit id build id status test stage authentication report path link full path link,positive
authorized trigger please ask core developer help trigger via issuing comment,neutral
rather quickly optimization pretty significant homo sampling synchronization instead,positive
commit id build id status test due overrun report path link full path link,positive
unresolved related future shortly address resolve,neutral
opening resolve review later,neutral
able adequately address feel free merge polish improve certain code,positive
failure random converting homogeneous graph peak mem reshuffle split graph fatal python error segmentation fault thread recent call first file line wait file line wait file line run file line file line current thread recent call first file line file line file line file line file line file line file line file line file line file line file line file line file line file line file line lambda file line file line file line file line file line file line file line file line file line file line file line file line file line file line file line file line file line file line file line main file line file line module file line file line extension total line segmentation fault core python,negative
commit id build id status test stage distributed torch unit test report path link full path link,positive
never merge release branch directly please open new master branch instead,positive
hello pull request documentation whenever moment could please review feedback would greatly best,positive
commit id build id status test stage build report path link full path link,positive
ca reproduce failure local system proceed,negative
commit id build id status test stage lint check report path link full path link,positive
commit id build id status test stage unit test report path link full path link,positive
related issue old architecture support,positive
commit id build id status test stage torch win unit test report path link full path link,positive
latest torch torch yet according work improve error message loading library upon unsupported torch figure better way support new torch,positive
might found solution without limiting try potential solution first,positive
error message could currently enlightening,positive
unfortunately would able build source torch example work added line would able build source latest torch would attempt install ah certainly sense could however load u compile specific torch version check load version suitable instead giving error give warning instead actually feel error may helpful warning easier catch error downstream code dependency,positive
hi like currently support torch next release include box support later torch good know thanks case pip install also ensure torch returned happen unexpecting end unfortunately would able build source torch example work added line would able build source latest torch would attempt install could however load u compile specific torch version check load version suitable instead giving error give warning instead,positive
hi like currently support torch next release include box support later torch good know thanks case pip install also ensure torch returned happen end,positive
build source want support latest torch definitely need fix additional dependency though,positive
additional context even still error python recent call last file line module file line module import file line module import file line module distributed import file line module import file line module import file line module file line raise find library leaning towards incompatibility newly full install process hi like currently support torch next release include box support later torch list currently torch,positive
dispatch mechanism correct run one code compute capability another otherwise,neutral
sample fetch feature well,neutral
think perform separation different different inside conversion function sampling code need sampling use representation overall throughout sampling code convert absolutely,positive
like code made incompatible,neutral
commit id build id status test stage torch unit test report path link full path link,positive
overall epoch time improvement,neutral
let merge first optimize future,positive
detailed performance number current improvement,positive
please help look package issue,neutral
facing problem docker image provided even running sage example twice get different edit confirmed bug issue different case issue also use indeterminate case different deterministic save initial model reuse run solve problem yes tried also tried save data still device still solution trying possible correct answer even following deterministic documentation,positive
facing problem docker image provided even running sage example twice get different edit confirmed bug issue different case issue also use indeterminate case different deterministic save initial model reuse run solve problem,positive
checked code found setup correct model weight time model object want deterministic behavior could either reset right model time initialize model reload repeated training model told worked model deterministic bellow code snippet model load model,positive
facing problem docker image provided even running sage example twice get different edit confirmed bug issue different case issue also use indeterminate case different deterministic,positive
facing problem docker image provided even running sage example twice get different edit confirmed bug issue,positive
another test sliced old version current inside loop current without inside loop might faster fact close suspicious could test feature fetch forward pas without feature fetching forward pas want look atomic load see loop want merge first continue optimize tried implement think atomic load like value way load atomically end current code since thing loop use argument perform atomic load operation see tried tested performance,positive
another test sliced old version current inside loop current without inside loop might faster fact close suspicious could test feature fetch forward pas without feature fetching forward pas want look atomic load see loop want merge first continue optimize tried implement think atomic load like value way load atomically end current code since thing loop use argument perform atomic load operation one expensive atomic,negative
another test sliced old version current inside loop current without inside loop might faster fact close suspicious could test feature fetch forward pas without feature fetching forward pas want look atomic load see loop want merge first continue optimize tried implement think atomic load like value way load atomically end current code since thing loop,positive
code demonstration runnable seamlessly try,positive
version follow template bug report,neutral
double check original code author believe feel free file link justification,positive
another test sliced old version current inside loop current without inside loop might faster fact close suspicious could test feature fetch forward pas without feature fetching forward pas want look atomic load see loop want merge first continue optimize,positive
another test sliced old version current inside loop current without inside loop might faster fact close suspicious could test feature fetch forward pas without feature fetching forward pas,positive
another test sliced old version current inside loop current without inside loop might faster fact close suspicious could test feature fetch forward pas,positive
another test sliced old version current inside loop current without inside loop might faster,positive
sorry old thread programmer ca figure use call compatibility install use flag thanks,negative
commit id build id status test stage torch win example test report path link full path link,positive
change use directly work available,positive
tested latest master branch,positive
regression fixed could verify,positive
might best measure performance making feature dimension smaller case feature fetch bottleneck system like,positive
much new implementation old one time complexity also tested local machine significant slow could also test advanced example one sampling tested average epoch time may also add option decide path go whether user need deterministic maybe speed making result sable reason user want result performance see around performance loss machine advanced example,positive
could please paste error message,neutral
much new implementation old one time complexity also tested local machine significant slow could also test advanced example one sampling tested average epoch time may also add option decide path go whether user need deterministic maybe speed making result sable reason user want result performance,positive
much new implementation old one time complexity also tested local machine significant slow could also test advanced example one sampling tested average epoch time may also add option decide path go whether user need deterministic,positive
much new implementation old one time complexity also tested local machine significant slow could also test advanced example one sampling tested average epoch time thank let test merge review process may impact performance,positive
much new implementation old one time complexity also tested local machine significant slow could also test advanced example one sampling tested average epoch time,positive
