comment,sentiment
also impacted please help fix,neutral
issue motion sensor motion pressing install trick,neutral
wondering looking pushing hard get across finish line,negative
believe since integration first thanks observation lot time clearly something need change ca see way would provide previously data recently data think two problem slightly lower number intended simply u stale data need specifically work around never seen would willing able run script computer would capture raw data see catch device behavior directly,positive
hey mind taking look issue integration listed code owner thanks summary code owner code trigger bot close issue rename awesome new title issue reopen reopen issue current integration label issue add integration domain command add label problem dependency problem custom component issue remove label problem dependency problem custom component issue sub sup message documentation source sub sup message,positive
removed ping also automatically removed ping integration result quick ha restart procedure log please let know help way,positive
actually need since platform setup parallel well,neutral
designed support use gon na go back make support like designed case group term complexity get rid,neutral
problem update starting new issue,positive
need run profile make sure add significant cost think need fix good result help user identify start without import time bass platform set,positive
hey mind taking look pull request integration listed code owner thanks summary code owner code trigger bot close pull request rename awesome new title pull request reopen reopen pull request current integration label pull request add integration domain command add label problem dependency problem custom component pull request remove label problem dependency problem custom component pull request,positive
show exactly user would expect unrelated wait time gone show timing expensive setup entry domain,negative
activity issue recently due high number incoming clean old many already resolved latest please make sure update latest home assistant version check issue let u know work comment issue marked stale closed activity thank,positive
going consider issue stale since lot error wo help u new one please raise new issue update one thing done couple version went smooth quick without suddenly issue come smart plug could triggered issue curious thanks,positive
going consider issue stale since lot error wo help u new one please raise new issue,negative
use validation translation string validation translation string validation translation string system home assistant o stable home assistant o,neutral
please update lot around starting home assistant,neutral
need three backward optionally add something like python directly first use syntax make output readable edit previous see,positive
issue ha core supervisor o error free ha within one minute suddenly get issue ha many start wait wrapping eventually safe mode took many start log safe mode om,positive
thing missing update documentation removed entry explanation added,negative
wrong post code code top look like,neutral
similar issue try reload system problem ha,neutral
give try tomorrow bedtime,neutral
tested new install integration working thank,positive
try safe mode find custom component maybe something expect cause,positive
dont show camera wind rain still working one show,neutral
hi luck anxiously fix,negative
o version home assistant o home assistant core home assistant observer python cat found find find file director docker cat u,neutral
nothing log case making require made separate issue,neutral
yes like problem gone found gateway terminal command ha network network stuff gateway address normally router normally gateway took spot two return command core supervisor access fix clear tried several different eventually got working static machine year making sure working plugging machine directly router previously connected switch waiting fairly long time machine sort connection idea took long another ha network check found well core supervisor connectivity although machine dynamic rather static sorry helpful afraid understand earth gateway,positive
guess need group aka specific entry context freeze per group,neutral
similar observation please look high believe problem,positive
seeing similar error message serial connection suspect error related error serial device socket keep trying error error job exception none recent call last file line file line raise handling exception another exception recent call last file line file line file line close file line file line raise try blocking call sleep inside event loop use await causing stability please create bug report,neutral
interesting still shell run following command post output bash cat,positive
done home promotion auto launch think auto launch culprit still seen use however integration continue work,neutral
look hardware tab system look likely one see path,neutral
still bit report sum apple wait discovery show probably track entry separately report one,neutral
faulty high usage check came back like check tomorrow back,positive
sure something unexplainable logbook unavailable motion identify march tuned strange think sensor stuck motion one hour device next gateway one main difference working without could lead kind race condition motion provide data without,positive
tried make code run condensed sorry took min figure get copy client python ran nothing returned find command python find,negative
hey mind taking look pull request integration notify listed code owner thanks summary code owner code notify trigger bot close pull request rename awesome new title pull request reopen reopen pull request notify current integration label pull request add integration domain command add label problem dependency problem custom component pull request remove label problem dependency problem custom component pull request,positive
filter logger could added sorry supposed obvious context use suggestion lower critical sane thing repeatedly pointing ill close response,negative
problem ca fixed home assistant python opening serial connection ca start running suggest disable migrate back use second device thread,positive
hi facing issue would like try fix manage add custom code tried component code however found try add integration,neutral
repeated every lacrosse connect could open port file directory file directory line line could open port file directory de mon anything directly view id,positive
closed issue yet resolved,negative
every next connection retry yes every fully sure filtering interested integration set log level critical logger,positive
weather forecast change forecast attribute weather entity removed home assistant core access attribute work documentation weather integration example extract information weather entity service call store data trigger based template sensor give access data use want store entire forecast attribute template sensor access data forecast attribute weather entity,neutral
integration specific developer documentation guide use feature request section forum contribute create new feature also channel discord chat server sure always welcome please feel free create thanks,positive
quite sure found source issue printer saved last known ink level state could check even printer turned found following command browser first run select count count select count inner join group order run event type frequent event previous command select count frequency select limit group order frequency check frequent image,positive
see code warning every would could useful fact trying play would available case also tried filter message error try though believe worked doesnt,positive
mib feature request believe exposed specific developer documentation integration user willing help,positive
hey puddly mind taking look issue integration listed code owner thanks summary code owner code trigger bot close issue rename awesome new title issue reopen reopen issue current integration label issue add integration domain command add label problem dependency problem custom component issue remove label problem dependency problem custom component issue sub sup message documentation source sub sup message,positive
hey mind taking look issue integration flume listed code owner thanks summary code owner code flume trigger bot close issue rename awesome new title issue reopen reopen issue flume current integration label issue add integration domain command add label problem dependency problem custom component issue remove label problem dependency problem custom component issue sub sup message flume documentation flume source sub sup message,positive
hi try look day holiday leave could much sent mar wrote anything directly view id,positive
hi like request support use home assistant core providing support need support try community forum join discord chat server thanks,positive
code according unavailable log warning unavailable log,neutral
course problem work grateful,neutral
tried reproduce past issue several thought looking log found last state missing note filter packet taking state packet last packet missing state still incorrect log helpful understand reopen issue mind prefer new issue link one description correct wrong since shelly right state package somehow proxy device guess missing package right logging try reproduce tomorrow,negative
issue really especially generic memory increase might better another issue,positive
amazing work work timing well thing noteworthy lan port device actually port also seen previous comment gateway output consistent differently web interface example time poe mac port gateway er port poe disabled poe mac port user system total time poe mac port gateway er port poe poe mac port user system total time poe mac port gateway er port poe poe mac port user system total,positive
issue success work around looping cast command,positive
awesome useful thanks new version package added option allow test poe please give try work well add ha integration next command like poe port turn port poe obviously able try hopefully work also interested hear long return whether couple come back,positive
hey issue gone solution get ha static connected via wire unify switch ha everything set automatic system network change manual get valid see wrong gateway,neutral
since memory loss well related specific image update march th first time raised quickly since slowly,positive
hey mind taking look pull request integration shelly listed code owner thanks summary code owner code shelly trigger bot close pull request rename awesome new title pull request reopen reopen pull request shelly current integration label pull request add integration domain command add label problem dependency problem custom component pull request remove label problem dependency problem custom component pull request,positive
guess found issue even know fix ha appear red untill delete metric automatically always displayed image image,neutral
tried reproduce past issue several thought looking log found last state missing note filter packet taking state packet last packet missing state still incorrect log helpful understand reopen issue mind prefer new issue link one description,negative
hey mind taking look pull request integration group listed code owner thanks summary code owner code group trigger bot close pull request rename awesome new title pull request reopen reopen pull request group current integration label pull request add integration domain command add label problem dependency problem custom component pull request remove label problem dependency problem custom component pull request,positive
update fixed bit convoluted sure update somehow gateway address got bit odd running ha static long time ha unknown reason gateway exist lan took bit around edit gateway essentially delete static plug ha machine directly router everything set use whereupon duly got new set gateway router anyone earth gateway get range address love know satisfy curiosity sure fixed worked first took around ten sort need connect working normal say wife happy bunny see car charging much range got left,positive
activity pull request recently pull request automatically marked stale closed activity within day author please leave comment want keep open also please rebase onto latest dev branch ensure date latest thank contribution,positive
hey mind taking look issue integration sma listed code owner thanks summary code owner code sma trigger bot close issue rename awesome new title issue reopen reopen issue sma current integration label issue add integration domain command add label problem dependency problem custom component issue remove label problem dependency problem custom component issue sub sup message sma documentation sma source sub sup message,positive
probably duplicate please check log confirm,neutral
