comment,sentiment
hi delay response indeed cause fact removed bunch fix would use well would like open add,neutral
back got ta catch everything update thank need assistance call time additionally used work well individual inference batch inference,neutral
nice ready well sun mar wrote back got ta catch everything update reply directly view id,positive
already compatible try run conversion get error suggesting need rename error loading missing key unexpected key unexpected key end missing key end create forward pas huge thanks pretty much thing script except local instead hub,positive
hey reason add one original compatible still added already compatible,positive
reason computation also sure slowdown due flag used properly believe measuring latency worse correct worse impossible launch access later discovered also precision float also something take account slowdown something try combat dive bit come float rope cal also look rope note faster taken account hard tackle take memory efficient path memory efficient take fast path use memory,negative
yes need add particular order,positive
prepare basically update appropriate value intend run model affect causal mask longer taken account rope,positive
look yes slow version need custom forward explicitly backward instead engine,negative
back got ta catch everything update,neutral
way automatically added tho since set true default usually avoid touching modeling,positive
thanks review collection documentation test like machine due size model,positive
live documentation reflected available day last update,positive
think yes need pad left generation simply model trained padding right want model continue hello world pad pad pad pad pad pad hello world batch,positive
let know like update anything,neutral
hi sorry delay bad balance quarter yes think page would still good fit link think another section would better,positive
use approach taken force float key co sin tensor example mixed precision training automatically downcast case,neutral
hi would love help one else working,positive
want load pipeline locally instead call model directly branch git clone git git add file import pipeline pipe pipeline pipe wearing print course use hope work,positive
odd issue label actually leaning considered team since clear label column label delete label issue especially module trainer receive see annotation th line may label default data collator transformer amazing convenient hope added help people process,positive
confirm param output parameter,neutral
nice catch fix try,positive
problem sorry make sense,negative
thanks let modify accordingly sun mar wrote like dev version already cohere use reply directly view id,positive
issue automatically marked stale recent activity think still need please comment thread please note follow likely,negative
yes helpful load web image know load local model pipeline load like model processor case might need add beginning path indicate relative path want load pipeline locally instead call model directly,positive
yes helpful load web image know load local model pipeline load like model processor case might need add beginning path indicate relative path,neutral
found way fix trick load image pillow library full code import import torch import image import model processor device else device image prompt wearing processor device print output like python loading warning wearing hat hope work yes helpful load web image know load local model pipeline,positive
found way fix trick load image pillow library full code import import torch import image import model processor device else device image prompt wearing processor device print output like python loading warning wearing hat hope work,positive
trainer script running directly,positive
like dev version already cohere use,neutral
thanks helpful try get soon,positive
thank made pull request happening well,neutral
need set false main reference model see comment comment try solution work like charm set false make evaluation training read doc use cache link seem like reduce inference time explain work like charm sir,negative
put together notebook one cache dev work also wrapped new test case ready pasted,positive
sequence would fine would enable pas distribution try create corresponding weekend,positive
whoop sorry saw oh fair like sort mechanism allow conversion occur maybe sort mechanism ie write,positive
wait saying llama mistral interesting gemma bug make somewhat become accurate would say maximum also fixed llama rope issue another hit however inference recently smart team made inference fully faster inference might cause non however knowledge mistral touched include update mistral suggest issue causing slowdown back envelope ie guess much mistral llama gemma,positive
hi yes hope issue since interface person file u want file please kindly guide routine thanks lot,positive
someone reopen issue think issue really fixed,positive
thanks lot advice also issue think root trained model,positive
something quite right setting training match setting seem work though behavior work module none target found please make sure pas valid,positive
hi sorry fixed yet tested yesterday commit problem still issue found custom mask pasted top corner first iteration empty cache smoothly pas next iteration set starting later layer tensor used extract attention mask causal mask since zero extracted mask different original mask ignore handling custom attention mask document cook passing custom attention mask intact somehow else ensure delivery mask intact maybe extra option also test perform one forward iteration allow testing cache know greater context part glad test though please fix need work fancy speculative show soon,positive
thanks fast review accepted made couple small,positive
already latest version even pip install work missing something,positive
hey took peek hood like setting slow super method receive parameter set passing work preliminary python import mind take edit completeness showing behavior unchanged,positive
hi found problem properly line syntax completely remainder file fixed commit look file red create new issue new line push along apart branch recent let know,positive
afternoon code side doc later,neutral
complexity could reduced bit removing setting several implementation without efficient quite slow use purpose testing watermark quality,negative
thanks feedback yes indeed higher context width better performance reluctance complexity code opening whole functionality add possibility set context width yes different implementation work form would nice right work prefer leave future see active usage feature,positive
ready go branch cut release though since lot core code want merge right release instead suggest right branch cut finalize merge blocked possibly one ready stress obviously could launch new together following release section release,positive
hello would appreciate review translation thank,neutral
hi helpful thanks super clear copyright assignment hugging face,positive
