comment,sentiment
hello would like use mandarin extract audio however find way load file tried load also bug may get file academic purpose thank much,positive
please avoid posting impossible work sadly curl curl please adapt pip failing either version publish wheel incompatible official python plus project unmaintained,negative
project unmaintained probably broken dont time,negative
project unmaintained best advice given rebuild,positive
python likely incompatible built official python please rebuild directly install wheel might fail weird way,negative
python still got image wrote oh typo mean need python latest python release support python python release need build source see also reply directly view comment id image,positive
python still got image wrote oh typo mean need python latest python release support python python release need build source see also reply directly view id,positive
oh typo mean need python latest python release support python python release need build source see also,positive
mean pip install deep speech work python wrote according need python support could get docker reply directly view id,negative
according need python support could get docker,neutral
python better yet try,positive
happening ca even install library wheel python sad,negative
unsupported version python fix unless want take maintenance python version,neutral
unsupported version python fix unless want take maintenance,neutral
anyone got anywhere got share considering looking work already done start obviously training apple silicon hardware question considering still viable solution many small domain specific limited budget support inference apple silicon something would worth working,positive
analyze alongside consider like python provide syllable information phonetic conversion combining create comprehensive solution linguistic analysis spoken,positive
converting spoken text provide syllable linguistic consider specialized like python offer syllable information analyze alongside comprehensive solution,positive
need get back working likely broken since time support new python like many update mean able pip install python version tried install version still possible,positive
happening ca even install library,neutral
seem tool message date subject convert binary model file issue well may several exact process may vary depending specific format available although try give general guideline converting binary file identify binary format different may use different binary conversion process may vary accordingly install common language modeling include binary format use convert example command replace path binary file order path text corpus used generate file flag used specify want compute perplexity also create file note binary format use tool convert replace path binary file desired name resulting file depending specific use case may need perform additional file removing certain keep mind exact may vary depending binary format used make sure refer documentation specific working detailed hope reply directly view id,positive
well may several exact process may vary depending specific format available although try give general guideline converting binary file identify binary format different may use different binary conversion process may vary accordingly install common language modeling include binary format use convert example command replace path binary file order path text corpus used generate file flag used specify want compute perplexity also create file note binary format use tool convert replace path binary file desired name resulting file depending specific use case may need perform additional file removing certain keep mind exact may vary depending binary format used make sure refer documentation specific working detailed hope,positive
unfortunately need know hack dive file build process building combined non trivial like hack around suggest learn first,negative
need get back working likely broken since time support new python like many update file run test sorry ask assume new idiot right,negative
need get back working likely broken since time support new python like many update,positive
project unmaintained thus wheel built python contribute update python branch update course away purpose back nobody interest getting project available help mentor given long time possible lot broken come obviously review awesome issue would need upgrade version python run update code breaking fix issue merge,positive
project unmaintained thus wheel built python contribute update python branch update course away purpose back nobody interest getting project available help mentor given long time possible lot broken come obviously review,negative
project unmaintained thus wheel built python contribute update python branch update,neutral
fair enough trying share perspective outsider collaborator apparently ability close also ability edit file could help understand issue closed still still open close,positive
access repository could mark unmaintained archive indication anywhere project officially unmaintained feel right close valid fixed,positive
project unmaintained thus wheel built python,neutral
also get error console pip install error could find version requirement none error matching distribution found python version,neutral
playbook produced assist training model,neutral
tried install docker deployment cloud sure python version status image python step true running removing intermediate container fad step running removing intermediate container step running removing intermediate container step copy step run pip install verbose pip python error could find version requirement none error matching distribution found command pip install verbose returned code error error build step step status,positive
hey making training model consume audio model create model audio text convert take audio make clear text input model since model trained data set provide value provided text key easily retrieve translation text,positive
please direct anger right people anger sorrow anything also since also related project taking someone else code hard taking lot people code second impossible least hard reason guess main reason nothing yes know constantly everything could make easier discourse reply sorry point much interest possible get people interested enough start nobody whole day number show market would gladly pay reasonable price working product however direct competitor higher wo happen economical quality business model complicated fact away maybe interesting market ca speak reading little project ca make budget hold pay per transcription local hosting solution guess lot people share challenge one motivation first sad truth nobody enough spent little time try continue project sad,negative
please direct anger right people anger sorrow anything also since also related project taking someone else code hard taking lot people code second impossible least hard reason guess main reason nothing number show market would gladly pay reasonable price working product however cloud solution direct competitor higher wo happen economical quality little project ca make budget hold pay per transcription local hosting solution guess lot people share challenge,negative
please direct anger right people anger sorrow anything also since also related project,negative
also record work make project uncoupled people could fork continue unfortunately nobody time,negative
project damned shame like project part source left broken state concerning accessibility many market demand starting mature please direct anger right people,negative
project damned shame like project part source left broken state concerning accessibility many market demand starting mature,positive
project reason support lack hardware available support,positive
tried package issue try edit comment,neutral
please understand project unmaintained likely wheel pair platform python version,neutral
issue gon na work need add browser driver better platform type issue time found computer path problem basically error occur something flow range python file could understand add driver pip install upgrade driver code please drive error gon na fix shell longer outside snap solution add buster cat deb buster main deb main deb main add export export export prefer chromium note cat package pin release package pin origin package chromium pin origin install chromium update install chromium,positive
version python support per page,neutral
per comment last week project unmaintained,neutral
please provide solution link thanks,positive
also meet resolved thanks,positive
may consider transfer maintenance community best effort,positive
work project unmaintained dont even care share nobody help,neutral
similar issue training small model turn lowering batch size enough already set docker image fix lower smaller amount unique case hope help someone stuck error,positive
hi anyone help train code tried many time something could understand,positive
already documentation covering point supporting python please look,positive
official documentation update due change especially swig package new patch major chunk fix first install install latest version time writing compatible build bash curl python upgrade python python set path bash install python export path compile bash git clone git git sync git update configure use bash compile bash apt update apt install use keep process running logged locally skip clean non version build bash opt version build bash opt install make install swig given documentation execute make install like instructed manual otherwise included python wheel miscellaneous bash apt update apt install pip install install swig bash remove swig git clone sh make make install swig swig swig version check swig install return swig version python patch apply following python patch edit swig patch edit line patch change python python pip pip create python bash python non version make version make pip install,positive
action trying achieve making compatible unity believe next step process new file compatible know begin process advice however since new iteration imagine better course action attempt support misread dont know still quite new maybe work done help,positive
