comment,sentiment
choose explicit text implicit text show explicit text really choose one option within code block excluding last one python generating link explicit implicit text conceptually different general different way generate within code block exactly even used multiple clear even difference explicit text implicit text choice one two ref explicit text explicit text also one two ref explicit text key explicit text key ref prefer st closer clear meant prefer first option within code block thus ref explicit text internal ref explicit text key external know closer markdown link syntax markdown generally preferred,positive
fantastic thanks added file explicit think good go ahead merge,positive
great idea bit style guide would really help like explicit first two type show object name third,positive
rerun idea ca view see outage,neutral
yeah rerun everything done,neutral
weird maybe need rerun image still find weird ca find rerun button task maybe need wait whole thing,negative
hi thanks sadly try explain executed every commit made make sure run change able execute notebook correctly think happening initial model one defined python model model model wrapped define sigma sigma intercept normal intercept slope normal slope define likelihood likelihood normal slope inference draw posterior sampling sample order run bottom however run notebook sequentially see getting roughly equivalent model defined python model data two basically code cell variable even meaning conceptually exactly either even data random component want use first model need change defined done notebook model hesitate let u know,positive
yes also python next release older one stay past,negative
failing new old work rerun couple,positive
latest release python effectively latest effectively require python well though would still remediation,positive
tested got error made dig bit understood correctly error multiple registered main process would possible make pool used registered properly,positive
intended convention naming transform think describe like difference emphasis used sampling used distort sampling distinction defined defined partly legacy issue partly partial pun overlap issue user facing correspond subset module used internal inference also useful like ordered defined internal consumption defined module user consumption defined made available module know module wo hurt stumble across accidentally either reason transform class knowing number ax summation used always way forth back recent time may date,positive
order important except reproducibility always important repeated problem,positive
ah think need tweak python version,neutral
error package python none could solve environment spec following incompatible potential would require python would require python would require python viable python previously python would require previously package python none could solve environment spec following incompatible potential would require python would require python would require python viable python previously python would require previously restricted,negative
passing except installation failing combine,neutral
report covered project coverage base head summary additional impacted impacted file tree graph coverage main coverage coverage,negative
already new version fix,positive
due fixed next version,negative
welcome banner welcome really excited input project done already please make sure check code conduct,positive
say fantastic addition thanks,positive
error message sense know original idea go author consider going,positive
limitation particularly odd like observe ing correct definitely intuitive invalid observe seem strongly related furthermore error message cryptic clearly code parameter neither deterministic free provide information user unknown go away observe stuff,positive
thank kind correct yes know future yes absolutely sense wait left open underlying issue worth either separate issue discussion assume issue closed might get lost,positive
nothing like file error error argument incompatible type optional theme theme,neutral
robust progress virtue rich also rich project much right,positive
bad one progress bar wed wrote good open known issue old library reply directly view id,positive
good open known issue old library,positive
fail immediately issue warning remove fail hard,negative
need adapt maybe possibly,neutral
report covered project coverage base fe head report behind head main summary additional impacted impacted file tree graph coverage main coverage coverage,negative
might something wrong although see preview documentation still showing original version one know saying read build time preview update think correct,negative
problem observe specifically observing variable already,neutral
issue usage example run without problem call fine otherwise without prior call,positive
thanks good point clarify transform distinct might something wrong although see preview documentation still showing original version one know saying read build,positive
multiple way specify myst agree good idea list common really change project documentation python listed independently project let see generally thought intuitive prefer st closer still use le extra learn also closer citation syntax strong preference within current project explicit text ref explicit text explicit text extensively tried one though sure well work think preference implicit within file explicit generate implicit target implicit text case notebook title used text link ref project project defined example main matter come syntax explicit text ref explicit text key explicit text key ref implicit text ref key key ref key ref key one defined python type show full import path type show object name type custom text show text type class class prop property use myst syntax even possible link regular font font doc type use within project like one used current example think therefore example extended two removed path based link brittle reference link hand still work long update anchor notebook multiple issue see example,positive
like fixed test going add new documentation next took documentation initiative good go,positive
stylistically associate red error prefer blue indicate normal operation green completion red error state,negative
yes feel free point toward relevant two way style simple stuff pas track python import time import track track range probably easiest take theme console object pas progress python import theme theme import progress import console import time progress progress task red task green task cyan cooking task task task style page best resource styling,positive
yes feel free point toward relevant,positive
would way people theme progress scope offer tue rob wrote love much looking forward tue wrote since number fixed use spinner chain view web reply directly view id,positive
love much looking forward tue wrote since number fixed use spinner chain view web reply directly view id,positive
since number fixed use spinner chain image,positive
report attention patch coverage missing coverage please review project coverage base fe head fe report behind head main summary additional impacted impacted file tree graph coverage main coverage coverage indirect coverage,negative
also making progress work involved parallel work sampling please close look,neutral
sure someone like could fancier progress bar styling feel free embellish,positive
check pull request see visual provide feedback powered,neutral
thank banner thanks opening pull request community really time effort contribute project please make sure read filled pull request template best ability,positive
