comment,sentiment
hi issue open contribute,neutral
thanks code across u maintenance,positive
hi could provide code error actual error idea error arise thank reply think problem think specify parameter pyro fashion example given best illustration thank time think issue could closed,positive
guess need bump version,neutral
error message error error trying build old version need later,positive
hi could provide code error actual error idea error arise,neutral
thank see feedback added mathematical yes exact returned predictive namely sample weight agree need way convert weighed unweighed believe added another pull request several related event interpolation interpolation calculate weighed much machinery could indeed share code see strategy create guide model guide usually perfectly proportional model would want use order obtain true distribution,positive
hi think great idea add predictive interface incorporate set sort importance appreciate share interface code predictive maintenance general thorough code review think would also good add mathematical class make clear exactly understand correctly model drawing guide weighting sample weighted set might nice add sort utility convert weighted representation back unweighted representation done relate could share machinery link relate like former guide model latter directly model posterior density may better understanding inference,positive
got thanks pointer explore work first see go,positive
think machinery pyro probably reasonable place start want explore diverse recent set may good idea explore flow like,positive
ah interesting way trying test whether would help model fit sure originally trying use suppose way forward would simply write guide trying estimate via add clear meant criticism state code base le might posting,positive
sure certainly amount pyro integration see,positive
yes work next false arn device next true arn device tensor simpler version age relatively unused code might expect stub toe time might turn one additional,negative
yes please use simpler version thanks pretty old almost recently recently therefore oldish,positive
pretty old almost recently also yes tested proposal also work update prefer,positive
thanks pretty old code would sufficient,positive
follow rest pyro enable directory add failing file directory gradually add tracked added ignore added check box,neutral
quick follow question think common use case also line loss necessary option general torch noted guess fix applied safe pyro use,positive
like something got lost commit good,positive
thanks bug report guess upstream bug code generation writing two decimal floating point constant sure wait upstream fix,positive
think need make format fix lint error,neutral
applied thanks helpful review hope included intended please let know,positive
indeed subtle issue sense prevalent slice indexing main torch user,negative
lint running make lint often fixed running make format,positive
fixed testing make format make test pas successfully sorry getting right,negative
first pas want stab meanwhile,positive
thanks testing let see let ignore dynamic explicit implicit seem like good idea agreed least fix look real guess look like type similar problem like may need type conflict look scary take closer look want take first pas divvy want take first pas,positive
great added try except around explicit also used pattern,positive
also yes think precise practical beyond correctness type used code show documentation hover narrow type hint specific class code show documentation variable often sphinx lately go ahead make review thanks taking look,positive
read plate loop hence fast see algorithm quadratic linear maybe missing something monte estimate variance might see significant digit might see two significant,positive
check pull request see visual provide feedback powered,neutral
rest edge ready review,positive
think missing edge marking strengthen test see still work,negative
