comment,sentiment
sure yeah review new version one example might compelling llama like inference smaller model would also fun,positive
think tutorial valuable add first version back raise one,positive
thank contributor license agreement accept code meta open source project thanks,positive
span true deploy preview name link span true hammer latest commit span true latest deploy log,positive
hi thank pull request welcome community action order merge pull request code require sign contributor license agreement seem one file process order u review merge please sign behalf someone else employer individual may sufficient employer may need sign corporate tooling perform afterwards pull request tagged process may take hour please give time u received error please contact u thanks,positive
yes get rid error,neutral
version quite old might best upgrade solve problem,positive
make sure got latest version along latest install make sure match version one installation try anaconda manage python environment help avoid system install support appropriate version installation multiple consider collective communication library communication set following environment training script enable training execute training script necessary utilize multiple hope,positive
line need blank vision transformer example need run mac,neutral
work add option pas flag would disable verification wan na send merge easily,positive
bypass verification passing get request gat sure security load path path path print already else print,positive
happy abide standard license leery comfortable moment something understand outside purview typical pattern go ahead close base fork sorry wasted,negative
use python run smoothly yes absolutely smoothly,positive
use python run smoothly,positive
single training forcefully rank default command python,negative
one rank one fine multiple rank single issue guess improve message case multiple single machine,negative
yes tried running code user warning think recently added code smoothly,positive
yes come yes otherwise throw error something like internal check error avoid tried actually run code,neutral
yes without quote need give quote line system version fine use come yes check availability version availability following right procedure import print print true distributed available print print true available print print true available moreover version following command please enlighten correct procedure print output mean compulsorily please elaborate thanks,positive
yes without quote need give quote line system version fine use thanks,positive
yes without quote need give quote line system version fine use,positive
change slight modification warning rather assertion also count variable set one work later variable initiation although think semantically platform done help avoid possible frustration default,negative
main change tested job test,positive
could join group seraph chat quickly,positive
hi really valuable contribution would job test something interested please yeah sure definitely interested work,positive
hi really valuable contribution would job test something interested please,positive
fixed via functional torch input return torch input,positive
update issue update checked current code think everything fine,positive
also facing issue solution,neutral
problem save load sharded solve,neutral
hey agree overall suggestion believe file name indicate model name included file even another file also please note model would file happy take look submit,positive
forgot already please upgrade check please,neutral
recent call last file line file line main trainer trainer model rank file line model file line file line return logger model across rank rank inconsistent none,negative
long time crash rank watchdog caught collective operation ran timing rank watchdog caught collective operation ran timing timed due asynchronous nature subsequent might run data avoid data inconsistency taking entire process rank watchdog thread exception rank watchdog caught collective operation ran timing timed due asynchronous nature subsequent might run data avoid data inconsistency taking entire process rank watchdog thread exception rank watchdog caught collective operation ran timing,negative
hi came across issue run sample code please see scree shot root python nothing output output see running memory low hanging nothing output terminal also see process running set use output driver version version name volatile fan temp compute mig mib mib process mib mib process mib mib process type process name memory id id usage mib mib wrong ran executed like one output device gen device gen mem temp fan pow mem temp fan pow mem mem device gen mem temp fan pow mem mem mem mem test many time think maybe issue bug could find reason thanks,positive
problem keep move mostly communication need ensure normal parameter,positive
came across would also like part see model taken assigned anyone fine work also yes would need assistance start,positive
problem need put rank,negative
test related unable import available lastly need modify launch via associated example run recent call last file line module import import name tensor parallel example recent call last file line module import import name sequence parallel example recent call last file line module import import name parallel example least run got,negative
hello share environment command suitable thanks,positive
confirm example badly broken added code compare individual discovered forward pas always tensor matter input tensor different time run even load save file training wonder ca better always giving prediction accidentally hit correct label often random guessing,negative
hi could please review guide help,neutral
hi yeah please go need ask permission send tag review,neutral
hello new try new example image thank,positive
hi get issue trying use work though probably issue pickle memory exception file line error operation output python device recent call last file line module file line start self file line return file line return file line file line dump file protocol file line file line return error operation kernel might call might incorrect consider passing compile enable recent call last file string line module file line file line self ran input issue support see way multiple communicate o computational data doc something like succeed two use set zero share instead make sure custom basically saying possible please find fix somehow must way would enable save much duplicate really need,positive
hi made pull request could one please review,neutral
cool think try another modern solution graph please assign problem,positive
yeah mind open cool sounding,positive
say differentiable physic mean deep learning architecture mind,negative
also similar issue loading model parallel mode get accuracy mode get distributed one maybe know case accuracy actually correct,neutral
believe issue already resolved code difference presence train function test function train function training batch size contrast test function training log unnecessary furthermore test function currently running smoothly without print epoch epoch data break think part necessary test function seem necessary add within test function would appreciate could consider issue,neutral
