comment,sentiment
hi find solution problem get decrease loss open meta like unmasked loss much better,positive
problem new model text extended wondering new model input specific tried work previous model also even found another issue problem find,positive
ran problem ran last batch dev interestingly enough error choose skip batch solve problem,neutral
via issue need doc read contributor guideline make sure update write new necessary issue review anyone community free review discus high chance fun make sure fun owner private account side show individual ego,positive
issue version right python code version work fine,positive
hi thank pull request welcome community action order merge pull request code require sign contributor license agreement seem one file process order u review merge please sign behalf someone else employer individual may sufficient employer may need sign corporate tooling perform afterwards pull request tagged process may take hour please give time u received error please contact u thanks,positive
also experience running python attempt make local link spending day work end,neutral
suggest looking alongside voice used successfully gender regarding emotion bark promising tested yet,positive
upgrade probably fix error present version,neutral
thank contributor license agreement accept code meta open source project thanks,positive
hope resolve soon several use limited accent,negative
ever able find solution,positive
seeing performance main paper guess correct nevertheless warning correct model newly seen definitely used put newly,positive
yes important iso specification brazil category totally different come pronunciation issue urgent,positive
series able get infer could probably work also file missing error due thrown first suggest replace line following print enable see whats causing error also provide full model audio like python model audio code error message output python dev complete log,positive
thanks immediately clear whole thing via command pop full output getting added print command well python model audio tur manifest python tur dev loading model running inference recent call last file line module process file line process open file directory need said first comment output process error message file found actual never ran produced output hello output error message according comment printed following error python dev complete log,positive
thanks suggestion looking forward use use,positive
also faced problem pas fine use mono stereo,positive
error fixed hi find error already problem,positive
could address issue yet,neutral
hello error generating text summary resolve,neutral
issue trying install pip several ended failure finally found solution worked python install version either zip specific release directly file command prompt administrator extracted directory install method proved successful please note version python version ensure met prior installation hope anyone else facing challenge,positive
wondering code working thanks pointing,positive
removing argument audio pretraining solve issue,neutral
found error training model machine course pretty absurd plain another machine ironically enough convert model work fine paradoxically use trained model almost unbelievable,negative
pro solution worked hope,neutral
comment successfully trying import code module found,positive
also problem building model please help range got unexpected argument,positive
installation successful unable import import module,positive
hi thank available model list available please get information mean looking try different could find information,positive
excuse done still dealing making new module,positive
hi also working problem like one subclass use directly video use text,positive
hi higher version two,positive
hi problem following applied fix,neutral
check section input output entirely used,neutral
hey got news issue within auxiliary script model specifically forward function link similar issue raised git led problem related,neutral
mismatch size initialize model want initialize common,negative
hi code actively recipe new language implementation might relevant,positive
hi find code load one access even model already solution,neutral
machine translation first setup machine model default everything machine cache copied cache machine cache typically one need copy two hub machine cache instead path given path local machine cache import torch run got recent call last file line module file line load model model file line model entry file line file line data file line join object model path line model working import torch print welt matte loading read file world cat sitting mat blocking use every anyone solution,positive
still one getting used image command path model task translation train beam,neutral
consider base model architecture also problem wonder whether could please give advice sincerely appreciate,negative
issue need attention ca use python mutable default class field common use,negative
think problem text variable longer live run although hard say sure really familiar try de en indeed text variable longer available running command text value text worked fine also running code translation example,positive
share worked tried tutorial got error additionally certain necessary kernel time worked kernel worked,positive
hi able find data example data please help,positive
following worked mac install use environment variable pointing perhaps run python code export,neutral
better way resample audio wo make forward pas much le efficient use model,positive
long time faced issue found solution add love well,positive
definitely bug found problem,neutral
issue fixed latest main branch,positive
link used broken place find found way data,negative
link excuse link training new model still broken tell link thank much,negative
screwed added back worked fine,positive
try install caution always use python pip instead pip otherwise install globally instead inside environment create activate environment python version example create name activate caution always use python pip instead pip inside environment otherwise install globally instead inside environment install support python pip install torch version example version require based clone repository install git clone python pip install upgrade python pip install upgrade ignore running related show work fine install flashlight python python pip install,positive
many thanks code review ready merge side could please help merge,positive
hey think also looking script pretraining luck finding anything,neutral
already used successfully last year tried generate translation current version however get size mismatch size mismatch weight param shape shape current model older version thought could work got another error line epoch key could help met issue solve,positive
bash pip list print export,neutral
need specify launch command otherwise seem understand trying train conformer build regular instead wrong outdated like command use launch conformer training notice get error recognize certain passing also need add extra argument line,negative
since dealing exact problem,positive
alternately use fork python knowledge distillation interesting,positive
solution environment shell pip install shell pip environment local use shell pip install shell pip little tip best use,positive
yes used page meet trouble send ready script template,neutral
hello issue closed problem really,positive
also facing problem solution,neutral
hi sure relevant situation providing static providing path locally text,positive
question run command null resulting wer problem help thanks lot,positive
removing file worked something,neutral
like pretraining consult doc drop manually loading code model know would negative impact inference since new area import torch import fixed problem method thank,negative
check see version issue occur version training model different version translation,neutral
also contain name audio inside check audio format used manifest file well modify worked fine problem file audio name problem still,positive
looking code change task code task model task,neutral
hi wonder used training machine translation model trained model would like know use machine translation task thanks advance,positive
solve problem could please share,neutral
fixed issue could help,positive
target target provided always covered dictionary used train model model data make sure target properly used train model thanks much got stupid mistake point corrected found complex search found architecture may simple procedure difficult transfer suggestion must use found missing get file thanks looking forward reply,negative
please consider official based well see tutorial suspect quote unlikely see substantial thanks reference tried work error positional argument given sure whether file model distinguish original,positive
please consider official based well see tutorial suspect quote unlikely see substantial,negative
check link thanks much immediately reply whether latest fit latest replacement flashlight import name dont want use want use infer,positive
