comment,sentiment
something environment probably went away removing environment,neutral
link helpful link see test preview python built note link display error new commit merge base sub sub image open summary new following build unable find artifact name lint command docker exit code comment automatically every,negative
could please post stack trace,neutral
hi thank pull request welcome community action order merge pull request code require sign contributor license agreement seem one file process order u review merge please sign behalf someone else employer individual may sufficient employer may need sign corporate tooling perform afterwards pull request tagged process may take hour please give time u received error please contact u thanks,positive
link helpful link see test preview python built note link display error comment automatically every,neutral
also added main file return script return import script spec file worked,positive
link helpful link see test preview python built note link display error new failure commit merge base sub sub image open summary new failure following job lint command docker exit code comment automatically every,negative
following due dynamic shape operator ca fixed due dynamic shape operator probably ca fixed neither due running,negative
thanks opening issue think proposal reasonable current position label make difficult read functionality exactly would mind,positive
thanks feedback still sure completely understand need signature since specific necessarily broadly useful one might recommend simply inherit accept subclass like class self super,positive
hi thanks fixed next version,positive
category fix main release branch,positive
link helpful link see test preview python built note link display error new commit merge base sub sub image open summary new following process exit code lint command docker exit code comment automatically every,negative
thanks lot suggesting bit thank,positive
error code message status code returned running gather node name status message axis false axis valid range get error use another photo,negative
thanks guess good within code want take risk unfortunately something within want disable behalf,positive
add two function audio union float fraction optional union float fraction none video file video audio path video file float fraction optional start presentation time video float fraction optional end presentation time optional unit either optional format output video either default tensor tensor video tensor audio number number video audio contain float raise either got import raise file found else none float raise got try ignore container container video guard potentially corrupted none float container audio except raise warning pas frame frame else sec float sec float else return self list index must video tensor audio tensor index video raise index range number clip import check invalid raise support raise support raise support raise support raise support video audio,negative
ask question could directly found could code used import torch import know something could tell though never use lab suggest show error find answer possible lab shielding link,positive
ask question could directly found could code used import torch import know something could tell,positive
make sure test set annotation path well set incase testing test set modify accordingly testing validation set make sure invoke let say testing path well set setup pointed file,positive
issue active checked following link instead link working thanks,positive
rocket feature trying read write python way work motivation need following image read disk usually easy trying avoid image converted torch model applied tensor tensor returned model tensor converted image one example used use pitch reference conversion use would like something frame frame frame frame auto torch torch torch torch torch return torch torch void torch return additional context found however could get useful method thanks currently working wrapper program read image camera issue loading torch anyone worked equivalent project fixed,positive
link helpful link see test preview python built note link display error new failure unrelated commit merge base sub sub image open summary new failure following job lint command docker exit code summary broken trunk following present merge base rebase onto branch avoid build build unable find artifact name comment automatically every,negative
logged forum similar past please see link see response much hope,negative
link helpful link see test preview python built note link display error new unrelated commit merge base sub sub image open summary new following process exit code process exit code process exit code process exit code process exit code process exit code process exit code process exit code process exit code process exit code process exit code process exit code process exit code process exit code process exit code process exit code summary flaky following likely due flakiness present trunk process exit code process exit code build process exit code lint process exit code lint process exit code lint process exit code process exit code process exit code process exit code process exit code process exit code process exit code process exit code process exit code comment automatically every,negative
reference one similar issue past,negative
sure try luck standard provided standard code thought someone look provide resolution,positive
sorry like issue might scope,negative
hi thanks reply see close issue,positive
hi thank looking issue know print input get please guide sample also mean say tried print sample notebook image bounding,negative
hi try print input likely pipeline incorrect,neutral
hi thanks report general trust type correct across board exist first place enable support unfortunately often disagree correct type annotation always support way make happy happy review,positive
link helpful link see test preview python built note link display error new unrelated failure commit merge base sub sub image open summary new following lint process exit code lint command docker exit code summary broken trunk following job present merge base rebase onto branch avoid update process exit code comment automatically every,negative
thanks ping let merge,positive
thanks handled else missing get,neutral
link helpful link see test preview python built note link display error new unrelated commit merge base sub sub image open summary new following process exit code process exit code process exit code process exit code process exit code process exit code process exit code process exit code process exit code process exit code process exit code process exit code process exit code process exit code process exit code process exit code summary flaky following likely due flakiness present trunk process exit code process exit code lint process exit code lint process exit code lint process exit code prototype process exit code prototype process exit code prototype process exit code prototype process exit code prototype process exit code process exit code process exit code process exit code process exit code process exit code process exit code process exit code comment automatically every,negative
right data mainly information camera image different example also tag id train image data provided within specific tag reading image also want said tag code example include tiff case,positive
frank feature request please share kind interested purpose recently added auto orientation application transform input image according,positive
hey added list valid available,positive
thank update performance issue resize resolved make small difference,negative
link helpful link see test preview python built note link display error merge normally unrelated commit merge base sub sub image summary flaky following job likely due flakiness present trunk process exit code summary broken trunk following job present merge base rebase onto branch avoid update process exit code comment automatically every,negative
thank contributor license agreement accept code meta open source project thanks,positive
issue active checked following link instead,negative
end used version patch,neutral
already part hence need,neutral
would easier solution yes concern would unforeseen downstream effect,neutral
