comment,sentiment
issue inactive two automatically marked value input issue still relevant please leave comment remove label keep open activity next day issue closed,positive
issue automatically closed due lack recent activity input important u please feel free open new issue problem becomes relevant,positive
point view fine pas,positive
try calling thanks first wondering work work,positive
automatically closed due lack recent activity welcome patch still relevant please hesitate open new,positive
also find another problem fix simply increasing tolerance error location assert tolerance shap sum model output either shap sum model output either rounding error operator computation graph fully sum difference significant scale model please post issue reproducible example used framework tolerance,positive
report covered project coverage base head summary additional impacted coverage master coverage umbrella view full report sentry feedback report share,negative
question coverage several place prevent without think could solve removing check completely add none like none background provided cover leaf model run option try providing background background raise local copy fix work happy hear opinion,positive
report attention patch coverage missing coverage please review project coverage base head report behind head master patch missing warning summary additional impacted coverage master coverage umbrella view full report sentry feedback report share,negative
thanks clear concise example bug already known issue see draft solve difficult problem,negative
case shap model model attention shap idea model internals explain transformer,neutral
yes shap model input probably right otherwise thanks idea package know look,positive
shap provide information model internals model input generate output interested maybe get package read paper basically want implementation also like giving,positive
yep wrote resolved bug yeah raw average something llama different attention matrix,negative
thanks work ready first round review yes ready,positive
thanks would great support could elaborate bit install test need moment part review would like install run couple thanks response script take care installation python install compilation installation hip automatically hip version version work hip need change code code work script test version explainer model need instinct run version thanks work ready first round review,positive
think need specify branch pip install,neutral
bug mean see transformer shap basically inference,negative
thank reply thank much code see misconception node several value average value ending node weight weighting due learning rate also number ending node talking node yes become zero true node value talking number hence coverage become zero code example import import import train data please see value since prediction node zero weight well importance node learning rate time become unimportant however last column sample model none count since parameter used training hence coverage given single node without associated even argue possible make decision tree zero node especially one exactly sense dividing zero work please see coverage become case tree structure therefore argue assert case background data none clear case hence one background coverage need checked also want reiterate exactly error message u background provided cover leaf model run option try providing background background interventional specifically background find claim convinced please understand really see issue without information see,positive
tried use command pip install import shap falcon test code used error came back transformer dense dropout act linear recent call last cell line explainer explainer output else output return module output got unexpected argument maybe error command pip notebook run code,positive
python used following structure pip install pip install finally worked know mechanism shap see,neutral
working shell pip install looking build done getting build wheel error error getting build wheel run successfully exit code output build shap attempt extension calling exception setup unable detect version make sure either building fully intact git repository git without folder contain necessary work example pip instead use warning could compile shap build without extension build shap attempt exception setup unable detect version make sure either building fully intact git repository git without folder contain necessary work example pip instead use warning extension could tree shap build without binary extension build shap attempt exception setup unable detect version make sure either building fully intact git repository git without folder contain necessary work example pip instead use error build recent call last file string line file string line file line setup return file line setup file line self file line file line self file line file line file line raise unable detect version make sure either building fully intact git repository git without folder contain necessary work example pip instead use handling exception another exception recent call last file string line file string line file line setup return file line setup file line self file line file line self file line file line file line raise unable detect version make sure either building fully intact git repository git without folder contain necessary work example pip instead use handling exception another exception recent call last file line module main file line main hook file line return hook file line return file line file line code file string line module file string line file string line file string line file string line file line setup return file line setup file line self file line file line self file line file line file line raise unable detect version make sure either building fully intact git repository git without folder contain necessary work example pip instead use end output note error likely problem pip error getting build wheel run successfully exit code see output note error likely problem pip,positive
test according work bash pip install,neutral
sure exact version added version seed parameter set like functionality added,positive
thank reply thank much code see misconception node several value average value ending node weight weighting due learning rate also number ending node talking node yes become zero true node value talking number hence coverage become zero code example import import import train data please see value since prediction node zero weight well importance node learning rate time become unimportant however last column sample model none count since parameter used training hence coverage given single node without associated even argue possible make decision tree zero node especially one exactly sense dividing zero work please see coverage become case tree structure therefore argue assert case background data none clear case hence one background coverage need checked also want reiterate exactly error message u background provided cover leaf model run option try providing background background interventional specifically background,positive
saw pretty new try install need python maybe something wrong way use,negative
partially working get array array array array enjoy walking,positive
test like connection problem rerun pipeline,neutral
thanks report reproducible example amazing reproduce error found fix falcon expect hand currently,positive
thanks report access llama post,positive
would possible give couple find common would important u well use interested assume taking large language clarification would also helpful,positive
thanks special thanks solution exactly code,positive
deep find example code actually remove check still would like remove indication could break understand code good enough actually verify break remove suspect running error happening le often would run remove check therefore would like keep except help verify causing couple give feedback actually u leaf covered verify running following code python import import import tree import train data enumerate check find uncovered leaf assert dividing cover see set cover manually line python assert rather artificial example guess finding correct actually run uncovered side information,positive
enjoy walking cute dog model masker explainer explainer solution solve problem mistral,positive
face issue calculate shap model remove nan turned array per still doesnt work image image,neutral
bug cox loss temporary solution,neutral
would love get answer question,positive
license different shap close try update,neutral
appreciate contribution pull request inactive two automatically marked please leave comment would still like remain open label removed otherwise activity next day closed,neutral
thanks code example indication fact remove check provide code concerning back figure,positive
think correct consider case log transform simply exponential get back original format longer property observation sum difference mean estimate thus really helpful garner understanding contribution,positive
thank much really effort interesting could elaborate documentation parameter optional minimum number data child leaf long parameter leaf covered time otherwise split occur understand decision built possible make split sample one leaf tried data training testing still working comment line line pas test covering argue code import import import import import import tree data regression binary class train data train target test data test target train regression binary class explainer right argue covered training hence always working used without background data tree structure thank information different implementation aware nice vacation,positive
trying failing problem output shape model shape output size corresponding code suit training think might way avoid problem code quite simple since testing usage shap relevant class self super st hidden layer hidden layer output layer forward self return create model model training count epoch range enumerate model print loss clear calculating update count print epoch batch train loss loss batch next iter feature batch feature feature explainer model recent call last cell line feature feature explainer model file self model data session model data session framework model data framework file self model data print true index range also tried function find effort gave output size model finally solve problem,positive
take look back vacation thee case training least leaf covered explicitly checked reduce number shown previous comment leaf covered error test still might reach already covered leaf would need verify explicitly example uncovered leaf could try set train size explain pointed towards paper algorithm used divide cover see way cam calculated suspect might difference implementation one raised valid concern except working take look one difference certainly use shap calculation use algorithm,negative
would kind provide code problem data model definition reproduce error feel free use artificial data interested reproduction bug,positive
line line hence code error background provided cover leaf model run option try providing background background raise work,neutral
thank answer example train test set comment see still work compute shap background none also data training set tst data one case set true class case throw error argue tested therefore see flaw argumentation furthermore want point use background explain data seen training regular basis never ran code import import import import import import tree data regression binary class train data train target test data test target train regression binary class explainer suspect comment two different point least two compute shap difference come compute conditional need decide handle correlated otherwise dependent input first interventional one compute conditional case one test set leaf otherwise ran issue test post however second method compute conditional option conditional expectation via tree hence via tree structure built training therefore indirectly conditional via training set background implicitly given tree structure since training must one data sample leaf minimum coverage always case please aware done case background none except one case additional assert made case even work set false two different shap documentation also shap paper therefore case set true background none one test coverage also done set false background none also since conditional via tree structure via background please let know think thank amazing work please also remember show work one error dirty hack,positive
shap get following error trace like might related issue recent call last cell line create shap explainer model explainer compute shap training set file self model data approximate link none model translate model model file self model data model model data model else object attribute,negative
believe central flaw argumentation let explain step step first nobody said need background extract cover node directly model leaf uncovered cover problem algorithm see algorithm paper consistent individual tree shap one cover obviously one leaf uncovered flaw example explain data trained explaining evaluate training uncovered would suspect run error evaluate run uncovered test,positive
change color ca set edge color positive set edge color negative,negative
many bit would expect might also try batch compare tested performance million could cause question plan million summary statistic explaining give plenty detail also try approximate method lot genuine use build interaction instead protein binding data local way case anyone need,positive
slightly unrelated issue might help shape ensemble taking different different unreliable approach would shape model ensemble separately would course make model interpretability harder unique analysis,positive
thanks reply problem many multimodal getting bigger complicated majority use similar pas directly forward method especially like significant change respect done ago admit way solve involve quite bit fiddling code make run whereas would case accept perhaps could come tutorial need shap code accept different data done simple need wrapper function seen model explicitly forward call quite bit modification code necessary make run,positive
hello recently learning shap force plot meet problem draw shap force plot data convenient could please share something make thanks lot,positive
