comment,sentiment
hello find idea issue thank,neutral
issue closed due lack activity marked stale past day,negative
error gone away right new error import name manage resolve also error,positive
downgrade pip install use code import import path file di file open file content import import content content yang content content content content file yang open file content print file,neutral
got mine work directory instead,neutral
want save separate folder also display first tried visualize please give solve moreover tried save original image work object detection thank,positive
done case cond case cond local fix import cond import line use new import cond return line use new import cond return line use new import case image worked fine fresh environment like system information maybe worked however,positive
issue marked stale recent activity since day closed activity thank,negative
huge number difficult spend time review break multiple make review process better,positive
hi sure let check come back update thanks,positive
huh indeed part would great could announce plan support soon decide rather support downstream model decide make sense especially want model garden,positive
hi final yet align officially announce model garden side please keep eye release thanks,positive
check pull request see visual provide feedback powered,neutral
recent call last file line import module additional module facing issue please,neutral
hi could please create bug instead related thanks,positive
window system pip python please next step image,neutral
hey notice kind question need posted sorry already post,positive
glad working without close please feel free connect u future face,positive
hi support version reason always throwing import error look use configure system install pip hope,neutral
everything working fine thanks,positive
hi support version reason always throwing import error look use configure system install pip try machine rather available device test hope,positive
hi looking issue let know soon possible,neutral
hi code require space indentation default user code related except space indentation respond given period time,neutral
version official object detection,neutral
hi support older could kindly utilize official object detection provided model garden strongly suggest official model garden circumvent related outdated code commonly found research unlike research official model garden consistently latest hope understanding happy thanks,positive
reproducible code create label map love open label label label create import o python print successfully file example usage import o import import model extract file tar remove compressed file print extraction complete example usage assuming path copy model training folder update transfer learning import import import import exact,positive
hi could please provide reproducible code share exact training possible thanks,positive
solve issue please tell,neutral
hi could send data sample please,neutral
page used older version worked pip install ye solution true,positive
docker image version worked,neutral
thanks pull request like may first contribution open source project look pull request need sign contributor license agreement view invocation check information date status view section bottom pull request,positive
hello understand correctly still solution issue thing edit function run assessment parallel training console,neutral
hi could please try open issue get faster error related issue thanks,positive
fixed following procedure fresh environment procedure procedure wheel got error similar tried pip worked spent almost day,positive
checked everything correct anyway get without make sure right supposed happen code export message operation input data see next id message default expand shrink mode expand shrink symmetrically along height width without box center expansion along independent symmetrically along height width without box center shrinking along independent along height width ratio expansion along height width ratio shrinking default jitter box boundary independently optional default default,positive
hi error showing undefined type inspect file defined properly please check correctly command python directory thanks,positive
thank reason error however get following error recent call last file line module import file line module import file line module file line return could build proto file pool invalid proto file find anything error right ran command,positive
hi happy help like might compatibility object detection library sure object detection library correctly environment sometimes incomplete since version corruption installation lead suggest try version see error working old would lead kind due deprecation thanks,positive
sorry bother fix previous issue stuff inside library able use however following import import import import import import give like file line module import import name idea solve,negative
adopt solution please hi trying code run training import import open file content content content content content content content open file content print file fixed image working well new version image,positive
hi current working latest across future please open issue discus u pull request change align best provide early feedback please review thanks,positive
hi sure whether work since research code base latest framework time time new suggest try see work would like move official model garden work latest code thanks,positive
thank think would work,neutral
hi thanks reaching happening research repository code much development day strongly suggest official model garden circumvent related outdated code commonly found research unlike research official model garden consistently latest lot available define training experiment python model library,positive
hi issue related official could please reopen issue resolve problem thanks,positive
complete implementation reason successfully server far know longer program apologize extra waiting,positive
still open would happy add open,positive
could please share also even facing issue fed error,neutral
hey man face error like one module attribute also guy replace worked,neutral
issue import import slim still thanks bunch,positive
hi thanks reaching whatever official branch officially yet thanks,positive
hi understood happening case support version reason always throwing import error look use configure system install pip hope thanks,positive
hi assist efficiently could please share code sample link notebook issue additionally would helpful know whether official model garden repository one thanks hi used official repository resolved issue everything thanks,positive
hi look error meanwhile use continue train,neutral
tried getting error requirement already satisfied requirement already satisfied pillow requirement already satisfied requirement already satisfied requirement already satisfied requirement already satisfied requirement already satisfied requirement already satisfied requirement already satisfied requirement already satisfied requirement already satisfied requirement already satisfied requirement already satisfied requirement already satisfied requirement already satisfied requirement already satisfied requirement already satisfied requirement already satisfied requirement already satisfied requirement already satisfied six requirement already satisfied requirement already satisfied requirement already satisfied pip looking multiple determine version compatible could take eta eta eta finished status note may need restart kernel use error python run successfully exit code output parameter use instead running writing writing writing writing manifest file recent call last file string line module file line module file line module setup file line setup return file line file line file line super command file line file line run file line file line run file line self file line super file line file line file line file line raise end output note error likely problem pip error error generating package see output note issue package pip hint see image,positive
hi yes use command pip install let u,neutral
mean pip command made image,negative
hi please review thank,neutral
hi sorry bad pip command update previous comment could please try let u,negative
image keep getting trying install error could find version requirement none error matching distribution found,neutral
hi could please share complete code snippet trying run please try install package pip environment setup pip install need install separately automatically latest version already present official check please try un install version start setting fresh environment try train let u know setup work resolve issue facing meanwhile also try setup environment reproduce issue,positive
still giving error way code machine,neutral
