comment,sentiment
made resume training already trained adapter work question take care well current arch design ethos project acceptable go ahead add,neutral
ran notebook personal account stopped first second memory see ran third best fully please note ran written done previously well competition back none could please try run see replicate thank much,positive
unit test duration disabled disabled commit comparison base commit summary pull request data base,negative
hi seeing error stack notebook attached could please run include one error seeing take next happy pair together sense also include code time publication sometimes new come various dependency evolve find please file issue would happy take look ideally together thank much,positive
update issue problem still happening,neutral
issue hence thank fixing,neutral
correct got concerned change please sync latest master branch approve thank much hi ready merge,positive
worry may safe change global constant may adversely impact backward compatibility user might rely way u present constrain way modify reuse define new one thank think misunderstanding let clarify meant global constant literal string previously used denote fact global constant code added previously unused global constant literal string model model code global constant model remain context different repository type comment poor due use file instead directory folder refer please let know misunderstood comment thanks,negative
hi please take look thanks,positive
unit test duration disabled disabled commit comparison base commit summary pull request data base recycle comment latest,negative
unit test duration disabled disabled commit comparison base commit data base,negative
unit test duration disabled disabled commit affa comparison base commit data base recycle comment latest,negative
added test want take look,neutral
used following trained import index row row open replace image file image print,neutral
determine prompt template ex prompt prompt prompt,neutral
criticism absolutely valid last night pacific time call filing issue continued helpful participation going forward welcome one idea currently modify hard code path line model instead use enhance validation make sure need model fact already validation directory content would need add validation directory one model care configuration added last week would work long content pas validation case would acceptable think thank,positive
already model normally situation calling pointing directory sufficient necessary explicitly call save calling missing something yes right learning use trying replace brittle set python code based higher level approach first want model save wo get lost spending long time run inference make sure model want looking like zephyr example half tutorial half marketing service common pattern nowadays testing happy model publish hub spec found promising method tried use ended situation nowhere thought process really think directory internal housekeeping stuff interesting unless want dig process goal rather get away lower level stuff higher abstraction level used machine learning torch maybe work example pretty common hope thinking beginner trying get understanding like maybe reading documentation would avoid problem think may conceptual could make tool easier learn apply,positive
met discus agreed design issue need studied potentially affecting use,neutral
hi trying get better understanding already model normally situation calling pointing directory sufficient necessary explicitly call save calling missing something,positive
thanks research explanation user perspective literal model directory instead implementation save load undoubtedly would cause many would suggest instead looking whether requirement could possible fix would remove model line thin wrapper implementation parameter point unfortunately appear execution run removing requirement directory model likely large impact,positive
interesting want false default user behavior consider overall better experience want introduce confusion,positive
unit test duration disabled disabled commit comparison base commit data base recycle comment latest,negative
like implementation correct possibly documentation may need purpose indeed different symmetric save method various full actual model however latter recently added add way change thus far thank much,positive
hi thank much allow add information two take path parameter input meaning parameter different compare documentation two save parameter defined directory model going saved file model architecture model parameter defined path saved model top level directory well associated training despite somewhat similar beginning two different see typical run need parameter point directory save content model directory seen directory pointed difference since change implementation examine content determine right thing also protect code easier change implementation rather save,positive
thank much issue detailed analysis possible investigate implementation first let u figure happening first discus potential mind avoid breaking know default relative directory next model saved next pas reason loading adapter configuration file added previous reproducibility loading like custom name generic directory rest structure thus loading would done hence would prefer name traditionally underscore clarity saving loading model path local id cloud storage provider try work perhaps update documentation order avoid confusion please let know think thank,positive
thanks research explanation user perspective literal model directory instead implementation save load undoubtedly would cause many would suggest instead looking whether requirement could possible fix would remove model line,positive
poking around bit learned implementation first literal provided intuitive naive solution inspection save twin predictably load also save load designed play well together therefore save work intuitively entail load possibly probably lot work one alternative save effort improve documentation save clearly state provided must end model successfully please let know think,positive
graciously agreed work issue,neutral
hi please take look thank fix build morning thanks,positive
hi please take look thank,neutral
think opportunity add test recognize file please let know think thank much point future also want build test double actually let u defer thanks let take look,positive
thanks look local ray cluster still getting following trace recent call last file line module file line train trainer file line file line result file line run return trainer file line file line fit return file line fit analysis trainable file line analysis run file line run file line file line import file line module import file line module import file line module import file line module import file line module import file line module import file line module import file line module file line directly call came file code date must immediately regenerate possible downgrade package lower set use much information,positive
unit test screen shot running script zip notebook bare also suitable right content format please try model,positive
hi quick update type code also added comment configuration file code consistent similar comment part work type module integration please allow splice schedule separate possibly discus strategy handling coming week,positive
great part overall code quality improvement effort also test like one would block pull request test would great future welcome thank hi happy review submission type work version set could written need understand side code first,positive
hi code ready review limited inside function two distinct function folder file provided two separate respectively user see two separate success case text also model model respectively two could theory fail separately reasoned partial failure would likely transient network condition benefit recovery strategy immediately process incomplete transfer manual entirely user lack thereof help figure need done find could augmented handle functionality code unit tested successfully isolation success case please let know anything,positive
unit test duration disabled disabled see check commit comparison base commit ca data base,negative
thanks start fix soon,positive
attractive go back first proposal give additional parameter bool false set true along model since user pas location model argument finding file trivial matter augment also file already found hub also operation method also naming file trivial check argument please let know approach proceed flesh implementation go ahead hi great found function enable u elegant solution flag always configuration user current lack full configuration file directory considered gap providing bug fix thank much,positive
attractive go back first proposal give additional parameter bool false set true along model since user pas location model argument finding file trivial matter augment also file already found hub also operation method also naming file trivial check argument please let know approach proceed flesh implementation go ahead,positive
hi per conversation slack file reason want full configuration enable u know case new version configuration right thing even file finally want directory weight format please let u know thank much working,positive
hi dropping abruptly something else attention take break back end workday today understand discussion value saving along desired save file instead refer attached sample happy run decision allow state name file intended configuration misleading could confuse new way giving different name option intent allow user share would helpful pas provided user concise likely familiar thanks insight additional may,positive
need able connect ray cluster already environment otherwise initialize local ray cluster ray part distributed,positive
hey sorry may ask torch version running issue still seeing torch still seeing issue since issue relevant still looking issue copied wrong match tested,negative
would like assign issue take,neutral
help understand already output directory sure need add one time,positive
hi submission ready review hi order make pull request ready review please click button ready review number people able review offer thank much,positive
hi submission ready review,positive
unit test duration disabled disabled commit comparison base commit ca data base recycle comment latest,negative
maybe question need install running ray cluster use available documentation need install ray ray launcher link documentation giving,positive
default local ray version code type ray processor parallelism type trainer false,negative
may know ray version,neutral
