id,original_comment,processed_comment,source,sentiment_VADER,sentiment_textblob,sentiment_pattern,sentiment_bert,sentiment_spacy,max_voted_sentiment
2040710292,"can you try installing after lowering the version of cython? 
for instance - `pip install cython==0.29.36`",try lowering version instance pip install,issue,negative,neutral,neutral,neutral,neutral,neutral
2040568115,"Hey @Smartappli! Thanks for the PR! Many on the team are likely to be off for the weekend, but i've flagged your PR for review (good chance upgrading the transformers package passes all the tests and goes swimmingly in the mean time — shouldn't be long). 

Thanks for taking the time to submit a PR back to the codebase! Also if you're not already, feel free to join our slack (slack.openmined.org). ",hey thanks many team likely weekend review good chance package go swimmingly mean time long thanks taking time submit back also already feel free join slack,issue,positive,positive,positive,positive,positive,positive
2035884535,"Check out this pull request on&nbsp; <a href=""https://app.reviewnb.com/OpenMined/PySyft/pull/8662""><img align=""absmiddle""  alt=""ReviewNB"" height=""28"" class=""BotMessageButtonImage"" src=""https://raw.githubusercontent.com/ReviewNB/support/master/images/button_reviewnb.png""/></a> 

 See visual diffs & provide feedback on Jupyter Notebooks. 

---

 <i>Powered by <a href='https://www.reviewnb.com/?utm_source=gh'>ReviewNB</a></i>",check pull request see visual provide feedback powered,issue,negative,neutral,neutral,neutral,neutral,neutral
2034737778,"@kiendang this is a spike PR to see if we can use smartopen, but as you rightly pointed out it just doesn't fit in well. Additionally, smartopen doesn't support deleting files which renders it partially useful. Meanwhile, @tcp has been working on using fsspec which feels much more complete and in-line with our use-case. There still remains some gaps, specifically how to upload blob from client to bucket (through backend) without seaweed's `/blob` API. As we solve it we may actually end up doing some much needed rework/refactoring of our blob store APIs. 

Regardless, thank you for your insights!",spike see use rightly pointed fit well additionally support partially useful meanwhile working much complete still remains specifically blob client bucket without seaweed solve may actually end much blob store regardless thank,issue,positive,positive,positive,positive,positive,positive
2034086344,"This pull request sets up GitHub code scanning for this repository. Once the scans have completed and the checks have passed, the analysis results for this pull request branch will appear on [this overview](/OpenMined/PySyft/security/code-scanning?query=pr%3A8655+is%3Aopen). Once you merge this pull request, the 'Security' tab will show more code scanning analysis results (for example, for the default branch). Depending on your configuration and choice of analysis tool, future pull requests will be annotated with code scanning analysis results. For more information about GitHub code scanning, check out [the documentation](https://docs.github.com/code-security/code-scanning/automatically-scanning-your-code-for-vulnerabilities-and-errors/about-code-scanning). ",pull request code scanning repository analysis pull request branch appear overview merge pull request tab show code scanning analysis example default branch depending configuration choice analysis tool future pull code scanning analysis information code scanning check documentation,issue,negative,neutral,neutral,neutral,neutral,neutral
2026642794,"@yashgorana while working on integration with different blob storage services, if you think of any tweaks to these abstractions that better fit our use cases please push them.",working integration different blob storage think better fit use please push,issue,positive,positive,positive,positive,positive,positive
2026637444,"Had a discussion with @tcp the other day around blob storage abstractions (client, connection, config). I do see now that the `BlobStorageConnection` interface does not really work here, at least not yet. The original intention behind `BlobStorageConnection` is that you can do 

```py
with blob_client.connect() as conn:
    conn.write(...)

with blob_client.connect() as conn:
    conn.read(...)
```

where `blob_client.connect()` returns a `BlobStorageConnection` via `BlobStorageConnection.__init__()`

I see that here we can't really do that yet since you need to pass different parameters to the connection to Smart Open depending on whether you write or read.

We could change the abstraction a bit to allow `client.connect()` and `BlobStorageConnection.__init__()` to accept extra parameters but that would leak abstraction. We probably needs a rework/rethinking around this.",discussion day around blob storage client connection see interface really work least yet original intention behind conn conn via see ca really yet since need pas different connection smart open depending whether write read could change abstraction bit allow accept extra would leak abstraction probably need around,issue,positive,positive,neutral,neutral,positive,positive
2017839880,@shubham3121 is this because we cleaned up the older versions of the classes and made the codebase stop being compatible with older versions after updated to pydantic v2,older class made stop compatible older,issue,negative,positive,positive,positive,positive,positive
2009933884,Haven't tested this rigorously so please don't merge,tested rigorously please merge,issue,negative,neutral,neutral,neutral,neutral,neutral
2009283078,"Stellar Work @itstauq  ⭐ 
It's great to Chunking working with great reliability
![test](https://github.com/OpenMined/PySyft/assets/43314053/b2e33150-6838-4a91-aa14-2bb77db9ea88)

",stellar work star great working great reliability test,issue,positive,positive,positive,positive,positive,positive
2003936820,"Propagating error when Input policy is not longer valid (e.g. running a function on a different dataset)

![Screenshot from 2024-03-18 19-08-43](https://github.com/OpenMined/PySyft/assets/11032835/f1dff3da-ca9f-4aa5-9f90-7852673ae2da)
",error input policy longer valid running function different,issue,negative,neutral,neutral,neutral,neutral,neutral
1999158044,"Progress: fix bugs in https://github.com/OpenMined/Heartbeat/issues/1140

![image](https://github.com/OpenMined/PySyft/assets/88959106/47a9266b-6b0c-4fb4-9865-20f231fdd7ca)
![image](https://github.com/OpenMined/PySyft/assets/88959106/b3982588-05fc-4381-9752-6298cf435837)

Note: now `DatasetService.search`'s roles is `GUEST_ROLE_LEVEL`",progress fix image image note,issue,negative,neutral,neutral,neutral,neutral,neutral
1998601633,"> there is one package: pycapnp.
> 
> use conda install manually and you will avoid this error.
> 
> conda install -c conda-forge pycapnp

This solved my problem. MacOS 11.7.10, MacBook Pro (Retina, 15-inch, Late 2013)",one package use install manually avoid error install problem pro retina late,issue,negative,negative,negative,negative,negative,negative
1997152421,"Error while trying to launch and login web-server gateway nodes

![image](https://github.com/OpenMined/PySyft/assets/88959106/9acbd31c-f6f4-4171-a3a4-9260a006bf4e)

![image](https://github.com/OpenMined/PySyft/assets/88959106/578ef711-d28b-4e1d-a820-11f77e6e95f1)

![image](https://github.com/OpenMined/PySyft/assets/88959106/1b68a436-f55f-48a1-8111-ec9d98a0717b)
",error trying launch login gateway image image image,issue,negative,neutral,neutral,neutral,neutral,neutral
1996748758,"After launching a gateway node and a domain node, connect the domain node to the gateway node, we have

![Screenshot from 2024-03-14 14-40-11](https://github.com/OpenMined/PySyft/assets/88959106/d279be6a-b9e6-44e1-9df6-7f9efcb53293)
",gateway node domain node connect domain node gateway node,issue,negative,neutral,neutral,neutral,neutral,neutral
1993818084,"Merging the PR, as the tests are highly flaky, due to which, I have been re-starting the tests from morning
",highly flaky due morning,issue,negative,positive,neutral,neutral,positive,positive
1993649374,"I'll be pushing some more fixes, please don't merge this PR at the moment",pushing please merge moment,issue,negative,neutral,neutral,neutral,neutral,neutral
1992831615,@iamtrask we have some paid testing accounts if you reach out to @IonesioJunior he can show you how to use them.,testing reach show use,issue,negative,neutral,neutral,neutral,neutral,neutral
1990237113,"Got this `TypeHintWarning` that needs to be fixed when login
![image](https://github.com/OpenMined/PySyft/assets/88959106/20d985b1-6186-414f-9c8d-3ea8671fbe0e)
 ",got need fixed login image,issue,negative,positive,neutral,neutral,positive,positive
1989919099,"Great question. On the email thing. I tried to setup an OpenMined-paid twilio or something but ran into mysterious issues around authenticating my account (sent an email to support — we'll see). If it wasn't crazy expensive, I'm not totally against taking the risk and putting a rate-limited private key in there (maybe 1000 emails a day?... we could increase its limits as people are using it until it gets unreasonable) and recommending it for use by first-time users. 

Longer term, it seems like people can setup a new email account for popular email providers (gmail, outlook, etc.), put in the credentails to PySyft, and have that email forward to their normal email account. This feels like the real solution long-term because it also means that if a user replies to the email they end up talking to the domain owner (And it means they can skip setting up twilio). (I think Ionesio might have had this kind of idea in mind in his video as well). Anyway, from a product perspective, it seems desirable for people to have a free option that just involves entering email credentails for a forwarding account. Feels accessible and secure. (note: strictly speaking I think this is a better security practice to setup a forwarder email than to use one's email directly — although that seems difficult for us to enforce. we could have the dummy/test email it sends upon Domain Setup specifically tell them to setup a forwarder i suppose.)

Anyway - main thing I'm hoping for here is a near-turn-key option for both dev and non-dev mode. I had such a big trouble setting up a twilio (or similar) platform, seems ideal if we can help users skip that step with good defaults, and an easy way to use their own email (by setting up a forwarder)",great question thing tried setup something ran mysterious around account sent support see crazy expensive totally taking risk private key maybe day could increase people unreasonable use longer term like people setup new account popular outlook put forward normal account like real solution also user end talking domain owner skip setting think might kind idea mind video well anyway product perspective desirable people free option entering forwarding account accessible secure note strictly speaking think better security practice setup forwarder use one directly although difficult u enforce could upon domain setup specifically tell setup forwarder suppose anyway main thing option dev mode big trouble setting similar platform ideal help skip step good easy way use setting forwarder,issue,positive,positive,positive,positive,positive,positive
1987686472,"This has been pretty high on my personal ""unsolveable annoying problems"" list! @kiendang and @khoaguin great work getting it fixed. 🙏",pretty high personal annoying list great work getting fixed,issue,positive,positive,neutral,neutral,positive,positive
1987619570,"@iamtrask nice work finally hiding the C++ bug.
```python
# from the library source
      capture = py.io.StdCaptureFD(out=out, in_=in_)
```

That explains why no other way we tried to catch those warnings worked.

Regarding the test email, thats a pretty handy way to do it, would this best be in `dev` mode only? Also we might want to check to see what happens if auth fails if that account gets blocked to make sure it doesnt stop people running notebook examples down the track.
",nice work finally bug python library source capture way tried catch worked regarding test thats pretty handy way would best dev mode also might want check see account blocked make sure doesnt stop people running notebook track,issue,positive,positive,positive,positive,positive,positive
1987085824,"@iamtrask @kiendang I worked on Kien's proposed solution in [this PR](https://github.com/OpenMined/PySyft/pull/8563), and seems like it's working 
![image](https://github.com/OpenMined/PySyft/assets/88959106/70aef922-2300-4205-bd96-107d9c6fa46d)
",worked solution like working image,issue,positive,neutral,neutral,neutral,neutral,neutral
1987058107,@kiendang thanks for taking all the time to investigate! I defer to the wisdom of the group on timing and prioritization. Thanks for finding the root security issue in there. I did notice the failing test and wasn't sure what that was all about. Sounds like you've got a workable plan forward! 🙏,thanks taking time investigate defer wisdom group timing thanks finding root security issue notice failing test sure like got workable plan forward,issue,positive,positive,positive,positive,positive,positive
1986832936,"Thanks @iamtrask this warning must have driven everyone crazy. After a bit of investigation I do agree this is the only solution that works. Some context for anyone else looking into this, since the warning is raised by a C/C++ library, changing `sys.stdout`, `sys.stderr` or using `contextlib.redirect_stdout`, `contextlib.redirect_stderr` doesn't work. I also tried using the [`importlib.resources.files`](https://setuptools.pypa.io/en/latest/userguide/datafiles.html#accessing-data-files-at-runtime) api to load the `capnp` files instead to bypass the issue but this also does not work due to `capnp.load` quirkiness.

However there is still an issue with this solution. The `hide-warnings` library depends on [`py`](https://py.readthedocs.io/en/latest/io.html), which has been deprecated for a while and raises a security alert as you can see in the CI. `py` is also a heavy dependency to add to `syft` just to suppress a warning (it used to be `pytest` backend).

Nevertheless suppressing this warning is definitely something we need to do. I think the right approach is just to port/copy `hide-warnings` and the `py` code it depends on here. This is not a lot of code (only 2 short files [1](https://github.com/Rainbow-Dreamer/hide_warnings/blob/main/hide_warnings.py) [2](https://github.com/pytest-dev/py/blob/master/py/_io/capture.py)).

If you think this makes sense I can try to resolve this during some down time in the 0.8.6 cycle.",thanks warning must driven everyone crazy bit investigation agree solution work context anyone else looking since warning raised library work also tried load instead bypass issue also work due quirkiness however still issue solution library security alert see also heavy dependency add suppress warning used nevertheless warning definitely something need think right approach code lot code short think sense try resolve time cycle,issue,positive,negative,neutral,neutral,negative,negative
1986736659,"I recognize 0.8.5 is about to go out the door. Not necessarily a hard requirement but given it's a small PR, cosmetically it feels like a win for UX. I defer to the judgement of the team.",recognize go door necessarily hard requirement given small cosmetically like win defer team,issue,positive,positive,neutral,neutral,positive,positive
1986711323,Oh `AZURE_BLOB_STORAGE_KEY` not being set is due to this PR being created in Madhava's fork. Let's switch to #8559.,oh set due fork let switch,issue,negative,negative,negative,negative,negative,negative
1985080798,"Thank you for the cleanup @yashgorana , the commands are even more simpler now",thank cleanup even simpler,issue,negative,neutral,neutral,neutral,neutral,neutral
1983469177,"I don't seem to encounter this error anymore, probably a mistake from my side. Thank you!",seem encounter error probably mistake side thank,issue,negative,neutral,neutral,neutral,neutral,neutral
1982897290,@AlexAronikov can you be a bit more specific about the blob storage issue? Can you give me the error message and how you got it so I can replicate it? If its unrelated you could always create a new issue.,bit specific blob storage issue give error message got replicate unrelated could always create new issue,issue,negative,positive,neutral,neutral,positive,positive
1982893307,@H4LL Adam did you get this to work? I will close this for now as I know that its related to quotes on my zsh.,get work close know related,issue,negative,neutral,neutral,neutral,neutral,neutral
1982757536,"@koenvanderveen, since we're not keeping compatibility for this release, I have deprecated SyftObjectRetrieval version 3 class and removed any migrations for the same.",since keeping compatibility release version class removed,issue,negative,neutral,neutral,neutral,neutral,neutral
