id,original_comment,processed_comment,source,sentiment_VADER,sentiment_textblob,sentiment_pattern,sentiment_bert,sentiment_spacy,max_voted_sentiment
1860297400,Pip install h5py worked thanks,pip install worked thanks,issue,negative,positive,positive,positive,positive,positive
1853449458,"> @sanjaiyan-dev Any idea how can we run this lib on colab? It doesn't support python 3.10.

Hi @pratyaksh123 , try running it by downgrading the python version ",idea run support python hi try running python version,issue,negative,neutral,neutral,neutral,neutral,neutral
1848989569,"The reason of crash is in TensorFlow. Python 3.8 pulls TensorFlow, which is not built for M processors, that's why it's crashing on exit code 132 (interrupted by signal 4:SIGILL). I managed to run Turi Create only on Mac with Intel chip.",reason crash python built exit code interrupted signal run create mac chip,issue,negative,neutral,neutral,neutral,neutral,neutral
1846574838,@sanjaiyan-dev Any idea how can we run this lib on colab? It doesn't support python 3.10.,idea run support python,issue,negative,neutral,neutral,neutral,neutral,neutral
1842597352,"> > **Before you install your extension, just follow the prompts**
> > pip install h5py pip install typing-extensions pip install wheel
> > **and then install your extension**
> 
> This works.

Agree. That's working.",install extension follow pip install pip install pip install wheel install extension work agree working,issue,negative,neutral,neutral,neutral,neutral,neutral
1793399292,"ERROR: pip's dependency resolver does not currently take into account all the packages that are installed. This behaviour is the source of the following dependency conflicts.
awscli 2.9.19 requires urllib3<=1.27,>=1.25.4, but you have urllib3 2.0.7 which is incompatible.

```
pip install h5py
pip install typing-extensions
pip install wheel

```
this didnt solve my problem

help... -_-
",error pip dependency resolver currently take account behaviour source following dependency incompatible pip install pip install pip install wheel didnt solve problem help,issue,negative,neutral,neutral,neutral,neutral,neutral
1729937130,hey! ran into a similar issue... check version of python you're running. It's only supported up to 3.8,hey ran similar issue check version python running,issue,negative,neutral,neutral,neutral,neutral,neutral
1719576333,"I am also crashing 
  '""'""''""'""''""'""' % ('""'""'/private/var/folders/8v/j5fgb3w544716cd7dht792480000gn/T/pip-install-tpux1xna/turicreate_ec9e2137ae384b658bb6ff108c3b94d9/setup.py'""'""',), ""<pip-setuptools-caller>"", ""exec""))' bdist_wheel -d /private/var/folders/8v/j5fgb3w544716cd7dht792480000gn/T/pip-wheel-dtzt07tk
  cwd: /private/var/folders/8v/j5fgb3w544716cd7dht792480000gn/T/pip-install-tpux1xna/turicreate_ec9e2137ae384b658bb6ff108c3b94d9/
  Building wheel for turicreate (setup.py) ... error
  ERROR: Failed building wheel for turicreate
  Running setup.py clean for turicreate
  Running command python setup.py clean
  running clean
  'build/lib' does not exist -- can't clean it
  'build/bdist.macosx-11-universal2' does not exist -- can't clean it
  'build/scripts-3.8' does not exist -- can't clean it
Failed to build turicreate
ERROR: Could not build wheels for turicreate, which is required to install pyproject.toml-based projects
evan@Poseidon test % ",also building wheel error error building wheel running clean running command python clean running clean exist ca clean universal exist ca clean exist ca clean build error could build install test,issue,positive,positive,positive,positive,positive,positive
1689542072,"Hi

Facing a similar issue:

ERROR: pip's dependency resolver does not currently take into account all the packages that are installed. This behaviour is the source of the following dependency conflicts.
streamlink 6.1.0 requires urllib3<3,>=1.26.0, but you have urllib3 1.25.11 which is incompatible.

Thanks
rraj
",hi facing similar issue error pip dependency resolver currently take account behaviour source following dependency incompatible thanks,issue,negative,positive,neutral,neutral,positive,positive
1685378971,"> ![Screenshot (41)](https://user-images.githubusercontent.com/67162589/85205910-07e3ca00-b33c-11ea-8bc0-c760accc2ed0.png) how to solve this issue

Use the file with .frame_idx extension and upload all of the files from zipped file.",solve issue use file extension file,issue,negative,neutral,neutral,neutral,neutral,neutral
1669787157,"hi @MatthewWaller how did you create an updatable Sound Classifier model using Turicreate? I trained a model and generated model doesn't seem to be updatable. I followed the guidelines provided [here](https://apple.github.io/turicreate/docs/userguide/sound_classifier/)
Do we have to make any additional config changes to ensure that the generated model is updatable? Thanks 🙏🏽 ",hi create sound classifier model trained model model seem provided make additional ensure model thanks,issue,positive,positive,positive,positive,positive,positive
1621490427,"Hi, I am still facing the same issue on my **M1 MacBook** while using my iPhone and I have **followed all 3 processes** for `.libRecommender.dylib`.

Please let me know if any other info is needed.
Thanks
",hi still facing issue please let know thanks,issue,positive,positive,positive,positive,positive,positive
1612616041,"Any update on this?
I think this library doesn't support M1 because it says to have x86_64 architecture.",update think library support architecture,issue,negative,neutral,neutral,neutral,neutral,neutral
1585732926,"pip install --upgrade accelerate
 or
pip install accelerate==<version>
or
Check for other conflicting packages: There might be other packages installed that are causing conflicts with the desired versions. You can use the command pip list to check the versions of all installed packages and identify any other conflicting dependencies. Then, you can try updating or uninstalling those packages to resolve the conflicts.",pip install upgrade accelerate pip install version check conflicting might causing desired use command pip list check identify conflicting try resolve,issue,negative,neutral,neutral,neutral,neutral,neutral
1553475813,"Hi I got an error like
```
 pip's dependency resolver does not currently take into account all the packages that are installed. This behaviour is the source of the following dependency conflicts.

databricks-sql-connector 2.4.0 requires numpy==1.23.4; python_version >= ""3.8"", but you have numpy 1.24.3 which is incompatible.

databricks-sql-connector 2.4.0 requires pandas<2.0.0,>=1.3.0, but you have pandas 2.0.1 which is incompatible.

databricks-sql-cli 0.1.4 requires pandas==1.3.4, but you have pandas 2.0.1 which is incompatible
```

how to resolve this issue",hi got error like pip dependency resolver currently take account behaviour source following dependency incompatible incompatible incompatible resolve issue,issue,negative,neutral,neutral,neutral,neutral,neutral
1535909859,"I'm having similar issue.... pip's dependency resolver does not.... due to.....the following dependency conflicts....

botocore 1.29.127 requires urllib3<1.27,>=1.25.4, but you have urllib3 2.0.2 which is incompatible",similar issue pip dependency resolver due following dependency incompatible,issue,negative,negative,neutral,neutral,negative,negative
1531260004,"Worked for me.
pip install h5py
pip install typing-extensions
pip install wheel
",worked pip install pip install pip install wheel,issue,negative,neutral,neutral,neutral,neutral,neutral
