id,original_comment,processed_comment,source,sentiment_VADER,sentiment_textblob,sentiment_pattern,sentiment_bert,sentiment_spacy,max_voted_sentiment
1635445604,"We also came across your project and noticed that it contains a vulnerability (CVE-2023-25153). In your project, the github.com/containerd/containerd package is being used at version github.com/containerd/containerd v1.5.4, but the patched version is v1.6.18. To fix the vulnerability, we recommend modifying the go.mod file to update the version to v1.6.18 or higher. Thank you for your attention to this matter.",also came across project vulnerability project package used version version fix vulnerability recommend file update version higher thank attention matter,issue,negative,positive,positive,positive,positive,positive
1634198320,"we came across your project and noticed that it contains a vulnerability (CVE-2022-32149). In your project, the golang.org/x/text package is being used at version golang.org/x/text v0.3.7, but the patched version is v0.3.8. To fix the vulnerability, we recommend modifying the go.mod file to update the version to v0.3.8 or higher. Thank you for your attention to this matter.",came across project vulnerability project package used version version fix vulnerability recommend file update version higher thank attention matter,issue,negative,positive,positive,positive,positive,positive
1589541781,Awesome work 😎 thanks for keeping the project alive! I'll test this out on our setup this week.,awesome work thanks keeping project alive test setup week,issue,positive,positive,positive,positive,positive,positive
1544646930,"[![CLA assistant check](https://cla-assistant.io/pull/badge/not_signed)](https://cla-assistant.io/cortexlabs/cortex?pullRequest=2457) <br/>Thank you for your submission! We really appreciate it. Like many open source projects, we ask that you sign our [Contributor License Agreement](https://cla-assistant.io/cortexlabs/cortex?pullRequest=2457) before we can accept your contribution.<br/><sub>You have signed the CLA already but the status is still pending? Let us [recheck](https://cla-assistant.io/check/cortexlabs/cortex?pullRequest=2457) it.</sub>",assistant check thank submission really appreciate like many open source ask sign contributor license agreement accept sub already status still pending let u recheck,issue,positive,positive,positive,positive,positive,positive
1432465739,Just a heads-up: I'm still running into this in v0.42.1 on macOS.  Setting the env variable as per the PR fixes it.,still running setting variable per,issue,negative,neutral,neutral,neutral,neutral,neutral
1225497614,What is the recommended solution for this issue ? I want to implement something similar.,solution issue want implement something similar,issue,negative,neutral,neutral,neutral,neutral,neutral
1133256688,hi @riquellopes no we don't - you might be able to set it up yourself if they support Prometheus metrics,hi might able set support metric,issue,negative,positive,positive,positive,positive,positive
1106823964,@creatorrr did you find a solution yet? Can you share anything? I'm having a deep interest in this feature as well 👍 ,find solution yet share anything deep interest feature well,issue,positive,neutral,neutral,neutral,neutral,neutral
1105430640,"Yes, you will have to fiddle around with the Prometheus crds and operator. We dropped all metrics which we weren’t showing in the default dashboards by default because the volume of metrics was causing issues in larger clusters. This could be mitigated by setting a larger Prometheus instance type in the cortex cluster config.",yes fiddle around operator metric showing default default volume metric causing could setting instance type cortex cluster,issue,negative,neutral,neutral,neutral,neutral,neutral
1105426608,This is not currently supported. I will leave this issue open as a feature request ,currently leave issue open feature request,issue,negative,neutral,neutral,neutral,neutral,neutral
1063685650,"Unfortunately we are still waiting for a new release of the [AWS CNI](https://github.com/aws/amazon-vpc-cni-k8s) which supports g5 instances. Once that happens, it should be straightforward to add support in Cortex.",unfortunately still waiting new release straightforward add support cortex,issue,negative,positive,neutral,neutral,positive,positive
1051718386,"I just tried creating a new cluster with the cluster configuration you provided, and it worked for me in us-west-2. I ran this from the master branch, but there have not been any changes that should affect the cluster creation process since the v0.42.0 release. Do you mind trying again?",tried new cluster cluster configuration provided worked ran master branch affect cluster creation process since release mind trying,issue,negative,positive,positive,positive,positive,positive
1033105356,"For custom metrics exporting via statsd, the metrics name must start with `cortex_`.

Found in prometheus config,
```
- job_name: serviceMonitor/prometheus/operator/0
...
  metric_relabel_configs:
  - source_labels: [__name__]
    separator: ;
    regex: cortex_(.+)
    replacement: $1
    action: keep
```

```
import statsd

metrics = statsd.StatsClient(host='prometheus-statsd-exporter.prometheus.svc.cluster.local', port=9125)

n_clean = 0
n_error = 0

n_clean += 1

with metrics.pipeline() as pipe:
    pipe.incr(stat=""cortex_api_n_clean"" count=n_clean)
    pipe.incr(stat=""cortex_api_n_error"", count=n_error)
```

Now the metrics are shown correctly in grafana
",custom metric via metric name must start found separator replacement action keep import metric pipe metric shown correctly,issue,negative,positive,neutral,neutral,positive,positive
1032815861,I am using AWS elasticache based on redis for this. It would be nice to deploy the cache with `cortex cluster up`,based would nice deploy cache cortex cluster,issue,negative,positive,positive,positive,positive,positive
1027305532,@deliahu Apologies for dripping these changes in - I think this is the last! I built the cli locally with `make cli` and it's working perfectly for me now.,dripping think last built locally make working perfectly,issue,positive,positive,positive,positive,positive,positive
1027266685,"Thanks for the fix!

We are planning on releasing v0.42.1 soon, but we do have a strict version check for the cli <> operator API (since we don't guarantee backwards compatibility yet). I do think it would make sense to relax the validation to just check that the major/minor versions match. In the meantime, the easiest thing to do would be to cherry-pick the fix on top of the v0.42.0 tag, and then build the CLI. It should be straightforward for you to do in the future if you need to, but for this fix here is the [linux cli](https://get-cortex-dev.s3.us-west-2.amazonaws.com/jack/0.42.0/cli/linux/cortex) and here is the [darwin cli](https://get-cortex-dev.s3.us-west-2.amazonaws.com/jack/0.42.0/cli/darwin/cortex).",thanks fix soon strict version check operator since guarantee backwards compatibility yet think would make sense relax validation check match easiest thing would fix top tag build straightforward future need fix,issue,positive,positive,positive,positive,positive,positive
1027194947,Would it be possible to include this in a `0.42.1` version of the CLI which I can use against my `0.42.0` Cortex cluster?,would possible include version use cortex cluster,issue,negative,neutral,neutral,neutral,neutral,neutral
1021466039,"Thanks for the PR!

It looks good to me. I made a few minor tweaks, please take a look / test it out, and let me know if it all looks good on your end, at which point I'll merge it in!",thanks good made minor please take look test let know good end point merge,issue,positive,positive,positive,positive,positive,positive
1020850701,"> LGTM, thanks!

I really appreciate you and your team's awesome work! thanks",thanks really appreciate team awesome work thanks,issue,positive,positive,positive,positive,positive,positive
1015915711,"As an update on this, form data is supported for making the request. Only JSON data is supported for the API's response.",update form data making request data response,issue,negative,neutral,neutral,neutral,neutral,neutral
1014844055,"Only JSON is currently supported. As a workaround, If you need to pass some sort of binary data to the API you can upload it first to s3, send the URI to that file in the payload, and process it in the API.",currently need pas sort binary data first send file process,issue,negative,positive,positive,positive,positive,positive
1001572560,@miguelvr  Any pointers on how to do this with triton? Just set the instance_groups settings and ELB will automatically see what's available?,triton set elb automatically see available,issue,negative,positive,positive,positive,positive,positive
