id,original_comment,processed_comment,source,sentiment_VADER,sentiment_textblob,sentiment_pattern,sentiment_bert,sentiment_spacy,max_voted_sentiment
1293851349,Thank you for signing our Contributor License Agreement. We can now accept your code for this (and any) Meta Open Source project. Thanks!,thank contributor license agreement accept code meta open source project thanks,issue,positive,positive,neutral,neutral,positive,positive
1258825883,"Dependabot tried to update this pull request, but something went wrong. We're looking into it, but in the meantime you can retry the update by commenting `@dependabot rebase`.",tried update pull request something went wrong looking retry update rebase,issue,negative,negative,negative,negative,negative,negative
1252935757,This pull request was **exported** from Phabricator. Differential Revision: [D39639475](https://www.internalfb.com/diff/D39639475),pull request differential revision,issue,negative,neutral,neutral,neutral,neutral,neutral
1238783312,"@hudeven has imported this pull request. If you are a Meta employee, you can view this diff [on Phabricator](https://www.internalfb.com/diff/D39295908).",pull request meta employee view,issue,negative,neutral,neutral,neutral,neutral,neutral
1192020388,apparently this is a bug left in the source. installing from pypi does not have this problem. ,apparently bug left source problem,issue,negative,positive,neutral,neutral,positive,positive
1191990984,"Hi, I have the same questions both 1 & 2. Could you explain why you it's meaningless?",hi could explain meaningless,issue,negative,negative,negative,negative,negative,negative
1179623708,"I get the same error following the README in this repo by running

pytext export < demo/configs/docnn.json",get error following running export,issue,negative,neutral,neutral,neutral,neutral,neutral
1135721574,"Hi @michael-marlen! 

Thank you for your pull request. 

We **require** contributors to sign our **Contributor License Agreement**, and yours needs attention.

You currently have a record in our system, but the CLA is no longer valid, and will need to be **resubmitted**.

# Process

In order for us to review and merge your suggested changes, please sign at <https://code.facebook.com/cla>. **If you are contributing on behalf of someone else (eg your employer)**, the individual CLA may not be sufficient and your employer may need to sign the corporate CLA.

Once the CLA is signed, our tooling will perform checks and validations. Afterwards, the **pull request will be tagged** with `CLA signed`. The tagging process may take up to 1 hour after signing. Please give it that time before contacting us about it.

If you have received this in error or have any questions, please contact us at [cla@fb.com](mailto:cla@fb.com?subject=CLA%20for%20facebookresearch%2Fpytext%20%231554). Thanks!",hi thank pull request require sign contributor license agreement need attention currently record system longer valid need process order u review merge please sign behalf someone else employer individual may sufficient employer may need sign corporate tooling perform afterwards pull request tagged process may take hour please give time u received error please contact u thanks,issue,positive,positive,neutral,neutral,positive,positive
1049481308,I guess our gpu is not supported from cuda or you don't have the right cuda version installed for torch.,guess right version torch,issue,negative,positive,positive,positive,positive,positive
1041333948,"Hi @neo315! 

Thank you for your pull request. 

We **require** contributors to sign our **Contributor License Agreement**, and yours needs attention.

You currently have a record in our system, but the CLA is no longer valid, and will need to be **resubmitted**.

# Process

In order for us to review and merge your suggested changes, please sign at <https://code.facebook.com/cla>. **If you are contributing on behalf of someone else (eg your employer)**, the individual CLA may not be sufficient and your employer may need to sign the corporate CLA.

Once the CLA is signed, our tooling will perform checks and validations. Afterwards, the **pull request will be tagged** with `CLA signed`. The tagging process may take up to 1 hour after signing. Please give it that time before contacting us about it.

If you have received this in error or have any questions, please contact us at [cla@fb.com](mailto:cla@fb.com?subject=CLA%20for%20facebookresearch%2Fpytext%20%23901). Thanks!",hi neo thank pull request require sign contributor license agreement need attention currently record system longer valid need process order u review merge please sign behalf someone else employer individual may sufficient employer may need sign corporate tooling perform afterwards pull request tagged process may take hour please give time u received error please contact u thanks,issue,positive,positive,neutral,neutral,positive,positive
