id,original_comment,processed_comment,source,sentiment_VADER,sentiment_textblob,sentiment_pattern,sentiment_bert,sentiment_spacy,max_voted_sentiment
2002573529,"In [kws_streaming/layers](https://github.com/google-research/google-research/tree/master/kws_streaming/layers) including [svdf](https://github.com/google-research/google-research/blob/master/kws_streaming/layers/svdf.py) I avoid using any custom TFLite operations including fused [TFLite SVDF](https://www.tensorflow.org/lite/guide/ops_compatibility#experimental_operations). 
There are several reasons for that:
1 Benchmarks of [svdf](https://github.com/google-research/google-research/blob/master/kws_streaming/layers/svdf.py) was not that bad in comparison to fused SVDF.
2 Fused SVDF works only with TFLite, but we need to run SVDF on TPU, GPU, etc. [svdf](https://github.com/google-research/google-research/blob/master/kws_streaming/layers/svdf.py) does not use any special op and can be executed/compiled for any hardware.
",avoid custom fused several bad comparison fused fused work need run use special hardware,issue,negative,negative,negative,negative,negative,negative
1982789995,I've contacted the author. He said only CPU is supported right now. GPU support may be released in the future.,author said right support may future,issue,negative,positive,positive,positive,positive,positive
1979992452,"@rybakov The code is still not working, removing references to internal variables made the code crash at later points in the pipeline. I don't think the code works properly with the current version of tf-nightly, is it possible to update the code so that it is compatible?",code still working removing internal made code crash later pipeline think code work properly current version possible update code compatible,issue,negative,neutral,neutral,neutral,neutral,neutral
1979991124,"@rybakov I'm also finding that the kws library doesn't work on the available versions of tf-nightly, regardless of whatever replacements I can find for deprecated code, the code crashes (I thought it didn't before because it was training successfully, but it crashed after the training part). Can you help update the code so that it works with the current version of tf-nightly?",also finding library work available regardless whatever find code code thought training successfully training part help update code work current version,issue,positive,positive,positive,positive,positive,positive
1974750790,"> so anyone knows how to calculate `RealNVP Loss`? @amughrabi @SJoJoK

sorry, idk.",anyone calculate loss sorry,issue,negative,negative,negative,negative,negative,negative
1972979482,"> @VictorDominguite I have a similar question as well. Do you have any findings or progress to share?

Hi @kismeter, unfortunately, still no progress.",similar question well progress share hi unfortunately still progress,issue,positive,negative,negative,negative,negative,negative
1972374199,@VictorDominguite I have a similar question as well. Do you have any findings or progress to share?,similar question well progress share,issue,positive,neutral,neutral,neutral,neutral,neutral
1968147685,I also have this problem. currently no environment to run KWS sample,also problem currently environment run sample,issue,negative,neutral,neutral,neutral,neutral,neutral
1964464963,"I would like to follow up on this. Will a checkpoint be available. If not, when we train our own model, do we train on just the synthetic data? Whats the best way of setting this up? ",would like follow available train model train synthetic data whats best way setting,issue,positive,positive,positive,positive,positive,positive
1963992694,"Hi @gyd-a what was the Root cause and solution to the issue? Facing a similar issue
",hi root cause solution issue facing similar issue,issue,negative,neutral,neutral,neutral,neutral,neutral
1963204641,"@rybakov kms lib not working at currently latest nightly version, would you help solve it",working currently latest nightly version would help solve,issue,positive,positive,positive,positive,positive,positive
1961742770,The issue was with the model. I think its was not clear from the documentation on the use of model. The paper makes it clear on prompt design when using CoC with chat interfaces.,issue model think clear documentation use model paper clear prompt design chat,issue,positive,positive,positive,positive,positive,positive
1953980712,"How do you do object detection based on LVIS text embeddings? I cant seem to follow through in the demo, as it makes use of custom text embeddings, which I dont want to use.
",object detection based text cant seem follow use custom text dont want use,issue,negative,neutral,neutral,neutral,neutral,neutral
1953711614,"Hi is there any fix for this? Able to run on CPU, but its very slow!!",hi fix able run slow,issue,negative,positive,neutral,neutral,positive,positive
1953679989,"Hi @zhszysrh , I am also looking to do test my custom images and want to computer the text embeddings for my own images. Are you able to finish it ?If yes, Can you pls guide me the steps you followed?
@mcahny ,Do I need to train my own data with few samples of images and corresponding labels in the right format to get the embeddings for custom dataset? I'm new to the Zero Shot/Few shot models. Your guidance will help a lot. 
Thanks in Advance.",hi also looking test custom want computer text able finish yes guide need train data corresponding right format get custom new zero shot guidance help lot thanks advance,issue,positive,positive,positive,positive,positive,positive
1951345812,@rybakov would you please help confirm which tf version works?,would please help confirm version work,issue,positive,neutral,neutral,neutral,neutral,neutral
1951295069,"Thanks for your pull request! It looks like this may be your first contribution to a Google open source project. Before we can look at your pull request, you'll need to sign a Contributor License Agreement (CLA).

View this [failed invocation](https://github.com/google-research/google-research/pull/1942/checks?check_run_id=21699652174) of the CLA check for more information.

For the most up to date status, view the checks section at the bottom of the pull request.",thanks pull request like may first contribution open source project look pull request need sign contributor license agreement view invocation check information date status view section bottom pull request,issue,positive,positive,positive,positive,positive,positive
1950043844,"Hello @rybakov  

it seems that tf_nightly-2.3.0.dev20200515 cannot be downloaded anymore. I used the last google research package release with TF 2.14 and I got the same issue as mentioned here : https://github.com/google-research/google-research/issues/1753.   

Could you please either tell us where to find the tf_nightly release or which TF release has been correctly been tested successfully with the last kws_streaming ? 

thanks a lot !",hello dev used last research package release got issue could please either tell u find release release correctly tested successfully last thanks lot,issue,positive,positive,neutral,neutral,positive,positive
1929343182,"Hello, I have the same issue as well. Could you please provide support for python 3.11?",hello issue well could please provide support python,issue,positive,neutral,neutral,neutral,neutral,neutral
