id,original_comment,processed_comment,source,sentiment_VADER,sentiment_textblob,sentiment_pattern,sentiment_bert,sentiment_spacy,max_voted_sentiment
2014856940,@hxgqh  you need to install [annlite](https://pypi.org/project/annlite/) package. I had the same issue and resolved it by installing `annlite`.,need install package issue resolved,issue,negative,neutral,neutral,neutral,neutral,neutral
1893011966,What's the 'codecov' problem? Do you think that needs a unit test to cover?,problem think need unit test cover,issue,negative,neutral,neutral,neutral,neutral,neutral
1891319831,All the torch models have been migrated and tested. The onnx models will be migrated later due to my network.,torch tested later due network,issue,negative,negative,neutral,neutral,negative,negative
1872487504,"> You may learn how to start a search flow with [this documentation](https://clip-as-service.jina.ai/user-guides/retriever/), and then you may use `clip_client` to do the searching

Follow this document, it will fail:

```log
ERROR  indexer/rep-0@73 fail to load file dependency         [12/30/23 08:53:42]
ERROR  indexer/rep-0@73 FileNotFoundError('can not find
       annlite.executor') during 'WorkerRuntime'
       initialization
        add ""--quiet-error"" to suppress the exception
       details
       Traceback (most recent call last):
         File
       ""/usr/local/lib/python3.8/dist-packages/jina/orchest…
       line 89, in run
           runtime = AsyncNewLoopRuntime(
         File
       ""/usr/local/lib/python3.8/dist-packages/jina/serve/r…
       line 81, in __init__
           self._loop.run_until_complete(self.async_setup())
         File ""/usr/lib/python3.8/asyncio/base_events.py"",
       line 616, in run_until_complete
           return future.result()
         File
       ""/usr/local/lib/python3.8/dist-packages/jina/serve/r…
       line 255, in async_setup
           self.server = self._get_server()
         File
       ""/usr/local/lib/python3.8/dist-packages/jina/serve/r…
       line 181, in _get_server
           return GRPCServer(
         File
       ""/usr/local/lib/python3.8/dist-packages/jina/serve/r…
       line 30, in __init__
           super().__init__(**kwargs)
         File
       ""/usr/local/lib/python3.8/dist-packages/jina/serve/r…
       line 54, in __init__
           self._request_handler = req_handler or
       self._get_request_handler()
         File
       ""/usr/local/lib/python3.8/dist-packages/jina/serve/r…
       line 79, in _get_request_handler
           return self.req_handler_cls(
         File
       ""/usr/local/lib/python3.8/dist-packages/jina/serve/r…
       line 127, in __init__
           self._load_executor(
         File
       ""/usr/local/lib/python3.8/dist-packages/jina/serve/r…
       line 324, in _load_executor
           self._executor: BaseExecutor =
       BaseExecutor.load_config(
         File
       ""/usr/local/lib/python3.8/dist-packages/jina/jaml/__…
       line 742, in load_config
           load_py_modules(
         File
       ""/usr/local/lib/python3.8/dist-packages/jina/jaml/he…
       line 285, in load_py_modules
           PathImporter.add_modules(*mod)
         File
       ""/usr/local/lib/python3.8/dist-packages/jina/importe…
       line 161, in add_modules
           _path_import(complete_path(m))
         File
       ""/usr/local/lib/python3.8/dist-packages/jina/jaml/he…
       line 229, in complete_path
           raise FileNotFoundError(f'can not find {path}')
       FileNotFoundError: can not find annlite.executor
INFO   gateway/rep-0@74 start server bound to 0.0.0.0:51000  [12/30/23 08:53:42]
INFO   encoder/rep-0@72 start server bound to 0.0.0.0:58717  [12/30/23 08:53:50]
ERROR  Flow@ 1 Flow is aborted due to ['indexer'] can not be [12/30/23 08:53:51]
       started.
UserWarning: `docs` annotation must be a type hint, got DocumentArray instead, you should maybe remove the string annotation. Default valueDocumentArray will be used instead. (raised from /usr/local/lib/python3.8/dist-packages/jina/serve/executors/__init__.py:119)
Traceback (most recent call last):
  File ""/usr/lib/python3.8/runpy.py"", line 194, in _run_module_as_main
    return _run_code(code, main_globals, None,
  File ""/usr/lib/python3.8/runpy.py"", line 87, in _run_code
    exec(code, run_globals)
  File ""/usr/local/lib/python3.8/dist-packages/clip_server/__main__.py"", line 25, in <module>
    with f:
  File ""/usr/local/lib/python3.8/dist-packages/jina/orchestrate/orchestrator.py"", line 14, in __enter__
    return self.start()
  File ""/usr/local/lib/python3.8/dist-packages/jina/orchestrate/flow/builder.py"", line 33, in arg_wrapper
    return func(self, *args, **kwargs)
  File ""/usr/local/lib/python3.8/dist-packages/jina/orchestrate/flow/base.py"", line 1832, in start
    self._wait_until_all_ready()
  File ""/usr/local/lib/python3.8/dist-packages/jina/orchestrate/flow/base.py"", line 1975, in _wait_until_all_ready
    raise RuntimeFailToStart
jina.excepts.RuntimeFailToStart
```",may learn start search flow documentation may use searching follow document fail log error fail load file dependency error find add suppress exception recent call last file line run file line file line return file line file line return file line super file line file line return file line file line file line file line file line file line raise find path find start server bound start server bound error flow flow aborted due annotation must type hint got instead maybe remove string annotation default used instead raised recent call last file line return code none file line code file line module file line return file line return self file line start file line raise,issue,negative,negative,neutral,neutral,negative,negative
1871912218,"## [Codecov](https://app.codecov.io/gh/jina-ai/clip-as-service/pull/945?src=pr&el=h1&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=jina-ai) Report
Attention: `4 lines` in your changes are missing coverage. Please review.
> Comparison is base [(`ca2b25b`)](https://app.codecov.io/gh/jina-ai/clip-as-service/commit/ca2b25b7564bc9b18ae38b93f0134e1f9aa0cee7?el=desc&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=jina-ai) 70.73% compared to head [(`3ac7d2b`)](https://app.codecov.io/gh/jina-ai/clip-as-service/pull/945?src=pr&el=desc&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=jina-ai) 71.71%.
> Report is 1 commits behind head on main.

| [Files](https://app.codecov.io/gh/jina-ai/clip-as-service/pull/945?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=jina-ai) | Patch % | Lines |
|---|---|---|
| [server/clip\_server/model/clip\_onnx.py](https://app.codecov.io/gh/jina-ai/clip-as-service/pull/945?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=jina-ai#diff-c2VydmVyL2NsaXBfc2VydmVyL21vZGVsL2NsaXBfb25ueC5weQ==) | 81.81% | [2 Missing :warning: ](https://app.codecov.io/gh/jina-ai/clip-as-service/pull/945?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=jina-ai) |
| [server/clip\_server/model/pretrained\_models.py](https://app.codecov.io/gh/jina-ai/clip-as-service/pull/945?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=jina-ai#diff-c2VydmVyL2NsaXBfc2VydmVyL21vZGVsL3ByZXRyYWluZWRfbW9kZWxzLnB5) | 84.61% | [2 Missing :warning: ](https://app.codecov.io/gh/jina-ai/clip-as-service/pull/945?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=jina-ai) |

<details><summary>Additional details and impacted files</summary>


```diff
@@            Coverage Diff             @@
##             main     #945      +/-   ##
==========================================
+ Coverage   70.73%   71.71%   +0.98%     
==========================================
  Files          23       23              
  Lines        1565     1584      +19     
==========================================
+ Hits         1107     1136      +29     
+ Misses        458      448      -10     
```

| [Flag](https://app.codecov.io/gh/jina-ai/clip-as-service/pull/945/flags?src=pr&el=flags&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=jina-ai) | Coverage Δ | |
|---|---|---|
| [cas](https://app.codecov.io/gh/jina-ai/clip-as-service/pull/945/flags?src=pr&el=flag&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=jina-ai) | `71.71% <84.61%> (+0.98%)` | :arrow_up: |

Flags with carried forward coverage won't be shown. [Click here](https://docs.codecov.io/docs/carryforward-flags?utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=jina-ai#carryforward-flags-in-the-pull-request-comment) to find out more.


</details>

[:umbrella: View full report in Codecov by Sentry](https://app.codecov.io/gh/jina-ai/clip-as-service/pull/945?src=pr&el=continue&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=jina-ai).   
:loudspeaker: Have feedback on the report? [Share it here](https://about.codecov.io/codecov-pr-comment-feedback/?utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=jina-ai).
",report attention missing coverage please review comparison base head report behind head main patch missing warning missing warning summary additional impacted coverage main coverage flag coverage carried forward coverage wo shown click find umbrella view full report sentry feedback report share,issue,negative,negative,negative,negative,negative,negative
1871893971,This PR exceeds the recommended size of 1000 lines. Please make sure you are NOT addressing multiple issues with one PR. Note this PR might be rejected due to its size.,size please make sure multiple one note might due size,issue,positive,positive,positive,positive,positive,positive
1871855025,"## [Codecov](https://app.codecov.io/gh/jina-ai/clip-as-service/pull/944?src=pr&el=h1&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=jina-ai) Report
Attention: `203 lines` in your changes are missing coverage. Please review.
> Comparison is base [(`ca2b25b`)](https://app.codecov.io/gh/jina-ai/clip-as-service/commit/ca2b25b7564bc9b18ae38b93f0134e1f9aa0cee7?el=desc&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=jina-ai) 70.73% compared to head [(`a7d724e`)](https://app.codecov.io/gh/jina-ai/clip-as-service/pull/944?src=pr&el=desc&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=jina-ai) 26.77%.
> Report is 1 commits behind head on main.

> :exclamation: Current head a7d724e differs from pull request most recent head 2bb2fe7. Consider uploading reports for the commit 2bb2fe7 to get more accurate results

| [Files](https://app.codecov.io/gh/jina-ai/clip-as-service/pull/944?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=jina-ai) | Patch % | Lines |
|---|---|---|
| [client/clip\_client/client.py](https://app.codecov.io/gh/jina-ai/clip-as-service/pull/944?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=jina-ai#diff-Y2xpZW50L2NsaXBfY2xpZW50L2NsaWVudC5weQ==) | 25.25% | [74 Missing :warning: ](https://app.codecov.io/gh/jina-ai/clip-as-service/pull/944?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=jina-ai) |
| [server/clip\_server/executors/clip\_onnx.py](https://app.codecov.io/gh/jina-ai/clip-as-service/pull/944?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=jina-ai#diff-c2VydmVyL2NsaXBfc2VydmVyL2V4ZWN1dG9ycy9jbGlwX29ubngucHk=) | 14.28% | [24 Missing :warning: ](https://app.codecov.io/gh/jina-ai/clip-as-service/pull/944?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=jina-ai) |
| [server/clip\_server/executors/clip\_tensorrt.py](https://app.codecov.io/gh/jina-ai/clip-as-service/pull/944?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=jina-ai#diff-c2VydmVyL2NsaXBfc2VydmVyL2V4ZWN1dG9ycy9jbGlwX3RlbnNvcnJ0LnB5) | 0.00% | [22 Missing :warning: ](https://app.codecov.io/gh/jina-ai/clip-as-service/pull/944?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=jina-ai) |
| [server/clip\_server/executors/clip\_torch.py](https://app.codecov.io/gh/jina-ai/clip-as-service/pull/944?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=jina-ai#diff-c2VydmVyL2NsaXBfc2VydmVyL2V4ZWN1dG9ycy9jbGlwX3RvcmNoLnB5) | 19.04% | [17 Missing :warning: ](https://app.codecov.io/gh/jina-ai/clip-as-service/pull/944?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=jina-ai) |
| [server/clip\_server/executors/helper.py](https://app.codecov.io/gh/jina-ai/clip-as-service/pull/944?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=jina-ai#diff-c2VydmVyL2NsaXBfc2VydmVyL2V4ZWN1dG9ycy9oZWxwZXIucHk=) | 25.00% | [12 Missing :warning: ](https://app.codecov.io/gh/jina-ai/clip-as-service/pull/944?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=jina-ai) |
| [server/clip\_server/model/model.py](https://app.codecov.io/gh/jina-ai/clip-as-service/pull/944?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=jina-ai#diff-c2VydmVyL2NsaXBfc2VydmVyL21vZGVsL21vZGVsLnB5) | 0.00% | [11 Missing :warning: ](https://app.codecov.io/gh/jina-ai/clip-as-service/pull/944?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=jina-ai) |
| [server/clip\_server/model/openclip\_model.py](https://app.codecov.io/gh/jina-ai/clip-as-service/pull/944?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=jina-ai#diff-c2VydmVyL2NsaXBfc2VydmVyL21vZGVsL29wZW5jbGlwX21vZGVsLnB5) | 0.00% | [11 Missing :warning: ](https://app.codecov.io/gh/jina-ai/clip-as-service/pull/944?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=jina-ai) |
| [server/clip\_server/model/pretrained\_models.py](https://app.codecov.io/gh/jina-ai/clip-as-service/pull/944?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=jina-ai#diff-c2VydmVyL2NsaXBfc2VydmVyL21vZGVsL3ByZXRyYWluZWRfbW9kZWxzLnB5) | 16.66% | [10 Missing :warning: ](https://app.codecov.io/gh/jina-ai/clip-as-service/pull/944?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=jina-ai) |
| [server/clip\_server/model/clip\_onnx.py](https://app.codecov.io/gh/jina-ai/clip-as-service/pull/944?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=jina-ai#diff-c2VydmVyL2NsaXBfc2VydmVyL21vZGVsL2NsaXBfb25ueC5weQ==) | 10.00% | [9 Missing :warning: ](https://app.codecov.io/gh/jina-ai/clip-as-service/pull/944?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=jina-ai) |
| [server/clip\_server/\_\_main\_\_.py](https://app.codecov.io/gh/jina-ai/clip-as-service/pull/944?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=jina-ai#diff-c2VydmVyL2NsaXBfc2VydmVyL19fbWFpbl9fLnB5) | 0.00% | [5 Missing :warning: ](https://app.codecov.io/gh/jina-ai/clip-as-service/pull/944?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=jina-ai) |
| ... and [4 more](https://app.codecov.io/gh/jina-ai/clip-as-service/pull/944?src=pr&el=tree-more&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=jina-ai) | |

<details><summary>Additional details and impacted files</summary>


```diff
@@             Coverage Diff             @@
##             main     #944       +/-   ##
===========================================
- Coverage   70.73%   26.77%   -43.96%     
===========================================
  Files          23       23               
  Lines        1565     1576       +11     
===========================================
- Hits         1107      422      -685     
- Misses        458     1154      +696     
```

| [Flag](https://app.codecov.io/gh/jina-ai/clip-as-service/pull/944/flags?src=pr&el=flags&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=jina-ai) | Coverage Δ | |
|---|---|---|
| [cas](https://app.codecov.io/gh/jina-ai/clip-as-service/pull/944/flags?src=pr&el=flag&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=jina-ai) | `26.77% <23.10%> (-43.96%)` | :arrow_down: |

Flags with carried forward coverage won't be shown. [Click here](https://docs.codecov.io/docs/carryforward-flags?utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=jina-ai#carryforward-flags-in-the-pull-request-comment) to find out more.


</details>

[:umbrella: View full report in Codecov by Sentry](https://app.codecov.io/gh/jina-ai/clip-as-service/pull/944?src=pr&el=continue&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=jina-ai).   
:loudspeaker: Have feedback on the report? [Share it here](https://about.codecov.io/codecov-pr-comment-feedback/?utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=jina-ai).
",report attention missing coverage please review comparison base head ade report behind head main exclamation current head ade pull request recent head consider commit get accurate patch missing warning missing warning missing warning missing warning missing warning missing warning missing warning missing warning missing warning missing warning summary additional impacted coverage main coverage flag coverage carried forward coverage wo shown click find umbrella view full report sentry feedback report share,issue,negative,negative,negative,negative,negative,negative
1871839517,"Thanks for your contribution :heart:
:broken_heart: Unfortunately, this PR has one or more **bad commit messages**, it can not be merged. To fix this problem, please refer to:
- [Commit Message Guideline for the First Time Contributor](https://github.com/jina-ai/jina/issues/553)
- [Contributing Guideline](https://github.com/jina-ai/jina/blob/master/CONTRIBUTING.md)
This message will be deleted automatically when the commit messages get fixed.",thanks contribution heart unfortunately one bad commit fix problem please refer commit message guideline first time contributor guideline message automatically commit get fixed,issue,negative,negative,negative,negative,negative,negative
1868738715,"> > > > > > > Hello, I recently noticed that often the bucket from which you can download the models gets blocked and opens after a while as you can see here #931 and [here](https://github.com/immich-app/immich/issues/4117#issue-1899687244).
> > > > > > > Today the block of the bucket was removed, so I decided to download all the models to my computer in order to have a backup of them when needed, however I thought how I can give back a contribution to the community and to this great project, I want to upload all the clip_onnx model files to the Telegram channel So even if the bucket is blocked there will still be an additional download source for all the models that appear in the file openclip_model.py
> > > > > > > Of course, if I do it, I will link to the original page on GitHub, a link to the website and whatever you tell me is necessary
> > > > > > > **I wanted to ask if this is something that can be done or if it might violate any rights?**
> > > > > > > Thanks!
> > > > > > 
> > > > > > 
> > > > > > @aviv926 It would better if you close this issue if it's solved?
> > > > > 
> > > > > 
> > > > > Is there a copyright issue with what I want to do?
> > > > 
> > > > 
> > > > you can talk with @JoanFM or @samsja , hope they will help you to get the answer of your question.
> > > 
> > > 
> > > Do you mean waiting for their answer here or should I contact them?
> > 
> > 
> > You should send message on the discord server of Jina.
> 
> I'll try again, I tried before I opened the discussion here, but I didn't get any response in Discord. thanks for help.

just the mention the maintainer in the message to get responses from them.
Thank you :)",hello recently often bucket blocked see today block bucket removed decided computer order backup however thought give back contribution community great project want model telegram channel even bucket blocked still additional source appear file course link original page link whatever tell necessary ask something done might violate thanks would better close issue copyright issue want talk hope help get answer question mean waiting answer contact send message discord server jina try tried discussion get response discord thanks help mention maintainer message get thank,issue,positive,positive,positive,positive,positive,positive
1868597909,"> > > > > > Hello, I recently noticed that often the bucket from which you can download the models gets blocked and opens after a while as you can see here #931 and [here](https://github.com/immich-app/immich/issues/4117#issue-1899687244).
> > > > > > Today the block of the bucket was removed, so I decided to download all the models to my computer in order to have a backup of them when needed, however I thought how I can give back a contribution to the community and to this great project, I want to upload all the clip_onnx model files to the Telegram channel So even if the bucket is blocked there will still be an additional download source for all the models that appear in the file openclip_model.py
> > > > > > Of course, if I do it, I will link to the original page on GitHub, a link to the website and whatever you tell me is necessary
> > > > > > **I wanted to ask if this is something that can be done or if it might violate any rights?**
> > > > > > Thanks!
> > > > > 
> > > > > 
> > > > > @aviv926 It would better if you close this issue if it's solved?
> > > > 
> > > > 
> > > > Is there a copyright issue with what I want to do?
> > > 
> > > 
> > > you can talk with @JoanFM or @samsja , hope they will help you to get the answer of your question.
> > 
> > 
> > Do you mean waiting for their answer here or should I contact them?
> 
> You should send message on the discord server of Jina.

I'll try again, I tried before I opened the discussion here, but I didn't get any response in Discord.
thanks for help.",hello recently often bucket blocked see today block bucket removed decided computer order backup however thought give back contribution community great project want model telegram channel even bucket blocked still additional source appear file course link original page link whatever tell necessary ask something done might violate thanks would better close issue copyright issue want talk hope help get answer question mean waiting answer contact send message discord server jina try tried discussion get response discord thanks help,issue,positive,positive,positive,positive,positive,positive
