id,original_comment,processed_comment,source,sentiment_VADER,sentiment_textblob,sentiment_pattern,sentiment_bert,sentiment_spacy,max_voted_sentiment
2003430450,"@wang-TJ-20  Hello , I wonder if you solved the problem! I have exactly the same problem and would appreciate any help",hello wonder problem exactly problem would appreciate help,issue,negative,positive,positive,positive,positive,positive
2003423472,"Hello , @saeedehj  I wonder if you solved the problem! I have the exact same problem here. ",hello wonder problem exact problem,issue,negative,positive,positive,positive,positive,positive
2003290613,"@RRRROBOT  @taozhuang123  @junyanz  @niuliang42  @guotong1988  @shimiaoli  @ZZG-Z  @tellurion-kanata  @taesungp Hello, I have the same issue I have done everything you guys said : I have set the --model to pix2pix I checked the netG it's the same as train, the directory is correct,  but it does not work! I don't get it! it says AttributeError: 'Sequential' object has no attribute 'model'. I have tried PyTorch 2.2.0 , 1.12 .0, 1.9.0 but none of them work. I tried to install 1.4.0 but it is deprecated ! help please what is the problem?
",hello issue done everything said set model checked train directory correct work get object attribute tried none work tried install help please problem,issue,negative,neutral,neutral,neutral,neutral,neutral
2000126610,"Oh that's what you mean. It was ambiguous from your description. 

The model is convolutional so it can probably take in any reasonably sized image and spit out a similarly sized (exact size would depend on strides and padding). However, the pretrained model are not trained on other sizes so no performance guarantees. 

You can modify the code to train new models on arbitrarily sized data. We make no promises on how well it works.",oh mean ambiguous description model convolutional probably take reasonably sized image spit similarly sized exact size would depend padding however model trained size performance modify code train new arbitrarily sized data make well work,issue,negative,positive,neutral,neutral,positive,positive
1999165068,"Hi,

the problem with this is that, If I pass input image size 1024*1024, then the output will be 800*800.
but I want the output to be 1024*1024.",hi problem pas input image size output want output,issue,negative,neutral,neutral,neutral,neutral,neutral
1999050257,"What’s the problem with resizing to 800x800?

On Fri, Mar 15, 2024 at 02:36 arrrrr3186 ***@***.***> wrote:

> Thank you for response.
>
> Simply resizing the input image won't address my issue. Let's say I resize
> an image to a standard size like 800x800 pixels. But what if your original
> input size is larger, like 1024x1024 pixels? In that case, resizing would
> change the dimensions to 800x800 pixels.
>
> What I'm looking for is consistency in output size, regardless of the
> input image's dimensions. Whether it's 800x800, 1024x1024, or even 256x256
> pixels, I want the output image to maintain the same dimensions as the
> input.
>
> Do you know if there's a way to achieve this?
>
> —
> Reply to this email directly, view it on GitHub
> <https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix/issues/1633#issuecomment-1999028958>,
> or unsubscribe
> <https://github.com/notifications/unsubscribe-auth/ABLJMZPEIFXV3SDJEOU5VGTYYKJF3AVCNFSM6AAAAABEQEDEAGVHI2DSMVQWIX3LMV43OSLTON2WKQ3PNVWWK3TUHMYTSOJZGAZDQOJVHA>
> .
> You are receiving this because you were mentioned.Message ID:
> ***@***.***>
>
",problem mar wrote thank response simply input image wo address issue let say resize image standard size like original input size like case would change looking consistency output size regardless input image whether even want output image maintain input know way achieve reply directly view id,issue,positive,positive,positive,positive,positive,positive
1999028958,"Thank you for response.

Simply resizing the input image won't address my issue. Let's say I resize an image to a standard size like 800x800 pixels. But what if your original input size is larger, like 1024x1024 pixels? In that case, resizing would change the dimensions to 800x800 pixels.

What I'm looking for is consistency in output size, regardless of the input image's dimensions. Whether it's 800x800, 1024x1024, or even 256x256 pixels, I want the output image to maintain the same dimensions as the input.

Do you know if there's a way to achieve this?

",thank response simply input image wo address issue let say resize image standard size like original input size like case would change looking consistency output size regardless input image whether even want output image maintain input know way achieve,issue,positive,positive,positive,positive,positive,positive
1997388047,"> In training of generator, if dropout is used in discriminator, the GAN loss for generator calculated will be affected by the dropout effect of discriminator.
> 
> ```
>     # GAN loss D_A(G_A(A))
>     self.loss_G_A = self.criterionGAN(self.netD_A(self.fake_B), True)
>     # GAN loss D_B(G_B(B))
>     self.loss_G_B = self.criterionGAN(self.netD_B(self.fake_A), True)
> ```
> 
> So should we use netD_A.eval() and netD_B.eval() before the calculation of GAN loss in order to eliminate the dropout effect?

if there is BN in discriminator, should we use eval mode?",training generator dropout used discriminator gan loss generator calculated affected dropout effect discriminator gan loss true gan loss true use calculation gan loss order eliminate dropout effect discriminator use mode,issue,negative,positive,positive,positive,positive,positive
1996988352,"@czh886 Hello, could I have a look at your prediction code?  There are always problems with the prediction script I wrote myself. Thanks！",hello could look prediction code always prediction script wrote,issue,negative,neutral,neutral,neutral,neutral,neutral
1995427188,You can resize the input to the same size before feeding into the model.,resize input size feeding model,issue,negative,neutral,neutral,neutral,neutral,neutral
