id,original_comment,processed_comment,source,sentiment_VADER,sentiment_textblob,sentiment_pattern,sentiment_bert,sentiment_spacy,max_voted_sentiment
2019850429,"I am facing this issue too on auto-keras == 1.1.0.
This seems to happen when the tuner is set to either of 'bayesian', 'hyperband' or 'random'.",facing issue happen tuner set either,issue,negative,neutral,neutral,neutral,neutral,neutral
2019546915,@sideshot - Thanks. I used your workaround and it works perfectly for me.,thanks used work perfectly,issue,positive,positive,positive,positive,positive,positive
2010720907,"## [Codecov](https://app.codecov.io/gh/keras-team/autokeras/pull/1911?dropdown=coverage&src=pr&el=h1&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=keras-team) Report
All modified and coverable lines are covered by tests :white_check_mark:
> Project coverage is 100.00%. Comparing base [(`5549d89`)](https://app.codecov.io/gh/keras-team/autokeras/commit/5549d89469cdb2558962212f81d300bdfe3ee974?dropdown=coverage&el=desc&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=keras-team) to head [(`a09fd90`)](https://app.codecov.io/gh/keras-team/autokeras/pull/1911?dropdown=coverage&src=pr&el=desc&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=keras-team).
> Report is 1 commits behind head on master.


<details><summary>Additional details and impacted files</summary>


```diff
@@            Coverage Diff            @@
##            master     #1911   +/-   ##
=========================================
  Coverage   100.00%   100.00%           
=========================================
  Files           48        48           
  Lines         2175      2175           
=========================================
  Hits          2175      2175           
```



</details>

[:umbrella: View full report in Codecov by Sentry](https://app.codecov.io/gh/keras-team/autokeras/pull/1911?dropdown=coverage&src=pr&el=continue&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=keras-team).   
:loudspeaker: Have feedback on the report? [Share it here](https://about.codecov.io/codecov-pr-comment-feedback/?utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=keras-team).
",report covered project coverage base head report behind head master summary additional impacted coverage master coverage umbrella view full report sentry feedback report share,issue,negative,negative,negative,negative,negative,negative
2010684950,"Yup I think lower bound (tf<2.16.0) would be better I came across the error while running autokeras library solved when I installed version tf=2.15.0 and might thought on editing libraries specs anyways thank you 
",think lower bound would better came across error running library version might thought spec anyways thank,issue,negative,positive,positive,positive,positive,positive
2010653916,"Thanks for your pull request! It looks like this may be your first contribution to a Google open source project. Before we can look at your pull request, you'll need to sign a Contributor License Agreement (CLA).

View this [failed invocation](https://github.com/keras-team/autokeras/pull/1910/checks?check_run_id=22905144665) of the CLA check for more information.

For the most up to date status, view the checks section at the bottom of the pull request.",thanks pull request like may first contribution open source project look pull request need sign contributor license agreement view invocation check information date status view section bottom pull request,issue,positive,positive,positive,positive,positive,positive
2008233831,"## [Codecov](https://app.codecov.io/gh/keras-team/autokeras/pull/1908?dropdown=coverage&src=pr&el=h1&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=keras-team) Report
Attention: Patch coverage is `99.14530%` with `1 lines` in your changes are missing coverage. Please review.
> Project coverage is 99.63%. Comparing base [(`ec4ebd1`)](https://app.codecov.io/gh/keras-team/autokeras/commit/ec4ebd16817380e8586f4ca61b16998d0a4aed09?dropdown=coverage&el=desc&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=keras-team) to head [(`87774e6`)](https://app.codecov.io/gh/keras-team/autokeras/pull/1908?dropdown=coverage&src=pr&el=desc&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=keras-team).

> :exclamation: Current head 87774e6 differs from pull request most recent head 11d9b77. Consider uploading reports for the commit 11d9b77 to get more accurate results

| [Files](https://app.codecov.io/gh/keras-team/autokeras/pull/1908?dropdown=coverage&src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=keras-team) | Patch % | Lines |
|---|---|---|
| [autokeras/utils/data\_utils.py](https://app.codecov.io/gh/keras-team/autokeras/pull/1908?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=keras-team#diff-YXV0b2tlcmFzL3V0aWxzL2RhdGFfdXRpbHMucHk=) | 88.88% | [1 Missing :warning: ](https://app.codecov.io/gh/keras-team/autokeras/pull/1908?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=keras-team) |

<details><summary>Additional details and impacted files</summary>


```diff
@@             Coverage Diff             @@
##           master    #1908       +/-   ##
===========================================
+ Coverage        0   99.63%   +99.63%     
===========================================
  Files           0       48       +48     
  Lines           0     2174     +2174     
===========================================
+ Hits            0     2166     +2166     
- Misses          0        8        +8     
```



</details>

[:umbrella: View full report in Codecov by Sentry](https://app.codecov.io/gh/keras-team/autokeras/pull/1908?dropdown=coverage&src=pr&el=continue&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=keras-team).   
:loudspeaker: Have feedback on the report? [Share it here](https://about.codecov.io/codecov-pr-comment-feedback/?utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=keras-team).
",report attention patch coverage missing coverage please review project coverage base head exclamation current head pull request recent head consider commit get accurate patch missing warning summary additional impacted coverage master coverage umbrella view full report sentry feedback report share,issue,negative,negative,neutral,neutral,negative,negative
1996236441,"I tried using the tensorflow==2.15.0 and restarted the kernel, imported os and the tensorflow amc it worked.
Thank you ",tried kernel o worked thank,issue,negative,neutral,neutral,neutral,neutral,neutral
1996180524,"> @haifeng-jin this works for me ty

does the execution go all the way? ",work execution go way,issue,negative,neutral,neutral,neutral,neutral,neutral
1996179872,"Do you know when this might be fixed for keras 3 to be supported?
Regards
 Aya
________________________________
From: Haifeng Jin ***@***.***>
Sent: Thursday, March 14, 2024 12:45 AM
To: keras-team/autokeras ***@***.***>
Cc: Aya121298 ***@***.***>; Author ***@***.***>
Subject: Re: [keras-team/autokeras] Bug: import autokeras as ak --> ModuleNotFoundError: No module named 'tensorflow.keras.layers.experimental' (Issue #1906)


You can either downgrade the TensorFlow version to less than 2.16. Or Use 2.16 or above versions of TensorFlow and install the corresponding tf_keras, and then export the environment variable TF_USE_LEGACY_KERAS=1.

AutoKeras does not support Keras 3 yet.

—
Reply to this email directly, view it on GitHub<https://github.com/keras-team/autokeras/issues/1906#issuecomment-1996016885>, or unsubscribe<https://github.com/notifications/unsubscribe-auth/BEY2HW247ELFKCCDXCEATL3YYDJIRAVCNFSM6AAAAABES534RWVHI2DSMVQWIX3LMV43OSLTON2WKQ3PNVWWK3TUHMYTSOJWGAYTMOBYGU>.
You are receiving this because you authored the thread.Message ID: ***@***.***>
",know might fixed sent march author subject bug import ak module issue either downgrade version le use install corresponding export environment variable support yet reply directly view id,issue,negative,positive,neutral,neutral,positive,positive
1996173070,"thank you
________________________________
From: Haifeng Jin ***@***.***>
Sent: Thursday, March 14, 2024 12:45 AM
To: keras-team/autokeras ***@***.***>
Cc: Aya121298 ***@***.***>; Author ***@***.***>
Subject: Re: [keras-team/autokeras] Bug: import autokeras as ak --> ModuleNotFoundError: No module named 'tensorflow.keras.layers.experimental' (Issue #1906)


You can either downgrade the TensorFlow version to less than 2.16. Or Use 2.16 or above versions of TensorFlow and install the corresponding tf_keras, and then export the environment variable TF_USE_LEGACY_KERAS=1.

AutoKeras does not support Keras 3 yet.

—
Reply to this email directly, view it on GitHub<https://github.com/keras-team/autokeras/issues/1906#issuecomment-1996016885>, or unsubscribe<https://github.com/notifications/unsubscribe-auth/BEY2HW247ELFKCCDXCEATL3YYDJIRAVCNFSM6AAAAABES534RWVHI2DSMVQWIX3LMV43OSLTON2WKQ3PNVWWK3TUHMYTSOJWGAYTMOBYGU>.
You are receiving this because you authored the thread.Message ID: ***@***.***>
",thank sent march author subject bug import ak module issue either downgrade version le use install corresponding export environment variable support yet reply directly view id,issue,positive,negative,neutral,neutral,negative,negative
