id,original_comment,processed_comment,source,sentiment_VADER,sentiment_textblob,sentiment_pattern,sentiment_bert,sentiment_spacy,max_voted_sentiment
1961195096,"> Hi @jesseengel
> 
> Where can we obtain the `model.ckpt-200000`?
> 
> I used the link http://download.magenta.tensorflow.org/models/nsynth/wavenet-ckpt.tar and these is the content of that .tar:
> 
> ```
> -rw-r----- 1 ubuntu ubuntu 986763532 Apr  3  2017 model.ckpt-200000.data-00000-of-00001
> -rw-r----- 1 ubuntu ubuntu     63671 Apr  3  2017 model.ckpt-200000.index
> -rw-r----- 1 ubuntu ubuntu   7060787 Apr  3  2017 model.ckpt-200000.meta
> ```
> 
> <img alt=""image"" width=""838"" src=""https://private-user-images.githubusercontent.com/23288462/306682803-77e8906c-8718-4fa5-aee5-974d102049a6.png?jwt=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpc3MiOiJnaXRodWIuY29tIiwiYXVkIjoicmF3LmdpdGh1YnVzZXJjb250ZW50LmNvbSIsImtleSI6ImtleTUiLCJleHAiOjE3MDg2ODk0MzEsIm5iZiI6MTcwODY4OTEzMSwicGF0aCI6Ii8yMzI4ODQ2Mi8zMDY2ODI4MDMtNzdlODkwNmMtODcxOC00ZmE1LWFlZTUtOTc0ZDEwMjA0OWE2LnBuZz9YLUFtei1BbGdvcml0aG09QVdTNC1ITUFDLVNIQTI1NiZYLUFtei1DcmVkZW50aWFsPUFLSUFWQ09EWUxTQTUzUFFLNFpBJTJGMjAyNDAyMjMlMkZ1cy1lYXN0LTElMkZzMyUyRmF3czRfcmVxdWVzdCZYLUFtei1EYXRlPTIwMjQwMjIzVDExNTIxMVomWC1BbXotRXhwaXJlcz0zMDAmWC1BbXotU2lnbmF0dXJlPWI5YTY1MzQyNzA5ZDdiNmJjY2EyOWFhNTllNmY4NTFjNWM1NDNkYjM2MzQ4ZTE3MWUxNWMwYjc3NjA2MGZhMGMmWC1BbXotU2lnbmVkSGVhZGVycz1ob3N0JmFjdG9yX2lkPTAma2V5X2lkPTAmcmVwb19pZD0wIn0.2YQ8nl28x3RN9VfIG99kEcZeS30slfa2GZtJa2oABJI"">



> I tried converting it using `tensorflow==1.15.0`and the script:
> 
> ```
> import tensorflow_text
> import tensorflow as tf
> 
> tf.compat.v1.disable_eager_execution()
> 
> # Now the rest of your code
> saver = tf.compat.v1.train.import_meta_graph('model.ckpt-200000.meta')
> 
> # Restore the weights
> saver.restore(sess, 'model.ckpt-200000')
> ```
> 
> I can't go over this error:
> 
> ```
> Traceback (most recent call last):
>   File ""converter.py"", line 9, in <module>
>     saver = tf.compat.v1.train.import_meta_graph('model.ckpt-200000.meta')
>   File ""/home/ubuntu/vertate-nsynth/virtual-trans/lib/python3.7/site-packages/tensorflow_core/python/training/saver.py"", line 1453, in import_meta_graph
>     **kwargs)[0]
>   File ""/home/ubuntu/vertate-nsynth/virtual-trans/lib/python3.7/site-packages/tensorflow_core/python/training/saver.py"", line 1477, in _import_meta_graph_with_return_elements
>     **kwargs))
>   File ""/home/ubuntu/vertate-nsynth/virtual-trans/lib/python3.7/site-packages/tensorflow_core/python/framework/meta_graph.py"", line 809, in import_scoped_meta_graph_with_return_elements
>     return_elements=return_elements)
>   File ""/home/ubuntu/vertate-nsynth/virtual-trans/lib/python3.7/site-packages/tensorflow_core/python/util/deprecation.py"", line 507, in new_func
>     return func(*args, **kwargs)
>   File ""/home/ubuntu/vertate-nsynth/virtual-trans/lib/python3.7/site-packages/tensorflow_core/python/framework/importer.py"", line 405, in import_graph_def
>     producer_op_list=producer_op_list)
>   File ""/home/ubuntu/vertate-nsynth/virtual-trans/lib/python3.7/site-packages/tensorflow_core/python/framework/importer.py"", line 501, in _import_graph_def_internal
>     graph._c_graph, serialized, options)  # pylint: disable=protected-access
> tensorflow.python.framework.errors_impl.NotFoundError: Op type not registered 'SSTableReader' in binary running on locally. Make sure the Op and Kernel are registered in the binary running in this process. Note that if you are loading a saved graph which used ops from tf.contrib, accessing (e.g.) `tf.contrib.resampler` should be done before importing the graph, as contrib ops are lazily registered when the module is first accessed.
> ```

@cghawthorne @adarob @iansimon Can you give my some pointers on how to get a working checkpoint for `wavenet-ckpt.tar`?",hi obtain used link content image tried converting script import import rest code saver restore sess ca go error recent call last file line module saver file line file line file line file line return file line file line type registered binary running locally make sure kernel registered binary running process note loading saved graph used done graph lazily registered module first give get working,issue,positive,positive,neutral,neutral,positive,positive
1956998846,"I tried converting it using `tensorflow==1.15.0`and the script:

```
import tensorflow_text
import tensorflow as tf

tf.compat.v1.disable_eager_execution()

# Now the rest of your code
saver = tf.compat.v1.train.import_meta_graph('model.ckpt-200000.meta')

# Restore the weights
saver.restore(sess, 'model.ckpt-200000')
```

I can't go over this error:

```
Traceback (most recent call last):
  File ""converter.py"", line 9, in <module>
    saver = tf.compat.v1.train.import_meta_graph('model.ckpt-200000.meta')
  File ""/home/ubuntu/vertate-nsynth/virtual-trans/lib/python3.7/site-packages/tensorflow_core/python/training/saver.py"", line 1453, in import_meta_graph
    **kwargs)[0]
  File ""/home/ubuntu/vertate-nsynth/virtual-trans/lib/python3.7/site-packages/tensorflow_core/python/training/saver.py"", line 1477, in _import_meta_graph_with_return_elements
    **kwargs))
  File ""/home/ubuntu/vertate-nsynth/virtual-trans/lib/python3.7/site-packages/tensorflow_core/python/framework/meta_graph.py"", line 809, in import_scoped_meta_graph_with_return_elements
    return_elements=return_elements)
  File ""/home/ubuntu/vertate-nsynth/virtual-trans/lib/python3.7/site-packages/tensorflow_core/python/util/deprecation.py"", line 507, in new_func
    return func(*args, **kwargs)
  File ""/home/ubuntu/vertate-nsynth/virtual-trans/lib/python3.7/site-packages/tensorflow_core/python/framework/importer.py"", line 405, in import_graph_def
    producer_op_list=producer_op_list)
  File ""/home/ubuntu/vertate-nsynth/virtual-trans/lib/python3.7/site-packages/tensorflow_core/python/framework/importer.py"", line 501, in _import_graph_def_internal
    graph._c_graph, serialized, options)  # pylint: disable=protected-access
tensorflow.python.framework.errors_impl.NotFoundError: Op type not registered 'SSTableReader' in binary running on locally. Make sure the Op and Kernel are registered in the binary running in this process. Note that if you are loading a saved graph which used ops from tf.contrib, accessing (e.g.) `tf.contrib.resampler` should be done before importing the graph, as contrib ops are lazily registered when the module is first accessed.
```",tried converting script import import rest code saver restore sess ca go error recent call last file line module saver file line file line file line file line return file line file line type registered binary running locally make sure kernel registered binary running process note loading saved graph used done graph lazily registered module first,issue,positive,positive,neutral,neutral,positive,positive
1956993358,"Hi @jesseengel

Where can we obtain the `model.ckpt-200000`?

I used the link http://download.magenta.tensorflow.org/models/nsynth/wavenet-ckpt.tar and these is the content of that .tar:

```
-rw-r----- 1 ubuntu ubuntu 986763532 Apr  3  2017 model.ckpt-200000.data-00000-of-00001
-rw-r----- 1 ubuntu ubuntu     63671 Apr  3  2017 model.ckpt-200000.index
-rw-r----- 1 ubuntu ubuntu   7060787 Apr  3  2017 model.ckpt-200000.meta
``` 

<img width=""838"" alt=""image"" src=""https://github.com/magenta/magenta/assets/23288462/77e8906c-8718-4fa5-aee5-974d102049a6"">

",hi obtain used link content image,issue,negative,neutral,neutral,neutral,neutral,neutral
1937608142,"> I have managed to get Magenta running on my M2 by shoehorning dependencies together. Unfortunately there is a bug in Apple's tensorflow GPU acceleration (reported and acknowledge by Apple, see [forum post](https://developer.apple.com/forums//thread/723816?answerId=743019022#743019022)) which breaks generation but not training, very conveniently I may add.
> 
> I have a virtualenv with gpu acceleration that I'm using for training, and one without acceleration that I'm using for generation. It's not the best but it works for me. I have shared these virtualenvs for you and any others that may find this comment on a [gist](https://gist.github.com/xstasi/30123f5976abb5b6c90114b92986a155). The files are to be used as such:
> 
> ```
> pip install -r requirements-magenta-gpu-apple-m1-m2-metal.txt --no-deps
> ```

Hi @xstasi 
I'm trying to make magenta work in my M2 mac, but using your list throws many errors regarding the python version. Any tips? 
Thx in advance",get magenta running together unfortunately bug apple acceleration acknowledge apple see forum post generation training conveniently may add acceleration training one without acceleration generation best work may find comment gist used pip install hi trying make magenta work mac list many regarding python version advance,issue,negative,positive,positive,positive,positive,positive
1925507949,"Not seeing support for Apple silicon. I have an M2 Max was able to get TensorFlow working without issue (w/Metal).
""pip install magenta"" is not working with Python 3.11.7; C compile issues with numba and a couple other packages.

I would also like to get this working.",seeing support apple silicon able get working without issue pip install magenta working python compile couple would also like get working,issue,positive,positive,positive,positive,positive,positive
1879390387,"I had the same errors too,  I have tried to install Magenta for a whole day. Thanks for the tips I finally succeeded in installing Magenta. I wish my comment could also help others. My configuration is Windows 11, python version is 3.9. 
1. git clone https://github.com/magenta/magenta.git
2. Install these packages first 
    pip install wheel==0.42.0
    pip install numba==0.57.1 (I tried 0.58.1, but numpy version would have conflicts)
    pip install python-rtmidi==1.5.8
3. Set the same version in setup.py as Freud16 said 
4.  pip install D:\coda\envs\CC\magenta (your file path)",tried install magenta whole day thanks finally magenta wish comment could also help configuration python version git clone install first pip install pip install tried version would pip install set version said pip install file path,issue,positive,positive,positive,positive,positive,positive
1875764162,"This is due to librosa later versions forcing you to name your parameters.

A workaround is to edit `/usr/local/lib/python3.10/dist-packages/librosa/feature/spectral.py`

And comment out this line:

```
def melspectrogram(
    #*,
    y: Optional[np.ndarray] = None,
```",due later forcing name edit comment line optional none,issue,negative,negative,neutral,neutral,negative,negative
1875751018,"Thanks for your pull request! It looks like this may be your first contribution to a Google open source project. Before we can look at your pull request, you'll need to sign a Contributor License Agreement (CLA).

View this [failed invocation](https://github.com/magenta/magenta/pull/2086/checks?check_run_id=20134847643) of the CLA check for more information.

For the most up to date status, view the checks section at the bottom of the pull request.",thanks pull request like may first contribution open source project look pull request need sign contributor license agreement view invocation check information date status view section bottom pull request,issue,positive,positive,positive,positive,positive,positive
1875261717,"here's how you download it : first you registering,then wait for the email that they open the permissions for you.
then you download FileZilla,just the most basic one would work,then you Type in the url he gave you,your email when you registeringed and the password you set,wait a sec ,you can download",first wait open basic one would work type gave password set wait sec,issue,negative,positive,neutral,neutral,positive,positive
1873027637,"Clone from repository and change `'python-rtmidi == 1.1.2',` in `setup.py` to `'python-rt-midi==1.5.8'` prior to installing. That worked for me. 

Or just [use this repo](https://github.com/olaviinha/magenta). I don't actively maintain it but every now and then I fix Colab issues in there as they come along, so still more actively maintained than this repo lol.",clone repository change prior worked use actively maintain every fix come along still actively,issue,positive,negative,neutral,neutral,negative,negative
