id,original_comment,processed_comment,source,sentiment_VADER,sentiment_textblob,sentiment_pattern,sentiment_bert,sentiment_spacy,max_voted_sentiment
2039778044,"<!-- documentation preview -->


Documentation preview for 17197882c12db5e0c8cfa29d1cac2070657432cc will be available when [this CircleCI job](https://circleci.com/gh/mlflow/mlflow/99036)
completes successfully.

- [Top page](https://output.circle-artifacts.com/output/job/3ad204f2-5f68-4e69-bc75-a4262d81b338/artifacts/0/docs/build/html/index.html)
- [Changed pages](https://output.circle-artifacts.com/output/job/3ad204f2-5f68-4e69-bc75-a4262d81b338/artifacts/0/docs/build/html/diff.html)

<details>
<summary>More info</summary>

- Ignore this comment if this PR does not change the documentation.
- It takes a few minutes for the preview to be available.
- The preview is updated when a new commit is pushed to this PR.
- This comment was created by https://github.com/mlflow/mlflow/actions/runs/8570926556.

</details>
",documentation preview documentation preview available job successfully top page summary ignore comment change documentation preview available preview new commit comment,issue,positive,positive,positive,positive,positive,positive
2039419875,I applied the above changes locally and it solved the issue mentioned in #11049 for me. When is this likely to be merged please?,applied locally issue likely please,issue,negative,neutral,neutral,neutral,neutral,neutral
2039254574,I imagined that. If it is possible that would be of great help. Thought of reporting just because version 1.7.2 to my knowledge is the last version that supports python2 and therefore is not compatible with newer versions and you could consider of keeping just that.,possible would great help thought version knowledge last version python therefore compatible could consider keeping,issue,positive,positive,positive,positive,positive,positive
2039246811,@Stefano97 We've removed the old docs for faster website rebuild and save the storage costs. I can send you the 1.7.2 docs if necessary.,removed old faster rebuild save storage send necessary,issue,negative,positive,neutral,neutral,positive,positive
2039139940,would love to have the official helm chart. We're just waiting on that now to start fully using mlflow as the current community provided chart does not support basic-auth and is pretty badly documented overall,would love official helm chart waiting start fully current community provided chart support pretty badly overall,issue,positive,positive,positive,positive,positive,positive
2039002907,@TejjeT sure. Let me know if you need any guidelines for that.,sure let know need,issue,negative,positive,positive,positive,positive,positive
2038482264,"@konstantin-frolov  Thanks for raising the issue! It shouldn't be the case if you are using Keras `model.fit()`, for which graph mode is turned on by default, and we are explicitly supporting it. I suspect you are wrapping your whole training loop by `tf.function`, in which case you cannot get the numerics during training. Checking Keras code for how the compilation works as a reference: [link](https://github.com/keras-team/keras/blob/42a1535ed7d3d75711a11d295f58a2dc9a59fdae/keras/backend/tensorflow/trainer.py#L325)

Could you share a reproducible github gist? We can take a closer look. ",thanks raising issue case graph mode turned default explicitly supporting suspect wrapping whole training loop case get training code compilation work reference link could share reproducible gist take closer look,issue,positive,positive,positive,positive,positive,positive
2038482114,"<!-- assign-maintainer -->
@mlflow/mlflow-team Please assign a maintainer and start triaging this issue.",please assign maintainer start issue,issue,negative,neutral,neutral,neutral,neutral,neutral
2038472373,"No response for a long time. I will close it for now. If you have update , feel free to reopen it  :)",response long time close update feel free reopen,issue,positive,positive,positive,positive,positive,positive
2038433940,"Hello ,
I am interested in working on this issue. Could you assign this to me.

",hello interested working issue could assign,issue,negative,positive,positive,positive,positive,positive
2038343438,"Hi all! I have this error when I run ""copy-model-version"" in a bash script:

mlflow.exceptions.RestException: RESOURCE_DOES_NOT_EXIST: Run '_<ID>_' not found.

I'm able to copy the model, but I have this error, have we got a workaround to solve this issue?",hi error run bash script run id found able copy model error got solve issue,issue,negative,positive,positive,positive,positive,positive
2037553763,"Hey @B-Step62 ,

Thank you so much for the review! 

I just run the pre-commit hook to the files I have modified in PR. ",hey thank much review run hook,issue,negative,positive,positive,positive,positive,positive
