id,original_comment,processed_comment,source,sentiment_VADER,sentiment_textblob,sentiment_pattern,sentiment_bert,sentiment_spacy,max_voted_sentiment
1969050126,"> Hello, I would like to use pre-trained Mandarin Chinese deepspeech models to extract audio features. However I did not find a way to load .pbmm file. When I tried to load checkpoint, I also encountered with a cudnn_lstm bug. So may I get the pretrained .pb file(only academic purpose)? My email is [20120346@bjtu.edu.cn](mailto:20120346@bjtu.edu.cn), thank you very much!

请问老铁是否找到了中文的.pb模型",hello would like use mandarin extract audio however find way load file tried load also bug may get file academic purpose thank much,issue,positive,positive,neutral,neutral,positive,positive
1918642062,"Please avoid posting screenshot for CLI, it's impossible to work with.

Sadly, `curl` in PowerShell is not `curl` so please adapt parameters.

Your `pip` failing is just because this is either a version we did not publish wheel for, or the ABI is incompatible (we only supported official Python builds).

Plus, project is unmaintained for years.",please avoid posting impossible work sadly curl curl please adapt pip failing either version publish wheel incompatible official python plus project unmaintained,issue,negative,negative,negative,negative,negative,negative
1918636527,"You can but project is unmaintained, CI is most probably broken, and I dont have time for reviews.",project unmaintained probably broken dont time,issue,negative,negative,negative,negative,negative,negative
1872232637,Project is unmaintained best advice was given and is to rebuild,project unmaintained best advice given rebuild,issue,positive,positive,positive,positive,positive,positive
1872232476,Msys2 python likely is incompatible we only built and guaranteed against official python builds. Please rebuild and don't directly install the wheel it might fail in weird ways,python likely incompatible built official python please rebuild directly install wheel might fail weird way,issue,negative,negative,negative,negative,negative,negative
1872087024,"> I have python 3.9. I still got this [image: image.png]
> […](#)
> On Fri, Dec 29, 2023 at 2:19 AM Butui Hu ***@***.***> wrote: oh, it's a typo, I mean you need python 3.9. The latest python release this pkg support is python 3.9. For newer python release, you need to build deepspeech from the source, see also here <https://deepspeech.readthedocs.io/en/r0.9/BUILDING.html>. — Reply to this email directly, view it on GitHub <[#3784 (comment)](https://github.com/mozilla/DeepSpeech/issues/3784#issuecomment-1871659644)>, or unsubscribe <https://github.com/notifications/unsubscribe-auth/AMSQ2BFVBUH55SF76IEWQ33YLYLDXAVCNFSM6AAAAABBDGF5B2VHI2DSMVQWIX3LMV43OSLTON2WKQ3PNVWWK3TUHMYTQNZRGY2TSNRUGQ> . You are receiving this because you authored the thread.Message ID: ***@***.***>

![image](https://github.com/mozilla/DeepSpeech/assets/52759812/22687528-b46c-4c03-87b7-949bfd58f1cb)
",python still got image wrote oh typo mean need python latest python release support python python release need build source see also reply directly view comment id image,issue,negative,positive,neutral,neutral,positive,positive
1871983397,"I have python 3.9. I still got this
[image: image.png]

On Fri, Dec 29, 2023 at 2:19 AM Butui Hu ***@***.***> wrote:

> oh, it's a typo, I mean you need python 3.9. The latest python release
> this pkg support is python 3.9. For newer python release, you need to build
> deepspeech from the source, see also here
> <https://deepspeech.readthedocs.io/en/r0.9/BUILDING.html>.
>
> —
> Reply to this email directly, view it on GitHub
> <https://github.com/mozilla/DeepSpeech/issues/3784#issuecomment-1871659644>,
> or unsubscribe
> <https://github.com/notifications/unsubscribe-auth/AMSQ2BFVBUH55SF76IEWQ33YLYLDXAVCNFSM6AAAAABBDGF5B2VHI2DSMVQWIX3LMV43OSLTON2WKQ3PNVWWK3TUHMYTQNZRGY2TSNRUGQ>
> .
> You are receiving this because you authored the thread.Message ID:
> ***@***.***>
>
",python still got image wrote oh typo mean need python latest python release support python python release need build source see also reply directly view id,issue,negative,positive,neutral,neutral,positive,positive
1871659644,"oh, it's a typo, I mean you need python 3.9. The latest python release this pkg support is python 3.9. For newer python release, you need to build deepspeech from the source, see also [here](https://deepspeech.readthedocs.io/en/r0.9/BUILDING.html).",oh typo mean need python latest python release support python python release need build source see also,issue,negative,positive,neutral,neutral,positive,positive
1870923329,"Do you mean pip install deep speech will work if I have python V10?

On Thu, Dec 28, 2023, 08:15 Butui Hu ***@***.***> wrote:

> According to deepspeech <https://pypi.org/project/deepspeech/#files> and
> deepspeech-gpu <https://pypi.org/project/deepspeech-gpu/#files>, you need
> python 3.10. for GPU support, cuda 10.1 is needed. You could get cuda 10.1
> docker from nvidia ngc
> <https://catalog.ngc.nvidia.com/orgs/nvidia/containers/cuda/tags>.
>
> —
> Reply to this email directly, view it on GitHub
> <https://github.com/mozilla/DeepSpeech/issues/3784#issuecomment-1870890295>,
> or unsubscribe
> <https://github.com/notifications/unsubscribe-auth/AMSQ2BAE2OGXXHVRYSRADFDYLUMCVAVCNFSM6AAAAABBDGF5B2VHI2DSMVQWIX3LMV43OSLTON2WKQ3PNVWWK3TUHMYTQNZQHA4TAMRZGU>
> .
> You are receiving this because you authored the thread.Message ID:
> ***@***.***>
>
",mean pip install deep speech work python wrote according need python support could get docker reply directly view id,issue,negative,negative,neutral,neutral,negative,negative
1870890295,"According to [deepspeech](https://pypi.org/project/deepspeech/#files) and [deepspeech-gpu](https://pypi.org/project/deepspeech-gpu/#files), you need python 3.9. for GPU support, cuda 10.1 is needed. You could get cuda 10.1 docker from [nvidia ngc](https://catalog.ngc.nvidia.com/orgs/nvidia/containers/cuda/tags).",according need python support could get docker,issue,negative,neutral,neutral,neutral,neutral,neutral
1869546214,"@ListenQ 

python <= 3.8


or better yet, try openai/whisper",python better yet try,issue,negative,positive,positive,positive,positive,positive
1869317575,"> what is happening with the Repo? can't even install deepspeech library.

no wheel at python 3.10......sad",happening ca even install library wheel python sad,issue,negative,negative,negative,negative,negative,negative
1868770944,"> Unsupported version of python, there's no fix unless you want to take on maintenance.

Which python version is supported?",unsupported version python fix unless want take maintenance python version,issue,negative,neutral,neutral,neutral,neutral,neutral
1866322991,"Unsupported version of python, there's no fix unless you want to take on maintenance.",unsupported version python fix unless want take maintenance,issue,negative,neutral,neutral,neutral,neutral,neutral
1849064425,"Has anyone got anywhere with this, or got any resources to share? I’m considering looking in to it but if work has already been done then I can start from there.

obviously training on apple silicon hardware is out of the question. Considering that deepspeech is still a viable solution to many small domain specific projects with limited  budget, adding support for inference on apple silicon is something that would be worth working on. 

",anyone got anywhere got share considering looking work already done start obviously training apple silicon hardware question considering still viable solution many small domain specific limited budget support inference apple silicon something would worth working,issue,positive,positive,neutral,neutral,positive,positive
1842059135,"To analyze syllables or phonemes alongside DeepSpeech, consider integrating with libraries like NLTK or PyDictionary in Python. These libraries provide syllable information and phonetic details, complementing DeepSpeech's text-to-speech conversion. By combining these tools, you can create a comprehensive solution for a more in-depth linguistic analysis of spoken words.",analyze alongside consider like python provide syllable information phonetic conversion combining create comprehensive solution linguistic analysis spoken,issue,positive,positive,neutral,neutral,positive,positive
1842058409,"DeepSpeech, developed by Mozilla, excels in converting spoken words to text but doesn't provide syllable or phoneme-level details. For such linguistic features, consider using specialized libraries like NLTK in Python or PyDictionary, which offer syllable information. These can be integrated to analyze syllables or phonemes alongside DeepSpeech for a comprehensive solution.",converting spoken text provide syllable linguistic consider specialized like python offer syllable information analyze alongside comprehensive solution,issue,positive,positive,neutral,neutral,positive,positive
1807212906,"> You'd need to get back CI working again because it is likely broken since this time. Then adding support for new versions of python like e.g.,
> 
> https://github.com/mozilla/DeepSpeech/blob/aa1d28530d531d0d92289bf5f11a49fe516fdc86/.github/workflows/build-and-test.yml#L313
> 
> (but there are many other places to update)

Does this mean that I shoud be able to pip install deepspeech if my python version is between  versions 3,6 and 3,9? Becouse I tried to install it with version 3,7 and it still was not possible",need get back working likely broken since time support new python like many update mean able pip install python version tried install version still possible,issue,negative,positive,neutral,neutral,positive,positive
1798363326,"what is happening with the Repo? can't even install deepspeech library.
",happening ca even install library,issue,negative,neutral,neutral,neutral,neutral,neutral
