id,original_comment,processed_comment,source,sentiment_VADER,sentiment_textblob,sentiment_pattern,sentiment_bert,sentiment_spacy,max_voted_sentiment
2002175146,Sure yeah I'd be review a new version. One example which might very compelling is a llama 7b like inference using libtorch. A smaller decoder model would also be fun ,sure yeah review new version one example might compelling llama like inference smaller model would also fun,issue,positive,positive,positive,positive,positive,positive
2002171697,@msaroufim Do you think this tutorial is valuable to add? I prototyped first version #777  4 years back. But there was no reviews for it. I can raise one more PR for it again.,think tutorial valuable add first version back raise one,issue,negative,positive,positive,positive,positive,positive
1998331051,Thank you for signing our Contributor License Agreement. We can now accept your code for this (and any) Meta Open Source project. Thanks!,thank contributor license agreement accept code meta open source project thanks,issue,positive,positive,neutral,neutral,positive,positive
1998010191,"### <span aria-hidden=""true"">✅</span> Deploy Preview for *pytorch-examples-preview* canceled.


|  Name | Link |
|:-:|------------------------|
|<span aria-hidden=""true"">🔨</span> Latest commit | 1e81da30df9bc699c925f51382f94f77340c5345 |
|<span aria-hidden=""true"">🔍</span> Latest deploy log | https://app.netlify.com/sites/pytorch-examples-preview/deploys/65f3499e1a783700081bd700 |",span true deploy preview name link span true hammer latest commit span true latest deploy log,issue,positive,positive,positive,positive,positive,positive
1998009794,"Hi @nicolasrosa! 

Thank you for your pull request and welcome to our community. 

# Action Required

In order to merge **any pull request** (code, docs, etc.), we **require** contributors to sign our **Contributor License Agreement**, and we don't seem to have one on file for you.

# Process

In order for us to review and merge your suggested changes, please sign at <https://code.facebook.com/cla>. **If you are contributing on behalf of someone else (eg your employer)**, the individual CLA may not be sufficient and your employer may need to sign the corporate CLA.

Once the CLA is signed, our tooling will perform checks and validations. Afterwards, the **pull request will be tagged** with `CLA signed`. The tagging process may take up to 1 hour after signing. Please give it that time before contacting us about it.

If you have received this in error or have any questions, please contact us at [cla@meta.com](mailto:cla@meta.com?subject=CLA%20for%20pytorch%2Fexamples%20%231239). Thanks!",hi thank pull request welcome community action order merge pull request code require sign contributor license agreement seem one file process order u review merge please sign behalf someone else employer individual may sufficient employer may need sign corporate tooling perform afterwards pull request tagged process may take hour please give time u received error please contact u thanks,issue,positive,positive,positive,positive,positive,positive
1994498950,"@bowen480 
Yes, I upgraded PyTorch to get rid of this error.",yes get rid error,issue,negative,neutral,neutral,neutral,neutral,neutral
1994210799,"> @ravijo your PyTorch version is quite old, might be best to upgrade

do you solve this problem?
",version quite old might best upgrade solve problem,issue,positive,positive,positive,positive,positive,positive
1971774372,"Make sure you've got the latest version of CUDA and cuDNN installed along with the latest NVIDIA GPU drivers.
Install CUDA toolkit and make sure to match the CUDA version with the one supported by your PyTorch installation.
You can try Anaconda or Miniconda to manage your python environment as they help avoid conflicts with system packages.
Install PyTorch with GPU support using the appropriate version for your CUDA installation
If you're using multiple GPUs, consider installing NVIDIA NCCL (NVIDIA Collective Communication Library) for optimized GPU communication
Set the following environment variables in your training script to enable multi-GPU training
Execute your training script with the necessary commands to utilize multiple GPUs

Hope it Helps!!!

",make sure got latest version along latest install make sure match version one installation try anaconda manage python environment help avoid system install support appropriate version installation multiple consider collective communication library communication set following environment training script enable training execute training script necessary utilize multiple hope,issue,positive,positive,positive,positive,positive,positive
1953291444,"transform=transforms.Compose this line needs, blank.
For vision transformer example, need to run in mac mps.",line need blank vision transformer example need run mac,issue,negative,neutral,neutral,neutral,neutral,neutral
1953070039,@ebrahimpichka so because this works in CI with no issues what we can do is add an option to argparser to pass in an `no-ssl` flag which would disable verification. if you wanna send me a PR for that i can merge easily,work add option pas flag would disable verification wan na send merge easily,issue,negative,positive,positive,positive,positive,positive
