id,original_comment,processed_comment,source,sentiment_VADER,sentiment_textblob,sentiment_pattern,sentiment_bert,sentiment_spacy,max_voted_sentiment
2005264175,"> @scottjlee Premerge is failing

Looks like databuild is failing, just kicked off retry",failing like failing retry,issue,negative,neutral,neutral,neutral,neutral,neutral
2005160380,"discussed with team - we'll timebox all of these py39 failures and revisit wednesday. if it is a similar cause let's just fix it for all of them; else if it's more involved maybe we defer failing tests due to python39 to later.

cc @jjyao @can-anyscale ",team revisit similar cause let fix else involved maybe defer failing due python later,issue,negative,negative,neutral,neutral,negative,negative
2005123063,@fishbone no thing for the new issues created by automation yeah; this one is created by human so let's close it,fishbone thing new yeah one human let close,issue,negative,positive,neutral,neutral,positive,positive
2005120400,@can-anyscale do we need to do anything if the flakey test was fixed?,need anything test fixed,issue,negative,positive,neutral,neutral,positive,positive
2005052984,@gramhagen let me know if you would be able to review this one; I am also happy to break out some of the changes if you think that not all of them are necessary!,let know would able review one also happy break think necessary,issue,positive,positive,positive,positive,positive,positive
2005009407,"Docs Pages from PR:
* [Loading Data](https://anyscale-ray--44093.com.readthedocs.build/en/44093/data/loading-data.html)
* [Inspecting Data](https://anyscale-ray--44093.com.readthedocs.build/en/44093/data/inspecting-data.html)
* [Transforming Data](https://anyscale-ray--44093.com.readthedocs.build/en/44093/data/transforming-data.html)
* [Iterating Over Data](https://anyscale-ray--44093.com.readthedocs.build/en/44093/data/iterating-over-data.html)
* [Saving Data](https://anyscale-ray--44093.com.readthedocs.build/en/44093/data/saving-data.html)",loading data data transforming data data saving data,issue,negative,neutral,neutral,neutral,neutral,neutral
2005001814,"> Can you link the GH issue when you get a chance @jobh ?

@anyscalesam I think this is the one: https://github.com/ray-project/ray/issues/44083
",link issue get chance think one,issue,negative,neutral,neutral,neutral,neutral,neutral
2004980998,"> I see a possibly related failure, using `get_if_exists` in a tight loop on a single thread.
> 
> It looks like it may by a race condition where the returned actor is not pinned properly because it's already marked for deletion.
> 
> Should I create a separate report for this, or do you think it's the same underlying issue?
> 
> ```
>   Traceback (most recent call last):
>   File ""/home/jobh/src/simula/transact/Reference_route_service/test_ray_lock.py"", line 20, in <module>
>     test_lock()
>   File ""/home/jobh/src/simula/transact/Reference_route_service/test_ray_lock.py"", line 15, in test_lock
>     ray.get(actor.release.remote())
>   File ""/home/jobh/mambaforge/envs/transact/lib/python3.10/site-packages/ray/_private/auto_init_hook.py"", line 22, in auto_init_wrapper
>     return fn(*args, **kwargs)
>   File ""/home/jobh/mambaforge/envs/transact/lib/python3.10/site-packages/ray/_private/client_mode_hook.py"", line 103, in wrapper
>     return func(*args, **kwargs)
>   File ""/home/jobh/mambaforge/envs/transact/lib/python3.10/site-packages/ray/_private/worker.py"", line 2626, in get
>     raise value
> ray.exceptions.RayActorError: The actor died unexpectedly before finishing this task.
>         class_name: LockActor
>         actor_id: f41165a4b8f1cca43c60623001000000
>         pid: 1728191
>         name: test
>         namespace: locks
>         ip: 172.16.0.146
> The actor is dead because all references to the actor were removed.
> ```
> 
> Reproducer. It may not work for you, the problem goes away if I remove the unused `import numpy` statement so it's probably very timing dependent:
> 
> ```
> import asyncio
> 
> import numpy as np
> import ray
> 
> 
> @ray.remote(namespace=""locks"", num_cpus=0)
> class LockActor:
>     def release(self):
>         ...
> 
> 
> def test_lock():
>     actor = LockActor.options(name=""test"", get_if_exists=True).remote()
>     ray.get(actor.release.remote())
> 
> 
> ray.init()
> for i in range(100):
>     test_lock()
> ```

Can you link the GH issue when you get a chance @jobh ?",see possibly related failure tight loop single thread like may race condition returned actor pinned properly already marked deletion create separate report think underlying issue recent call last file line module file line file line return file line wrapper return file line get raise value actor unexpectedly finishing task name test actor dead actor removed reproducer may work problem go away remove unused import statement probably timing dependent import import import ray class release self actor test range link issue get chance,issue,negative,negative,neutral,neutral,negative,negative
2004963625,"> (Let's set a max width of the whole container so that it doesn't look odd on really big screen sizes)

@simran-2797 Any update here? I'm working on this currently.

Since the content of the tab widget looks like it is changing, would you also be able to provide the text that you'd like displayed for each tab?",let set width whole container look odd really big screen size update working currently since content tab like would also able provide text like displayed tab,issue,negative,positive,positive,positive,positive,positive
2004934068,Mark it as P2 since it's a Ray client test.,mark since ray client test,issue,negative,neutral,neutral,neutral,neutral,neutral
2004902765,"I think the reason is that for gpu tasks, we by default don't reuse worker processes, so the gap is waiting for a new worker process to be started. You can reenable worker process reusing by setting `max_calls=0` in the `ray.remote()` decorator. See https://docs.ray.io/en/releases-2.9.3/ray-core/scheduling/accelerators.html#workers-not-releasing-gpu-resources",think reason default reuse worker gap waiting new worker process worker process setting decorator see,issue,negative,positive,positive,positive,positive,positive
2004856441,"Assigning P0 assumption basic Jax + Ray doesn't work. If it turns out not to be the case, we can downgrade.",assumption basic ray work turn case downgrade,issue,negative,neutral,neutral,neutral,neutral,neutral
2004821231,"yes, it's a critical stability fix",yes critical stability fix,issue,negative,neutral,neutral,neutral,neutral,neutral
2004800342,"> Is this in scope for Data GA? If so we should pick (even at the cost of delaying the release)

Yes, let's cherry pick the PR.",scope data ga pick even cost delaying release yes let cherry pick,issue,negative,neutral,neutral,neutral,neutral,neutral
2004791338,@c21 @raulchen Is this in scope for Data GA? If so we should pick (even at the cost of delaying the release),scope data ga pick even cost delaying release,issue,negative,neutral,neutral,neutral,neutral,neutral
2004783886,"> @stephanie-wang we are pretty late into the release cycle. How critical is it tp idc this one into 2.10?

We need it for Ray Data recovery. If we don't cherry-pick, I think we need to do a minor release at the very least. @c21 @raulchen can weigh in too.",pretty late release cycle critical one need ray data recovery think need minor release least weigh,issue,negative,negative,neutral,neutral,negative,negative
2004707539,"Looks like there is a race condition when accessing actor metadata in GCS. Full stack trace:
```
2024-03-18 10:43:06,446	WARNING worker.py:1422 -- SIGTERM handler is not set because current thread is not the main thread.
2024-03-18 10:43:08,121	INFO worker.py:1743 -- Started a local Ray instance. View the dashboard at 127.0.0.1:8265
[2024-03-18 10:43:08,122 I 74426 315464] logging.cc:230: Set ray log level from environment variable RAY_BACKEND_LOG_LEVEL to -1
2024-03-18 10:43:08,509	INFO function_manager.py:663 -- qr: class_name = None
2024-03-18 10:43:08,509	INFO function_manager.py:664 -- qr: type(class_name) = <class 'NoneType'>
Exception in thread Thread-130:
Traceback (most recent call last):
  File ""/Users/ruiqiao/anaconda3/envs/env-ray/lib/python3.9/threading.py"", line 980, in _bootstrap_inner
2024-03-18 10:43:08,509	INFO function_manager.py:663 -- qr: class_name = bar
2024-03-18 10:43:08,509	INFO function_manager.py:663 -- qr: class_name = bar
2024-03-18 10:43:08,509	INFO function_manager.py:664 -- qr: type(class_name) = <class 'str'>
2024-03-18 10:43:08,510	INFO function_manager.py:663 -- qr: class_name = None
2024-03-18 10:43:08,510	INFO function_manager.py:664 -- qr: type(class_name) = <class 'NoneType'>
Exception in thread Thread-347:
Traceback (most recent call last):
  File ""/Users/ruiqiao/repos/ray/python/ray/actor.py"", line 926, in _remote
2024-03-18 10:43:08,509	INFO function_manager.py:664 -- qr: type(class_name) = <class 'str'>
(raylet) [2024-03-18 10:43:08,442 I 74444 316646] logging.cc:230: Set ray log level from environment variable RAY_BACKEND_LOG_LEVEL to -1
    self.run()
  File ""/Users/ruiqiao/anaconda3/envs/env-ray/lib/python3.9/threading.py"", line 917, in run
    return ray.get_actor(name, namespace=namespace)
  File ""/Users/ruiqiao/repos/ray/python/ray/_private/auto_init_hook.py"", line 21, in auto_init_wrapper
    self._target(*self._args, **self._kwargs)
  File ""/Users/ruiqiao/repos/ray/python/threads.py"", line 13, in foo
    return fn(*args, **kwargs)
  File ""/Users/ruiqiao/repos/ray/python/ray/_private/client_mode_hook.py"", line 103, in wrapper
    bar.options(name=""bar"", namespace=""bar_name"", get_if_exists=True, lifetime=""detached"").remote()
  File ""/Users/ruiqiao/repos/ray/python/ray/actor.py"", line 830, in remote
    return actor_cls._remote(args=args, kwargs=kwargs, **updated_options)
  File ""/Users/ruiqiao/repos/ray/python/ray/_private/auto_init_hook.py"", line 21, in auto_init_wrapper
    return func(*args, **kwargs)
  File ""/Users/ruiqiao/repos/ray/python/ray/_private/worker.py"", line 2927, in get_actor
    return fn(*args, **kwargs)
  File ""/Users/ruiqiao/repos/ray/python/ray/util/tracing/tracing_helper.py"", line 388, in _invocation_actor_class_remote_span
    return worker.core_worker.get_named_actor_handle(name, namespace or """")
  File ""python/ray/_raylet.pyx"", line 4370, in ray._raylet.CoreWorker.get_named_actor_handle
    return method(self, args, kwargs, *_args, **_kwargs)
  File ""/Users/ruiqiao/repos/ray/python/ray/actor.py"", line 926, in _remote
  File ""python/ray/_raylet.pyx"", line 574, in ray._raylet.check_status
    return ray.get_actor(name, namespace=namespace)
  File ""/Users/ruiqiao/repos/ray/python/ray/_private/auto_init_hook.py"", line 21, in auto_init_wrapper
    return fn(*args, **kwargs)
  File ""/Users/ruiqiao/repos/ray/python/ray/_private/client_mode_hook.py"", line 103, in wrapper
    return func(*args, **kwargs)
  File ""/Users/ruiqiao/repos/ray/python/ray/_private/worker.py"", line 2927, in get_actor
ValueError: Failed to look up actor with name 'bar'. This could because 1. You are trying to look up a named actor you didn't create. 2. The named actor died. 3. You did not use a namespace matching the namespace of the actor.

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File ""/Users/ruiqiao/anaconda3/envs/env-ray/lib/python3.9/threading.py"", line 980, in _bootstrap_inner
    return worker.core_worker.get_named_actor_handle(name, namespace or """")
  File ""python/ray/_raylet.pyx"", line 4372, in ray._raylet.CoreWorker.get_named_actor_handle
    self.run()
  File ""/Users/ruiqiao/anaconda3/envs/env-ray/lib/python3.9/threading.py"", line 917, in run
  File ""python/ray/_raylet.pyx"", line 4312, in ray._raylet.CoreWorker.make_actor_handle
    self._target(*self._args, **self._kwargs)
  File ""/Users/ruiqiao/repos/ray/python/threads.py"", line 13, in foo
  File ""/Users/ruiqiao/repos/ray/python/ray/_private/function_manager.py"", line 567, in load_actor_class
    bar.options(name=""bar"", namespace=""bar_name"", get_if_exists=True, lifetime=""detached"").remote()
  File ""/Users/ruiqiao/repos/ray/python/ray/actor.py"", line 830, in remote
    return actor_cls._remote(args=args, kwargs=kwargs, **updated_options)
  File ""/Users/ruiqiao/repos/ray/python/ray/_private/auto_init_hook.py"", line 21, in auto_init_wrapper
    actor_class = self._load_actor_class_from_gcs(
  File ""/Users/ruiqiao/repos/ray/python/ray/_private/function_manager.py"", line 666, in _load_actor_class_from_gcs
    return fn(*args, **kwargs)
  File ""/Users/ruiqiao/repos/ray/python/ray/util/tracing/tracing_helper.py"", line 388, in _invocation_actor_class_remote_span
    class_name = ensure_str(class_name)
  File ""/Users/ruiqiao/repos/ray/python/ray/_private/utils.py"", line 243, in ensure_str
    return method(self, args, kwargs, *_args, **_kwargs)
  File ""/Users/ruiqiao/repos/ray/python/ray/actor.py"", line 932, in _remote
    assert isinstance(s, bytes)
AssertionError
    return self._remote(args, kwargs, **updated_options)
  File ""/Users/ruiqiao/repos/ray/python/ray/_private/auto_init_hook.py"", line 21, in auto_init_wrapper
    return fn(*args, **kwargs)
  File ""/Users/ruiqiao/repos/ray/python/ray/util/tracing/tracing_helper.py"", line 388, in _invocation_actor_class_remote_span
    return method(self, args, kwargs, *_args, **_kwargs)
  File ""/Users/ruiqiao/repos/ray/python/ray/actor.py"", line 997, in _remote
    ray.get_actor(name, namespace=namespace)
  File ""/Users/ruiqiao/repos/ray/python/ray/_private/auto_init_hook.py"", line 21, in auto_init_wrapper
    return fn(*args, **kwargs)
  File ""/Users/ruiqiao/repos/ray/python/ray/_private/client_mode_hook.py"", line 103, in wrapper
    return func(*args, **kwargs)
  File ""/Users/ruiqiao/repos/ray/python/ray/_private/worker.py"", line 2927, in get_actor
    return worker.core_worker.get_named_actor_handle(name, namespace or """")
  File ""python/ray/_raylet.pyx"", line 4372, in ray._raylet.CoreWorker.get_named_actor_handle
  File ""python/ray/_raylet.pyx"", line 4312, in ray._raylet.CoreWorker.make_actor_handle
  File ""/Users/ruiqiao/repos/ray/python/ray/_private/function_manager.py"", line 567, in load_actor_class
    actor_class = self._load_actor_class_from_gcs(
  File ""/Users/ruiqiao/repos/ray/python/ray/_private/function_manager.py"", line 666, in _load_actor_class_from_gcs
    class_name = ensure_str(class_name)
  File ""/Users/ruiqiao/repos/ray/python/ray/_private/utils.py"", line 243, in ensure_str
    assert isinstance(s, bytes)
AssertionError
```",like race condition actor full stack trace warning handler set current thread main thread local ray instance view dashboard set ray log level environment variable none type class exception thread recent call last file line bar bar type class none type class exception thread recent call last file line type class raylet set ray log level environment variable file line run return name file line file line foo return file line wrapper bar detached file line remote return file line return file line return file line return name file line return method self file line file line return name file line return file line wrapper return file line look actor name could trying look actor create actor use matching actor handling exception another exception recent call last file line return name file line file line run file line file line foo file line bar detached file line remote return file line file line return file line file line return method self file line assert return file line return file line return method self file line name file line return file line wrapper return file line return name file line file line file line file line file line assert,issue,negative,positive,neutral,neutral,positive,positive
2004674738,@stephanie-wang we are pretty late into the release cycle. How critical is it tp idc this one into 2.10?,pretty late release cycle critical one,issue,negative,negative,neutral,neutral,negative,negative
2004655134,"> This makes `root_exception.__cause__ == StartTraceback`, which makes it a circular reference.
> ```
> except Exception as start_traceback:
>         raise skip_exceptions(start_traceback)
> ```

Minor correction here, in this case `root_exection.__context__ == StartTraceback`, but similarly this would create the circular reference!

",circular reference except exception raise minor correction case similarly would create circular reference,issue,negative,negative,neutral,neutral,negative,negative
2004612882,@anyscalesam @aslonnie  Kserve is depenedent on Ray[serve] and we need to deploy kserve on s390x. Thats why we need s390x support on ray & its trivial for us . Please guide me regarding the changes which might impact protobuf & grpc.  ,ray serve need deploy thats need support ray trivial u please guide regarding might impact,issue,positive,neutral,neutral,neutral,neutral,neutral
2004568090,"I also face this issue. I am just doing single agent PPO. High severity: this blocks me.

```
config = (
      'PPO',
      .get_default_config()
      .environment(
          cli_args.env,
          env_config=get_env_config_from_cli(cli_args)
      )
      .training(
          grad_clip=1
      )
      .framework('torch')
      .rollouts(
          num_rollout_workers=cli_args.workers,
      )
)

stop = {
      ""training_iteration"": cli_args.stop_iters,
      ""timesteps_total"": cli_args.stop_timesteps,
      ""episode_reward_mean"": cli_args.stop_reward,
}
    
tuner = tune.Tuner(
        'PPO',
        param_space=config.to_dict(),
        run_config=air.RunConfig(
            stop=stop,
            checkpoint_config=train.CheckpointConfig(checkpoint_frequency=4, num_to_keep=2),
            callbacks=[
                WandbLoggerCallback(
                    project=""project""
                )
            ]
        ),
    )
    results = tuner.fit()
```

",also face issue single agent high severity stop tuner project,issue,negative,positive,neutral,neutral,positive,positive
2004537707,@sven1977 confirmed the test works when kicked off manually,confirmed test work manually,issue,negative,positive,positive,positive,positive,positive
2004491863,Closing as unable to repro since no response from @sfriedowitz  - ty @ruisearch42 for looking into it.,unable since response looking,issue,negative,negative,negative,negative,negative,negative
2003746003,"A simpler/more reliable reproducer:
```
import ray


@ray.remote
class Actor:
    def act(self):
        ...


ray.init()
for i in range(100):
    actor = Actor.options(name=""test"", namespace=""test"", get_if_exists=True).remote()
    ray.get(actor.act.remote())
    del actor
```",reliable reproducer import ray class actor act self range actor test test actor,issue,negative,neutral,neutral,neutral,neutral,neutral
2003715479,"CI test **linux://rllib:examples/rock_paper_scissors_multiagent_tf** is flaky. Recent failures: 
	- https://buildkite.com/ray-project/postmerge/builds/3578#018e4bdc-a0d5-4184-a60c-cd7f1d54fea7
	- https://buildkite.com/ray-project/postmerge/builds/3511#018e3df8-dda0-4538-bcc8-3aee60ced92e
	- https://buildkite.com/ray-project/postmerge/builds/3497#018e3a0d-677f-4660-9215-9fb778699caf
	- https://buildkite.com/ray-project/postmerge/builds/3474#018e3743-20ad-4ae8-869d-3c8141af1619
	- https://buildkite.com/ray-project/postmerge/builds/3448#018e344d-a9fa-43b3-b321-e033195212de

DataCaseName-linux://rllib:examples/rock_paper_scissors_multiagent_tf-END
Managed by OSS Test Policy",test flaky recent test policy,issue,negative,neutral,neutral,neutral,neutral,neutral
2003052600,"Running `python setup.py XXX` is deprecated.
* https://packaging.python.org/en/latest/discussions/setup-py-deprecated/#

> Running command `python setup.py egg_info`
```
[2024-03-18T04:29:00Z] #15 74.96 Using pip 24.0 from /opt/miniconda/lib/python3.9/site-packages/pip (python 3.9)
[2024-03-18T04:29:00Z] #15 75.15 Obtaining file:///rayci/python
[2024-03-18T04:29:00Z] #15 75.15   Preparing metadata (setup.py): started
[2024-03-18T04:29:00Z] #15 75.15   Running command python setup.py egg_info
[2024-03-18T04:29:00Z] #15 75.48   /opt/miniconda/lib/python3.9/site-packages/setuptools/__init__.py:80: _DeprecatedInstaller: setuptools.installer and fetch_build_eggs are deprecated.
[2024-03-18T04:29:00Z] #15 75.48   !!
[2024-03-18T04:29:00Z] #15 75.48
[2024-03-18T04:29:00Z] #15 75.48           ********************************************************************************
[2024-03-18T04:29:00Z] #15 75.48           Requirements should be satisfied by a PEP 517 installer.
[2024-03-18T04:29:00Z] #15 75.48           If you are using pip, you can try `pip install --use-pep517`.
[2024-03-18T04:29:00Z] #15 75.48           ********************************************************************************
[2024-03-18T04:29:00Z] #15 75.48
[2024-03-18T04:29:00Z] #15 75.48   !!
[2024-03-18T04:29:00Z] #15 75.48     dist.fetch_build_eggs(dist.setup_requires)
```",running python running command python pip python file running command python satisfied pep installer pip try pip install,issue,negative,positive,positive,positive,positive,positive
2002785449,Please follow https://github.com/ray-project/ray/issues/42343 first for the support of ml/rllib for python 3.11. Note that python 3.11 is already supported for ray-core. We'll work on supoprting python 3.12 after that.,please follow first support python note python already work python,issue,positive,positive,positive,positive,positive,positive
2002691126,"+1, I wish to move to ray rllib for its efficiency in RL training. But my project needs Python>=3.12. ",wish move ray efficiency training project need python,issue,positive,neutral,neutral,neutral,neutral,neutral
2002682620,"Although `(func pid=20855)` in the driver log disrespects the logging configurations, the log file located in `/tmp/ray/session_latest/logs` adheres to the configurations. You can stream the log files to your logging infrastructure.

<img width=""491"" alt=""Screen Shot 2024-03-17 at 5 22 51 PM"" src=""https://github.com/ray-project/ray/assets/20109646/c1f0b718-7e26-40cb-ad7f-df61b67ad838"">
",although driver log logging log file stream log logging infrastructure screen shot,issue,negative,neutral,neutral,neutral,neutral,neutral
2002669169,"Actually, is the intent that each reader process has its own channel? In other words, each channel is private to a single reader?",actually intent reader process channel channel private single reader,issue,negative,negative,neutral,neutral,negative,negative
2002664001,This is a duplicate of #37803. I have already opened #44073 to update the links.,duplicate already update link,issue,negative,neutral,neutral,neutral,neutral,neutral
2002663544,"It's not immediately clear to me why a semaphore is the right synchronization primitive to use for the mutable object manager. For example, consider this code:
```
sem_wait(&channel.reader_semaphore);

int64_t version_read = 0;
RAY_LOG(DEBUG) << ""ReadAcquire "" << object_id
               << "" version: "" << channel.next_version_to_read;
RAY_RETURN_NOT_OK(channel.mutable_object->header->ReadAcquire(
   channel.next_version_to_read, &version_read));
RAY_CHECK(version_read > 0);
channel.next_version_to_read = version_read;
channel.read_acquired = true;
```

If the reader semaphore is initialized with a value greater than 1, multiple readers in parallel will be able to advance beyond `sem_wait()` in `ReadAcquire()`. As a result, multiple readers will race to set `channel->next_version_to_read` and `channel->read_acquire`. Additionally, any readers in `ReadRelease()` will also race to set these two variables.

I am making the assumption that multiple readers will each call `ReadAcquire()` and `ReadRelease()`. Is my assumption incorrect or am I otherwise overlooking something?",immediately clear semaphore right synchronization primitive use mutable object manager example consider code version true reader semaphore value greater multiple parallel able advance beyond result multiple race set additionally also race set two making assumption multiple call assumption incorrect otherwise something,issue,positive,positive,positive,positive,positive,positive
2002663339,I am currently going through observability issues and have opened a PR at https://github.com/ray-project/ray/pull/44073 to fix this issue.,currently going observability fix issue,issue,negative,neutral,neutral,neutral,neutral,neutral
2002632126,"No, that build should work well, but the first time you run it you will have to allow firewall exceptions via a giu pop-up box. Did you see that?",build work well first time run allow via box see,issue,negative,positive,positive,positive,positive,positive
2002621454,"Hey folks, I was able to debug the issue. I was not setting up the `nsight` logging arguments in the correct place to be included in runtime argument. A good way to check is to search the ray logs and see if `nsys` if successfully registered for runtime argument. Thanks @jjyao @cadedaniel  for your help and looking at the PR implementation #19631 really helped me.",hey able issue setting logging correct place included argument good way check search ray see successfully registered argument thanks help looking implementation really,issue,positive,positive,positive,positive,positive,positive
2002531272,"Apologies if it wasn't clear that was understood. The problem description and (1) were more intended to note that the printed message, given the use of a 'Warning' descriptor, felt rather disingenuous. Pragmatically, if a message is listed as a Warning, then it would be commonly expected by users to be filterable...?

Regardless, would there be any issue with the proposal/suggestion described in (2) exposing the warning threshold declaration (python/ray/_private/ray_constants.py)? That only some of the constants have been exposed as environmental variables, suggested that there might be non-obvious issue(s) with doing so...

changing line 144: 
`FUNCTION_SIZE_WARN_THRESHOLD = 10**7`
to: 
`FUNCTION_SIZE_WARN_THRESHOLD = env_integer(""FUNCTION_SIZE_WARN_THRESHOLD "", (10**7)) `",clear understood problem description intended note printed message given use felt rather disingenuous pragmatically message listed warning would commonly filterable regardless would issue warning threshold declaration exposed environmental might issue line,issue,negative,negative,neutral,neutral,negative,negative
2002473621,"Currently, users can propagate logging configuration to all worker processes within a job via `worker_process_setup_hook`. See [this doc](https://docs.ray.io/en/master/ray-observability/user-guides/configure-logging.html) for more details. This issue is also duplicate with #39712 #23385.
 
```python
# driver.py
def logging_setup_func():
    logger = logging.getLogger(""ray"")
    logger.setLevel(logging.DEBUG)
    warnings.simplefilter(""always"")

ray.init(runtime_env={""worker_process_setup_hook"": logging_setup_func})

logging_setup_func()
```",currently propagate logging configuration worker within job via see doc issue also duplicate python logger ray always,issue,negative,neutral,neutral,neutral,neutral,neutral
