id,original_comment,processed_comment,source,sentiment_VADER,sentiment_textblob,sentiment_pattern,sentiment_bert,sentiment_spacy,max_voted_sentiment
1961479665,"Can you provide more details, please?
Can you provide a picture/screenshot of what you get, a picture/screenshot of what you would expect?",provide please provide get would expect,issue,negative,neutral,neutral,neutral,neutral,neutral
1820296810,have you made sure that the filenames array is sorted?,made sure array sorted,issue,negative,positive,positive,positive,positive,positive
1751956492,"Normalization takes place by the framework(s) automatically - it's done at runtime, including resizing with/without considering aspect-ratio when (re-)training the model: the train/val images have a resolution of 480x270, but the training happens with `imgsz=640`.",normalization place framework automatically done considering training model resolution training,issue,negative,neutral,neutral,neutral,neutral,neutral
1624011436,"Hi LolLouis

Could you demonstrate how to use  cv2.estimateAffinePartial2D()  to replace the old method?

Thanks!",hi could demonstrate use replace old method thanks,issue,negative,positive,positive,positive,positive,positive
1598588835,"Raspberry pi 4 with bullseye os, opencv 4.5.1 c++10, looked in the header file and it appears they only support CSRT and KCF with this version and I don't  want to downgrade.",raspberry pi o header file support version want downgrade,issue,negative,neutral,neutral,neutral,neutral,neutral
1597663200,"Can you provide more details about your environment, please?
What versions (Operating System, OpenCV, build tools) do you use? Natively, in a container, in a virt-env?
Is there a specific sample code you are referring to?
Python, C, C++? Make, CMake?",provide environment please operating system build use natively container specific sample code python make,issue,negative,neutral,neutral,neutral,neutral,neutral
1595747846,"Now I tried it under MS-Win10 in a Python virt-env using thhe Jupyter notebook as well.
I got a `cv2.error: Unknown C++ exception` with the instruction `net.setInput(inpBlob)`.

Via Google search I found e.g. this pointer: ""https://stackoverflow.com/questions/75334101/layeroutputs-net-forwardoutput-layers-names-cv2-error-unknown-c-exception""

Yes, I had manually installed `pip3 install opencv-python`, and now manually installed `pip3 install opencv-python==4.6.0.66`.

With this version I got the Jupyter notebook to run successfully:

![image](https://github.com/spmallick/learnopencv/assets/29976962/bb84bcdf-f2af-4eaa-a037-5b784f6fe4e6)

![image](https://github.com/spmallick/learnopencv/assets/29976962/f9f58ef6-501a-4ee7-8a23-e10d48e67c7b)

![image](https://github.com/spmallick/learnopencv/assets/29976962/2aa3b0a6-0351-40fd-9e62-62db76398247)
",tried python notebook well got unknown exception instruction via search found pointer yes manually pip install manually pip install version got notebook run successfully image image image,issue,positive,positive,positive,positive,positive,positive
1595721264,"I have simply run the notebook below:
https://github.com/spmallick/learnopencv/blob/master/OpenPose-Multi-Person/multi-person-openpose.ipynb
with protoFile and weightFile as given. I kept the input also the same. 
The Openpose vesion is 4.7.0
",simply run notebook given kept input also,issue,negative,neutral,neutral,neutral,neutral,neutral
1595662606,"Looks like the code doesn't match to the model (anylonger).
Which version of the code/notebook/repo and which version of the model do you use? Do you use the original model of the sample, or used your own retrieved one?
Can you add a few print-log-messages of the provided input-shape and of the expected input-shape? You might check the model via a model-viewer like ""Netron"" and check the expected input-shape.",like code match model version version model use use original model sample used one add provided might check model via like check,issue,positive,positive,positive,positive,positive,positive
1584444942,Would you want to check level of.... Blur... Of an image.. ?? ,would want check level blur image,issue,negative,neutral,neutral,neutral,neutral,neutral
