id,original_comment,processed_comment,source,sentiment_VADER,sentiment_textblob,sentiment_pattern,sentiment_bert,sentiment_spacy,max_voted_sentiment
1301914865,"I have the same question. The basic PPO (tutorial_PPO) can only arrive the goal when there are no obstacles. Moreover, why is variable ""logstd"" in line 91 of tutorial_PPO always zero when running?",question basic arrive goal moreover variable line always zero running,issue,negative,neutral,neutral,neutral,neutral,neutral
1179612130,i don't know if you are able to figure it out.. I'd be glad to have the solution.,know able figure glad solution,issue,positive,positive,positive,positive,positive,positive
1057028715,i am also facing same problem... and downloading vgg19 from the link and adding in directory won't help in kaggle. as it downloads the vgg19 model in output folder and it can't write or download it in input folder...,also facing problem link directory wo help model output folder ca write input folder,issue,negative,neutral,neutral,neutral,neutral,neutral
1057022272,"Hello @jaried... i resolved this issue by downgrading the **h5py** version to 2.10.0
pip install h5py==2.10.0

hope this helps...",hello resolved issue version pip install hope,issue,positive,neutral,neutral,neutral,neutral,neutral
1041039623,"原来的代码是tensorlayer提供的，问题也是tensorlayer产生的。
我在上面的回答中，也提到，2617行我已经改好了。
新的问题是2618行。

我是继续在这个issue提问还是新开一个issue？

The original code is provided by tensorlayer, and the problem is also generated by tensorlayer.
In my answer above, I also mentioned that I have changed line 2617.
The new problem is line 2618.

Do I continue to ask questions in this issue or open a new one?",original code provided problem also answer also line new problem line continue ask issue open new one,issue,negative,positive,positive,positive,positive,positive
1041036766,Line 2617 of the code also needs to be modified in the same way. Now this is a problem you may need to check if the parameters are imported correctly.This error occurs when the parameter shapes are inconsistent.,line code also need way problem may need check error parameter inconsistent,issue,negative,neutral,neutral,neutral,neutral,neutral
1041006463,"tensorlayer\files\utils.py, line 2617, the same question, I modified。

```
Traceback (most recent call last):
  File ""D:/Tony/Documents/yunpan/invest/2022/quant/gym/study PG/PG/pg.py"", line 219, in <module>
    agent.load()
  File ""D:/Tony/Documents/yunpan/invest/2022/quant/gym/study PG/PG/pg.py"", line 161, in load
    tl.files.load_hdf5_to_weights_in_order(os.path.join(path, 'pg_policy.hdf5'), self.model)
  File ""D:\Anaconda3\envs\gym_env\lib\site-packages\tensorlayer\files\utils.py"", line 2730, in load_hdf5_to_weights_in_order
    _load_weights_from_hdf5_group_in_order(f, network.all_layers)
  File ""D:\Anaconda3\envs\gym_env\lib\site-packages\tensorlayer\files\utils.py"", line 2617, in _load_weights_from_hdf5_group_in_order
    weight_names = [n.decode('utf8') for n in g.attrs['weight_names']]
  File ""D:\Anaconda3\envs\gym_env\lib\site-packages\tensorlayer\files\utils.py"", line 2617, in <listcomp>
    weight_names = [n.decode('utf8') for n in g.attrs['weight_names']]
AttributeError: 'str' object has no attribute 'decode'
```
深圳？
Keep running, new questions:
```
Traceback (most recent call last):
  File ""D:/Tony/Documents/yunpan/invest/2022/quant/gym/study PG/PG/pg.py"", line 219, in <module>
    agent.load()
  File ""D:/Tony/Documents/yunpan/invest/2022/quant/gym/study PG/PG/pg.py"", line 161, in load
    tl.files.load_hdf5_to_weights_in_order(os.path.join(path, 'pg_policy.hdf5'), self.model)
  File ""D:\Anaconda3\envs\gym_env\lib\site-packages\tensorlayer\files\utils.py"", line 2729, in load_hdf5_to_weights_in_order
    _load_weights_from_hdf5_group_in_order(f, network.all_layers)
  File ""D:\Anaconda3\envs\gym_env\lib\site-packages\tensorlayer\files\utils.py"", line 2618, in _load_weights_from_hdf5_group_in_order
    assign_tf_variable(layer.all_weights[iid], np.asarray(g[w_name]))
IndexError: list index out of range
```

",line question recent call last file line module file line load path file line file line file line object attribute keep running new recent call last file line module file line load path file line file line list index range,issue,negative,positive,neutral,neutral,positive,positive
1039775822,"@jaried This problem has been solved in version 2.2.5, please update to version 2.2.5",problem version please update version,issue,negative,neutral,neutral,neutral,neutral,neutral
955197433,"tensorlayer2.2.3 is no longer the latest version, please install it from the source code.
pip3 install git+https://github.com/tensorlayer/tensorlayer.git
",longer latest version please install source code pip install,issue,negative,positive,positive,positive,positive,positive
955184125,Install the latest version of tensorlayer from the source code and this problem will be solved.,install latest version source code problem,issue,negative,positive,positive,positive,positive,positive
914792720,Sorry!  It is too late to reply you. I will modify them and update. @DLPerf ,sorry late reply modify update,issue,negative,negative,negative,negative,negative,negative
914790153,"Thanks！I will modify them.
```python
def read_and_decode(filename):
    # generate a queue with a given file name
    raw_dataset = tf.data.TFRecordDataset([filename]).shuffle(1000).batch(4)
    features = {}
    for serialized_example in raw_dataset:
        features['label'] = tf.io.FixedLenFeature([], tf.int64)
        features['img_raw'] = tf.io.FixedLenFeature([], tf.string)
        features = tf.io.parse_example(serialized_example, features)
        # You can do more image distortion here for training data
        img_batch = tf.io.decode_raw(features['img_raw'], tf.uint8)
        img_batch = tf.reshape(img_batch, [4, 224, 224, 3])
        # img = tf.cast(img, tf.float32) * (1. / 255) - 0.5
        label_batch = tf.cast(features['label'], tf.int32)
        yield img_batch, label_batch
```
@DLPerf ",modify python generate queue given file name image distortion training data yield,issue,negative,neutral,neutral,neutral,neutral,neutral
912516814,"@hanjr92 Hi, bro, could you consider the issue?",hi could consider issue,issue,negative,neutral,neutral,neutral,neutral,neutral
908957429,"Hello,
How long do you need to confirm this problem? @zsdonghao 
Thank you~",hello long need confirm problem thank,issue,negative,negative,neutral,neutral,negative,negative
889624451,"Okay, thanks for the clarification. I was confused by the naming then, I understand that this form doesn't necessarily refer to the jaccard index.

Edit: I see that your second formulation is also the one that is used in the V-Net paper.",thanks clarification confused naming understand form necessarily refer index edit see second formulation also one used paper,issue,negative,negative,neutral,neutral,negative,negative
889580305,"The equation of Dice coefficient is `2∣X⋂Y∣/(∣X∣+∣Y∣)`.The general denominator is `(∣X∣+∣Y∣)`, or it can be` (∣X∣^2+∣Y∣^2)`. Here jaccard represents the way `(∣X∣^2+∣Y∣^2)`.",equation dice coefficient general denominator way,issue,negative,positive,neutral,neutral,positive,positive
