id,original_comment,processed_comment,source,sentiment_VADER,sentiment_textblob,sentiment_pattern,sentiment_bert,sentiment_spacy,max_voted_sentiment
1982880796,"```
nnt@mycomp:~/pytorch-tutorial/tutorials/01-basics/pytorch_basics$ python3 main.py 
tensor(2.)
tensor(1.)
tensor(1.)
w:  Parameter containing:
tensor([[-0.0246,  0.4567, -0.4118],
        [ 0.1679, -0.5086, -0.3876]], requires_grad=True)
b:  Parameter containing:
tensor([0.0529, 0.2922], requires_grad=True)
loss:  1.949414610862732
dL/dw:  tensor([[-0.7870,  1.5242, -0.0795],
        [ 0.8206, -0.9073, -0.7711]])
dL/db:  tensor([-0.5564,  0.0907])
loss after 1 step optimization:  1.896445631980896
Files already downloaded and verified
torch.Size([3, 32, 32])
6
Traceback (most recent call last):
  File ""/home/nnt/pytorch-tutorial/tutorials/01-basics/pytorch_basics/main.py"", line 124, in <module>
    images, labels = data_iter.next()
AttributeError: '_SingleProcessDataLoaderIter' object has no attribute 'next'
```
Also this",python tensor tensor tensor parameter tensor parameter tensor loss tensor tensor loss step optimization already recent call last file line module object attribute also,issue,negative,neutral,neutral,neutral,neutral,neutral
1906605844,"Coming back to this! It would be cool to see transformers for video data and the categories suggested above... I could work on this if this hasn't been done. The links that have been shared were great for their time, but now there are Transformer-specific modules in Pytorch that would be good to demonstrate.",coming back would cool see video data could work done link great time would good demonstrate,issue,positive,positive,positive,positive,positive,positive
1865392094,"@languandong I think the confusion originates from the misconception that the gradient would be computed and stored during the forward pass. In fact, in the forward pass, only the DAG is constructed. The grad is computed in a lazy mode: it is not computed until explicit `loss.backward()` is invoked.",think confusion misconception gradient would forward pas fact forward pas dag grad lazy mode explicit,issue,negative,negative,negative,negative,negative,negative
1787106290,"As pointed out by @languandong, the critical factor is the correct sequence in which optimizer.zero_grad() and loss.backward() are called. Both code snippets are valid as long as optimizer.zero_grad() is invoked before loss.backward(). This ensures that the gradients are properly zeroed out and then computed and stored in the appropriate tensors' grad field.",pointed critical factor correct sequence code valid long properly appropriate grad field,issue,negative,positive,positive,positive,positive,positive
1514117042,"> You can load and test the model in a simple way as below.
> 
> ```python
> model = torch.load('model.pkl')
> outputs = model(images)
> ```

_pickle.UnpicklingError: A load persistent id instruction was encountered,
but no persistent_load function was specified.

I keep getting this error!!!!
How to resolve this?",load test model simple way python model model load persistent id instruction function keep getting error resolve,issue,negative,neutral,neutral,neutral,neutral,neutral
1325383160,"it's with capital L in Linear isn't it?
If it's the case, I think this issue should be closed.",capital linear case think issue closed,issue,negative,negative,neutral,neutral,negative,negative
1307250328,"I just transformed all the images to Grayscale and boom, it worked like charm.

This is my code:
transform = transforms.Compose([transforms.Grayscale(),
                                transforms.Resize((28,28)),
                                transforms.ToTensor(),
                                transforms.Normalize((0.5,), (0.5,)),
                                ])",boom worked like charm code transform,issue,positive,neutral,neutral,neutral,neutral,neutral
1279716877,"I used pip install cython, but the issue still persists. 
Did anyone find the solution?",used pip install issue still anyone find solution,issue,negative,neutral,neutral,neutral,neutral,neutral
1236388877,"@languandong  
You can use both, doesn't matter as long as `optimizer.zero_grad()` is called before `loss.backward()`.
Note that `optimizer.zero_grad()` zeroes out the gradients in the `grad` field of the tensors, and `loss.backward()` compute s the gradients which are then stored in the `grad` field.",use matter long note grad field compute grad field,issue,negative,negative,neutral,neutral,negative,negative
1096950705,"The main.py is not a complete example code, it's some code snippets.
You shoud implement your own ""custom data loader"", refer to torchvision.datasets.CIFAR10.
Your error is caused by null implementation of CustomDataset.",complete example code code implement custom data loader refer error null implementation,issue,negative,positive,neutral,neutral,positive,positive
986495269,"I am facing the same problem, could one of you guys come with a solution? That would be really helpful for me.",facing problem could one come solution would really helpful,issue,negative,positive,positive,positive,positive,positive
902718615,ok we will try to add notebooks for every python Scripts,try add every python,issue,negative,neutral,neutral,neutral,neutral,neutral
886318797,"Harry-KIT could you be more explicit? conv2d() takes as arguments (c, output_feature, strides, padding). Could you print the shape of your input?",could explicit padding could print shape input,issue,negative,neutral,neutral,neutral,neutral,neutral
